energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.67533549,0.48041932,1.17680824,0.00116121,0.52612721,0.02675298,0.30401521,0.60755590,0.53051240
-5.99399700,2.70686992,0.49346808,1.19537258,0.00108502,0.53168273,0.02833811,0.30076773,0.61700718,0.53448000
-5.98799400,2.73929815,0.50815884,1.21596074,0.00101078,0.53644367,0.03003147,0.29730673,0.62681615,0.53717071
-5.98199100,2.77304279,0.52453109,1.23868410,0.00093975,0.54052273,0.03182916,0.29373729,0.63719496,0.53866383
-5.97598799,2.80847694,0.54258864,1.26360688,0.00087313,0.54403944,0.03372402,0.29016779,0.64834720,0.53905348
-5.96998499,2.84589701,0.56229518,1.29073254,0.00081203,0.54711583,0.03570551,0.28670512,0.66045894,0.53844480
-5.96398199,2.88549989,0.58357097,1.31999307,0.00075740,0.54987219,0.03775974,0.28345028,0.67369028,0.53695046
-5.95797899,2.92736547,0.60629080,1.35124155,0.00071008,0.55242334,0.03986955,0.28049451,0.68816766,0.53468742
-5.95197599,2.97144546,0.63028345,1.38424850,0.00067077,0.55487545,0.04201479,0.27791610,0.70397743,0.53177428
-5.94597299,3.01755918,0.65533270,1.41870247,0.00064001,0.55732364,0.04417265,0.27577797,0.72116096,0.52832916
-5.93996998,3.06539647,0.68117992,1.45421475,0.00061820,0.55985045,0.04631809,0.27412595,0.73971150,0.52446825
-5.93396698,3.11452771,0.70752819,1.49032831,0.00060560,0.56252519,0.04842439,0.27298798,0.75957315,0.52030499
-5.92796398,3.16442036,0.73404807,1.52653057,0.00060235,0.56540422,0.05046378,0.27237404,0.78064192,0.51594982
-5.92196098,3.21446138,0.76038469,1.56226951,0.00060844,0.56853196,0.05240813,0.27227679,0.80276901,0.51151033
-5.91595798,3.26398420,0.78616610,1.59697249,0.00062374,0.57194269,0.05422962,0.27267284,0.82576611,0.50709182
-5.90995498,3.31229899,0.81101272,1.63006697,0.00064802,0.57566276,0.05590153,0.27352462,0.84941250,0.50279791
-5.90395198,3.35872465,0.83454743,1.66100211,0.00068091,0.57971303,0.05739897,0.27478258,0.87346368,0.49873113
