energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.33569354,0.00019025,0.00097037,0.19124870,0.07644903,0.00505829,0.19832410,0.09166754,0.03435818
-5.99399700,0.33349338,0.00014727,0.00082191,0.19559172,0.07694241,0.00456941,0.19824995,0.09387058,0.03321692
-5.98799400,0.33306340,0.00011322,0.00070474,0.20024835,0.07782369,0.00415272,0.19903004,0.09624795,0.03232886
-5.98199100,0.33390697,0.00008647,0.00061550,0.20494818,0.07897136,0.00380060,0.20038075,0.09865893,0.03164620
-5.97598799,0.33556320,0.00006562,0.00055151,0.20943742,0.08027863,0.00350557,0.20203597,0.10097318,0.03112268
-5.96998499,0.33761825,0.00004953,0.00051089,0.21348480,0.08165592,0.00326048,0.20375391,0.10307345,0.03071490
-5.96398199,0.33971607,0.00003721,0.00049251,0.21688721,0.08303318,0.00305872,0.20532332,0.10485792,0.03038349
-5.95797899,0.34156810,0.00002789,0.00049606,0.21947472,0.08436217,0.00289441,0.20656930,0.10624250,0.03009419
-5.95197599,0.34296154,0.00002092,0.00052203,0.22111493,0.08561841,0.00276249,0.20735805,0.10716261,0.02981870
-5.94597299,0.34376598,0.00001580,0.00057176,0.22171625,0.08680290,0.00265887,0.20760077,0.10757462,0.02953541
-5.93996998,0.34393801,0.00001211,0.00064742,0.22123011,0.08794334,0.00258054,0.20725623,0.10745670,0.02922987
-5.93396698,0.34352364,0.00000956,0.00075205,0.21965183,0.08909486,0.00252556,0.20633211,0.10680912,0.02889504
-5.92796398,0.34265828,0.00000790,0.00088953,0.21702030,0.09034020,0.00249312,0.20488489,0.10565396,0.02853133
-5.92196098,0.34156422,0.00000695,0.00106455,0.21341614,0.09178916,0.00248353,0.20301827,0.10403409,0.02814641
-5.91595798,0.34054558,0.00000657,0.00128261,0.20895872,0.09357729,0.00249819,0.20088025,0.10201164,0.02775475
-5.90995498,0.33998066,0.00000668,0.00154995,0.20380186,0.09586386,0.00253948,0.19865868,0.09966582,0.02737703
-5.90395198,0.34031192,0.00000722,0.00187340,0.19812851,0.09882892,0.00261072,0.19657563,0.09709027,0.02703924
-5.89794897,0.34203354,0.00000815,0.00226036,0.19214456,0.10266953,0.00271600,0.19488053,0.09438995,0.02677175
-5.89194597,0.34567706,0.00000946,0.00271852,0.18607191,0.10759520,0.00286004,0.19384238,0.09167770,0.02660812
-5.88594297,0.35179507,0.00001113,0.00325576,0.18014119,0.11382243,0.00304803,0.19374104,0.08907054,0.02658384
-5.87993997,0.36094354,0.00001319,0.00387980,0.17458422,0.12156853,0.00328541,0.19485808,0.08668592,0.02673503
-5.87393697,0.37366306,0.00001566,0.00459800,0.16962656,0.13104484,0.00357764,0.19746718,0.08463793,0.02709702
-5.86793397,0.39045947,0.00001857,0.00541698,0.16548031,0.14244938,0.00392997,0.20182450,0.08303360,0.02770297
-5.86193097,0.41178447,0.00002196,0.00634228,0.16233752,0.15595915,0.00434717,0.20815929,0.08196950,0.02858255
-5.85592796,0.43801669,0.00002588,0.00737798,0.16036421,0.17172237,0.00483328,0.21666490,0.08152863,0.02976061
-5.84992496,0.46944393,0.00003038,0.00852632,0.15969541,0.18985084,0.00539134,0.22749065,0.08177772,0.03125607
-5.84392196,0.50624725,0.00003554,0.00978732,0.16043122,0.21041277,0.00602311,0.24073481,0.08276509,0.03308086
-5.83791896,0.54848749,0.00004145,0.01115845,0.16263406,0.23342639,0.00672884,0.25643884,0.08451907,0.03523919
-5.83191596,0.59609509,0.00004821,0.01263428,0.16632727,0.25885471,0.00750708,0.27458344,0.08704706,0.03772689
-5.82591296,0.64886371,0.00005595,0.01420630,0.17149497,0.28660177,0.00835445,0.29508644,0.09033529,0.04053120
-5.81990995,0.70644840,0.00006483,0.01586277,0.17808338,0.31651074,0.00926556,0.31780282,0.09434926,0.04363070
-5.81390695,0.76836859,0.00007505,0.01758863,0.18600346,0.34836413,0.01023290,0.34252700,0.09903491,0.04699571
-5.80790395,0.83401652,0.00008686,0.01936563,0.19513479,0.38188640,0.01124689,0.36899756,0.10432055,0.05058886
-5.80190095,0.90267092,0.00010057,0.02117252,0.20533075,0.41674899,0.01229593,0.39690423,0.11011930,0.05436619
-5.79589795,0.97351611,0.00011654,0.02298540,0.21642458,0.45257800,0.01336655,0.42589718,0.11633233,0.05827836
