energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,1.32184338,0.31320719,0.27666995,0.02560204,0.00035642,0.04596912,0.85178202
-5.99399700,1.39825254,0.33199233,0.29508946,0.02371579,0.00035344,0.04896204,0.91328902
-5.98799400,1.47381564,0.35054432,0.31303777,0.02219774,0.00035333,0.05188709,0.97279802
-5.98199100,1.54679236,0.36845187,0.33017425,0.02098466,0.00035536,0.05468739,1.02929898
-5.97598799,1.61548004,0.38531140,0.34616381,0.02001744,0.00035886,0.05730692,1.08179458
-5.96998499,1.67825840,0.40073757,0.36068627,0.01924185,0.00036317,0.05969209,1.12932913
-5.96398199,1.73363397,0.41437393,0.37344587,0.01860918,0.00036771,0.06179339,1.17101814
-5.95797899,1.78028275,0.42590319,0.38418057,0.01807665,0.00037196,0.06356684,1.20607721
-5.95197599,1.81708935,0.43505667,0.39267054,0.01760761,0.00037544,0.06497554,1.23384912
-5.94597299,1.84318114,0.44162263,0.39874576,0.01717164,0.00037777,0.06599086,1.25382785
-5.93996998,1.85795593,0.44545303,0.40229222,0.01674445,0.00037864,0.06659356,1.26567845
-5.93396698,1.86110195,0.44646859,0.40325650,0.01630765,0.00037782,0.06677454,1.26925198
-5.92796398,1.85260938,0.44466169,0.40164858,0.01584847,0.00037517,0.06653533,1.26459468
-5.92196098,1.83277273,0.44009720,0.39754259,0.01535931,0.00037061,0.06588827,1.25195103
-5.91595798,1.80218402,0.43291100,0.39107564,0.01483723,0.00036416,0.06485630,1.23176041
-5.90995498,1.76171691,0.42330642,0.38244468,0.01428345,0.00035589,0.06347249,1.20464766
-5.90395198,1.71250244,0.41154856,0.37190142,0.01370271,0.00034595,0.06177921,1.17140769
-5.89794897,1.65589727,0.39795685,0.35974572,0.01310268,0.00033454,0.05982704,1.13298489
-5.89194597,1.59344559,0.38289601,0.34631753,0.01249329,0.00032192,0.05767345,1.09044811
-5.88594297,1.52683611,0.36676588,0.33198766,0.01188617,0.00030837,0.05538124,1.04496215
-5.87993997,1.45785569,0.34999036,0.31714794,0.01129400,0.00029422,0.05301692,0.99775673
-5.87393697,1.38834097,0.33300594,0.30220075,0.01072997,0.00027981,0.05064896,0.95009410
-5.86793397,1.32012978,0.31625005,0.28754855,0.01020722,0.00026547,0.04834598,0.90323630
-5.86193097,1.25501345,0.30014974,0.27358360,0.00973836,0.00025155,0.04617502,0.85841299
-5.85592796,1.19469149,0.28511091,0.26067805,0.00933503,0.00023838,0.04419983,0.81679077
-5.84992496,1.14072953,0.27150824,0.24917483,0.00900755,0.00022626,0.04247931,0.77944469
-5.84392196,1.09452153,0.25967631,0.23937937,0.00876456,0.00021548,0.04106601,0.74733264
-5.83791896,1.05725683,0.24990176,0.23155236,0.00861276,0.00020628,0.04000484,0.72127302
-5.83191596,1.02989259,0.24241683,0.22590369,0.00855674,0.00019885,0.03933201,0.70192597
-5.82591296,1.01313194,0.23739423,0.22258756,0.00859876,0.00019335,0.03907406,0.68977856
-5.81990995,1.00740805,0.23494346,0.22169897,0.00873876,0.00018988,0.03924719,0.68513400
-5.81390695,1.01287430,0.23510854,0.22327140,0.00897422,0.00018849,0.03985681,0.68810494
-5.80790395,1.02940056,0.23786723,0.22727598,0.00930028,0.00018918,0.04089724,0.69861097
-5.80190095,1.05657573,0.24313165,0.23362187,0.00970974,0.00019189,0.04235178,0.71638030
-5.79589795,1.09371633,0.25075035,0.24215814,0.01019328,0.00019653,0.04419289,0.74095565
-5.78989495,1.13988132,0.26051181,0.25267691,0.01073957,0.00020292,0.04638275,0.77170422
-5.78389195,1.19389290,0.27214925,0.26491786,0.01133556,0.00021088,0.04887396,0.80783184
-5.77788894,1.25436312,0.28534681,0.27857406,0.01196677,0.00022016,0.05161054,0.84840093
-5.77188594,1.31972597,0.29974698,0.29329902,0.01261763,0.00023049,0.05452920,0.89235232
-5.76588294,1.38827458,0.31495914,0.30871485,0.01327182,0.00024157,0.05756076,0.93853033
-5.75987994,1.45820263,0.33056907,0.32442141,0.01391274,0.00025307,0.06063180,0.98571088
