energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,1.72250835,0.00111886,0.08329179,0.29122127,0.26190561,0.27939483,0.67607893,0.04893117,0.69998089
-5.99399700,1.77986296,0.00096036,0.08659283,0.30565642,0.26894127,0.29545689,0.69436696,0.04970248,0.72929138
-5.98799400,1.83422479,0.00082798,0.08988411,0.32020933,0.27574013,0.31244461,0.71009710,0.05023047,0.75774718
-5.98199100,1.88458377,0.00071906,0.09309326,0.33459570,0.28211121,0.33006582,0.72303295,0.05050817,0.78490038
-5.97598799,1.92998022,0.00063101,0.09614880,0.34852872,0.28787672,0.34801316,0.73297446,0.05053248,0.81030583
-5.96998499,1.96952442,0.00056132,0.09898159,0.36172512,0.29287631,0.36596994,0.73976177,0.05030418,0.83352975
-5.96398199,2.00241463,0.00050767,0.10152627,0.37391122,0.29697060,0.38361640,0.74327837,0.04982786,0.85415838
-5.95797899,2.02795332,0.00046796,0.10372258,0.38482886,0.30004390,0.40063612,0.74345325,0.04911176,0.87180681
-5.95197599,2.04556144,0.00044034,0.10551666,0.39424116,0.30200624,0.41672265,0.74026240,0.04816757,0.88612767
-5.94597299,2.05479038,0.00042325,0.10686211,0.40193789,0.30279454,0.43158600,0.73372929,0.04701012,0.89681952
-5.93996998,2.05533145,0.00041544,0.10772099,0.40774043,0.30237300,0.44495911,0.72392453,0.04565700,0.90363474
-5.93396698,2.04702271,0.00041598,0.10806461,0.41150602,0.30073282,0.45660386,0.71096464,0.04412823,0.90638652
-5.92796398,2.02985281,0.00042429,0.10787418,0.41313142,0.29789114,0.46631669,0.69500991,0.04244581,0.90495486
-5.92196098,2.00396186,0.00044012,0.10714117,0.41255552,0.29388952,0.47393343,0.67626150,0.04063326,0.89929113
-5.91595798,1.96963903,0.00046355,0.10586748,0.40976111,0.28879173,0.47933335,0.65495765,0.03871519,0.88942111
-5.90995498,1.92731705,0.00049505,0.10406544,0.40477548,0.28268134,0.48244215,0.63136926,0.03671686,0.87544610
-5.90395198,1.87756344,0.00053536,0.10175743,0.39766987,0.27565888,0.48323384,0.60579472,0.03466372,0.85754223
-5.89794897,1.82106872,0.00058560,0.09897535,0.38855782,0.26783880,0.48173135,0.57855431,0.03258099,0.83595753
-5.89194597,1.75863174,0.00064713,0.09575983,0.37759231,0.25934642,0.47800581,0.54998408,0.03049329,0.81100709
-5.88594297,1.69114245,0.00072163,0.09215916,0.36496175,0.25031475,0.47217460,0.52042954,0.02842423,0.78306624
-5.87993997,1.61956257,0.00081096,0.08822812,0.35088509,0.24088145,0.46439800,0.49023912,0.02639610,0.75256184
-5.87393697,1.54490448,0.00091717,0.08402654,0.33560598,0.23118583,0.45487473,0.45975778,0.02442960,0.71996211
-5.86793397,1.46820901,0.00104244,0.07961781,0.31938628,0.22136612,0.44383632,0.42932067,0.02254352,0.68576520
-5.86193097,1.39052262,0.00118897,0.07506725,0.30249912,0.21155677,0.43154062,0.39924724,0.02075460,0.65048687
-5.85592796,1.31287462,0.00135893,0.07044056,0.28522173,0.20188615,0.41826449,0.36983576,0.01907728,0.61464774
-5.84992496,1.23625501,0.00155432,0.06580214,0.26782824,0.19247428,0.40429604,0.34135853,0.01752363,0.57876051
-5.84392196,1.16159356,0.00177694,0.06121362,0.25058282,0.18343093,0.38992656,0.31405774,0.01610322,0.54331753
-5.83791896,1.08974064,0.00202821,0.05673246,0.23373322,0.17485388,0.37544242,0.28814218,0.01482309,0.50877927
-5.83191596,1.02145040,0.00230908,0.05241069,0.21750502,0.16682741,0.36111720,0.26378485,0.01368768,0.47556388
-5.82591296,0.95736661,0.00261996,0.04829397,0.20209680,0.15942104,0.34720427,0.24112142,0.01269893,0.44403829
-5.81990995,0.89801166,0.00296054,0.04442072,0.18767629,0.15268852,0.33393016,0.22024968,0.01185626,0.41451103
-5.81390695,0.84377892,0.00332978,0.04082166,0.17437762,0.14666711,0.32148868,0.20122982,0.01115671,0.38722707
-5.80790395,0.79492862,0.00372579,0.03751950,0.16229977,0.14137710,0.31003641,0.18408563,0.01059504,0.36236465
-5.80190095,0.75158745,0.00414577,0.03452894,0.15150620,0.13682172,0.29968921,0.16880649,0.01016391,0.34003425
-5.79589795,0.71375175,0.00458605,0.03185691,0.14202565,0.13298739,0.29052031,0.15535009,0.00985405,0.32027971
-5.78989495,0.68129435,0.00504203,0.02950303,0.13385403,0.12984433,0.28255978,0.14364580,0.00965450,0.30308123
-5.78389195,0.65397466,0.00550827,0.02746030,0.12695723,0.12734768,0.27579554,0.13359857,0.00955289,0.28836037
-5.77788894,0.63145194,0.00597856,0.02571593,0.12127489,0.12543893,0.27017581,0.12509330,0.00953566,0.27598655
-5.77188594,0.61330123,0.00644605,0.02425231,0.11672479,0.12404789,0.26561296,0.11799951,0.00958846,0.26578509
-5.76588294,0.59903152,0.00690339,0.02304809,0.11320779,0.12309497,0.26198869,0.11217630,0.00969641,0.25754625
-5.75987994,0.58810566,0.00734296,0.02207931,0.11061310,0.12249390,0.25916020,0.10747728,0.00984448,0.25103518
-5.75387694,0.57996140,0.00775703,0.02132054,0.10882365,0.12215474,0.25696727,0.10375568,0.01001783,0.24600228
