energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.17344011,0.01847053,0.03452877,0.78863815,0.14463567,0.04554957,1.31013932,0.33784335,0.07924312
-5.99399700,2.03722863,0.01718459,0.03255741,0.74496879,0.13483449,0.04287266,1.22924711,0.32070363,0.07278249
-5.98799400,1.90551456,0.01590821,0.03063032,0.70155650,0.12562726,0.04024354,1.15083727,0.30371577,0.06669667
-5.98199100,1.77856522,0.01465071,0.02875663,0.65857569,0.11706399,0.03767910,1.07507307,0.28692860,0.06097498
-5.97598799,1.65674305,0.01342138,0.02694778,0.61623275,0.10919624,0.03519866,1.00217660,0.27041525,0.05560849
-5.96998499,1.54049214,0.01222916,0.02521700,0.57476034,0.10207694,0.03282317,0.93242057,0.25427022,0.05058992
-5.96398199,1.43032074,0.01108240,0.02357878,0.53441045,0.09575980,0.03057448,0.86611767,0.23860547,0.04591344
-5.95797899,1.32678059,0.00998867,0.02204828,0.49544658,0.09029857,0.02847456,0.80360803,0.22354589,0.04157438
-5.95197599,1.23044434,0.00895456,0.02064070,0.45813538,0.08574601,0.02654478,0.74524539,0.20922434,0.03756886
-5.94597299,1.14188196,0.00798561,0.01937081,0.42273818,0.08215263,0.02480525,0.69138285,0.19577630,0.03389340
-5.93996998,1.06163740,0.00708629,0.01825231,0.38950271,0.07956534,0.02327419,0.64235850,0.18333468,0.03054454
-5.93396698,0.99020623,0.00626000,0.01729740,0.35865543,0.07802597,0.02196745,0.59848192,0.17202469,0.02751851
-5.92796398,0.92801534,0.00550916,0.01651632,0.33039474,0.07756977,0.02089806,0.56002174,0.16195913,0.02481090
-5.92196098,0.87540535,0.00483533,0.01591700,0.30488530,0.07822392,0.02007591,0.52719499,0.15323420,0.02241647
-5.91595798,0.83261627,0.00423938,0.01550479,0.28225372,0.08000626,0.01950750,0.50015840,0.14592607,0.02032896
-5.90995498,0.79977705,0.00372164,0.01528222,0.26258560,0.08292403,0.01919584,0.47900200,0.14008810,0.01854105
-5.90395198,0.77689903,0.00328214,0.01524891,0.24592415,0.08697305,0.01914040,0.46374525,0.13574898,0.01704437
-5.89794897,0.76387361,0.00292077,0.01540153,0.23227016,0.09213714,0.01933714,0.45433566,0.13291179,0.01582955
-5.89194597,0.76047418,0.00263751,0.01573385,0.22158349,0.09838789,0.01977870,0.45064990,0.13155383,0.01488642
-5.88594297,0.76636187,0.00243259,0.01623687,0.21378566,0.10568493,0.02045464,0.45249736,0.13162746,0.01420415
-5.87993997,0.78109510,0.00230665,0.01689904,0.20876373,0.11397656,0.02135172,0.45962590,0.13306162,0.01377155
-5.87393697,0.80414235,0.00226087,0.01770657,0.20637489,0.12320088,0.02245431,0.47172945,0.13576414,0.01357727
-5.86793397,0.83489752,0.00229702,0.01864381,0.20645177,0.13328722,0.02374482,0.48845729,0.13962467,0.01361012
-5.86193097,0.87269735,0.00241752,0.01969363,0.20880823,0.14415800,0.02520419,0.50942430,0.14451813,0.01385926
-5.85592796,0.91683998,0.00262541,0.02083793,0.21324513,0.15573079,0.02681243,0.53422202,0.15030842,0.01431449
-5.84992496,0.96660375,0.00292429,0.02205810,0.21955618,0.16792049,0.02854911,0.56242969,0.15685248,0.01496637
