energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,4.98604715,1.05462908,0.88255013,0.01063083,0.74191739,1.31897167,1.25261894,0.01227253,2.48471497
-5.99399700,5.06964084,1.06999349,0.90973803,0.01046395,0.76694088,1.33353126,1.26130045,0.01204570,2.51478080
-5.98799400,5.13015594,1.07947624,0.93372263,0.01024503,0.78957347,1.34070395,1.26429098,0.01176230,2.53210666
-5.98199100,5.16689519,1.08299368,0.95419861,0.00997769,0.80956872,1.34040472,1.26157886,0.01142797,2.53647312
-5.97598799,5.17957315,1.08058453,0.97091777,0.00966621,0.82672554,1.33268731,1.25323893,0.01104915,2.52788792
-5.96998499,5.16833208,1.07241142,0.98369708,0.00931533,0.84089446,1.31774424,1.23943298,0.01063290,2.50658993
-5.96398199,5.13374518,1.05875868,0.99242457,0.00893020,0.85198209,1.29590279,1.22040799,0.01018682,2.47304647
-5.95797899,5.07680700,1.04002673,0.99706273,0.00851624,0.85995354,1.26761704,1.19649225,0.00971892,2.42794411
-5.95197599,4.99891092,1.01672298,0.99764925,0.00807904,0.86483268,1.23345617,1.16808940,0.00923744,2.37217318
-5.94597299,4.90181465,0.98944979,0.99429507,0.00762424,0.86670025,1.19408971,1.13567049,0.00875080,2.30680647
-5.93996998,4.78759503,0.95888980,0.98717990,0.00715745,0.86568995,1.15027001,1.09976433,0.00826740,2.23307299
-5.93396698,4.65859397,0.92578924,0.97654542,0.00668413,0.86198270,1.10281290,1.06094648,0.00779559,2.15232776
-5.92796398,4.51735782,0.89093978,0.96268657,0.00620950,0.85579948,1.05257713,1.01982711,0.00734351,2.06601882
-5.92196098,4.36657265,0.85515953,0.94594144,0.00573849,0.84739317,1.00044337,0.97703838,0.00691901,1.97565277
-5.91595798,4.20899809,0.81927386,0.92668025,0.00527569,0.83703973,0.94729360,0.93322165,0.00652961,1.88276001
