energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,2.60650217,0.16744031,0.00215166,1.49787287,0.00000000,0.91107045,0.64011015
-5.99399700,2.55839811,0.17767755,0.00210573,1.47375712,0.00000000,0.91156348,0.60858703
-5.98799400,2.51526955,0.18827428,0.00206350,1.45255834,0.00000000,0.91353364,0.57825871
-5.98199100,2.47758336,0.19910912,0.00202532,1.43447940,0.00000000,0.91700529,0.54947622
-5.97598799,2.44549230,0.21004018,0.00199135,1.41954175,0.00000000,0.92190074,0.52251186
-5.96998499,2.41884707,0.22090866,0.00196151,1.40759341,0.00000000,0.92804585,0.49755874
-5.96398199,2.39722417,0.23154364,0.00193559,1.39832615,0.00000000,0.93518125,0.47473393
-5.95797899,2.37996768,0.24176784,0.00191316,1.39130068,0.00000000,0.94297841,0.45408507
-5.95197599,2.36624251,0.25140407,0.00189366,1.38597859,0.00000000,0.95105976,0.43559976
-5.94597299,2.35509600,0.26028215,0.00187647,1.38175902,0.00000000,0.95902165,0.41921703
-5.93996998,2.34552417,0.26824589,0.00186086,1.37801811,0.00000000,0.96645878,0.40484026
-5.93396698,2.33653905,0.27515988,0.00184613,1.37414901,0.00000000,0.97298878,0.39235065
-5.92796398,2.32723311,0.28091560,0.00183161,1.36960025,0.00000000,0.97827541,0.38162046
-5.92196098,2.31683740,0.28543665,0.00181670,1.36391038,0.00000000,0.98204907,0.37252538
-5.91595798,2.30477020,0.28868267,0.00180092,1.35673705,0.00000000,0.98412350,0.36495525
-5.90995498,2.29067370,0.29065184,0.00178396,1.34787911,0.00000000,0.98440754,0.35882271
-5.90395198,2.27443683,0.29138167,0.00176565,1.33729048,0.00000000,0.98291159,0.35406928
-5.89794897,2.25620335,0.29094810,0.00174599,1.32508548,0.00000000,0.97974818,0.35066880
-5.89194597,2.23636507,0.28946286,0.00172516,1.31153518,0.00000000,0.97512684,0.34862796
-5.88594297,2.21554091,0.28706918,0.00170350,1.29705551,0.00000000,0.96934372,0.34798417
-5.87993997,2.19454349,0.28393610,0.00168148,1.28218782,0.00000000,0.96276651,0.34880106
-5.87393697,2.17433534,0.28025166,0.00165967,1.26757317,0.00000000,0.95581581,0.35116177
-5.86793397,2.15597770,0.27621514,0.00163875,1.25392218,0.00000000,0.94894414,0.35516082
-5.86193097,2.14057507,0.27202898,0.00161938,1.24198200,0.00000000,0.94261391,0.36089491
-5.85592796,2.12921890,0.26789055,0.00160226,1.23250267,0.00000000,0.93727578,0.36845346
-5.84992496,2.12293379,0.26398432,0.00158803,1.22620468,0.00000000,0.93334884,0.37790933
-5.84392196,2.12262949,0.26047474,0.00157729,1.22374962,0.00000000,0.93120373,0.38931062
-5.83791896,2.12906139,0.25750017,0.00157052,1.22571566,0.00000000,0.93114994,0.40267377
-5.83191596,2.14280169,0.25516822,0.00156810,1.23257917,0.00000000,0.93342789,0.41797874
-5.82591296,2.16422296,0.25355253,0.00157032,1.24470330,0.00000000,0.93820631,0.43516639
-5.81990995,2.19349471,0.25269133,0.00157732,1.26233424,0.00000000,0.94558503,0.45413842
