energy_ev,total_up,B_p_up,B_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,0.00391677,0.00104968,0.00000000,0.00179675,0.00190363,0.00000000,0.00057654
-5.99399700,0.00509361,0.00136571,0.00000000,0.00233100,0.00247747,0.00000000,0.00074957
-5.98799400,0.00657669,0.00176417,0.00000000,0.00300253,0.00320123,0.00000000,0.00096756
-5.98199100,0.00843090,0.00226260,0.00000000,0.00383993,0.00410684,0.00000000,0.00124002
-5.97598799,0.01073065,0.00288109,0.00000000,0.00487586,0.00523094,0.00000000,0.00157786
-5.96998499,0.01356010,0.00364242,0.00000000,0.00614708,0.00661508,0.00000000,0.00199339
-5.96398199,0.01701318,0.00457202,0.00000000,0.00769446,0.00830564,0.00000000,0.00250036
-5.95797899,0.02119306,0.00569782,0.00000000,0.00956267,0.01035365,0.00000001,0.00311386
-5.95197599,0.02621126,0.00705009,0.00000000,0.01179972,0.01281438,0.00000001,0.00385020
-5.94597299,0.03218612,0.00866095,0.00000000,0.01445627,0.01574656,0.00000001,0.00472665
-5.93996998,0.03924066,0.01056384,0.00000000,0.01758463,0.01921136,0.00000002,0.00576119
-5.93396698,0.04749981,0.01279277,0.00000000,0.02123752,0.02327104,0.00000003,0.00697203
-5.92796398,0.05708687,0.01538136,0.00000000,0.02546646,0.02798724,0.00000005,0.00837714
-5.92196098,0.06811936,0.01836173,0.00000000,0.03031995,0.03341889,0.00000007,0.00999363
-5.91595798,0.08070426,0.02176321,0.00000000,0.03584140,0.03961989,0.00000011,0.01183702
-5.90995498,0.09493271,0.02561088,0.00000000,0.04206683,0.04663651,0.00000015,0.01392052
-5.90395198,0.11087437,0.02992409,0.00000000,0.04902243,0.05450456,0.00000022,0.01625417
-5.89794897,0.12857170,0.03471487,0.00000000,0.05672219,0.06324655,0.00000032,0.01884400
-5.89194597,0.14803429,0.03998640,0.00000000,0.06516545,0.07286890,0.00000045,0.02169124
-5.88594297,0.16923361,0.04573156,0.00000000,0.07433480,0.08335926,0.00000064,0.02479149
-5.87993997,0.19209855,0.05193174,0.00000000,0.08419423,0.09468429,0.00000090,0.02813413
-5.87393697,0.21651200,0.05855586,0.00000000,0.09468784,0.10678793,0.00000125,0.03170182
-5.86793397,0.24230878,0.06555984,0.00000000,0.10573911,0.11959031,0.00000174,0.03547014
-5.86193097,0.26927541,0.07288648,0.00000000,0.11725095,0.13298759,0.00000238,0.03940764
-5.85592796,0.29715175,0.08046593,0.00000000,0.12910656,0.14685274,0.00000325,0.04347601
-5.84992496,0.32563477,0.08821667,0.00000000,0.14117129,0.16103736,0.00000441,0.04763071
-5.84392196,0.35438472,0.09604719,0.00000000,0.15329535,0.17537470,0.00000593,0.05182178
-5.83791896,0.38303336,0.10385821,0.00000000,0.16531751,0.18968370,0.00000792,0.05599511
-5.83191596,0.41119440,0.11154553,0.00000000,0.17706960,0.20377422,0.00001050,0.06009397
-5.82591296,0.43847574,0.11900336,0.00000000,0.18838183,0.21745304,0.00001382,0.06406071
-5.81990995,0.46449315,0.12612803,0.00000000,0.19908859,0.23053077,0.00001806,0.06783885
-5.81390695,0.48888497,0.13282200,0.00000000,0.20903463,0.24282911,0.00002344,0.07137516
-5.80790395,0.51132699,0.13899794,0.00000000,0.21808133,0.25418833,0.00003019,0.07462184
-5.80190095,0.53154719,0.14458277,0.00000000,0.22611278,0.26447470,0.00003861,0.07753866
-5.79589795,0.54933929,0.14952135,0.00000000,0.23304132,0.27358724,0.00004903,0.08009492
-5.78989495,0.56457454,0.15377971,0.00000000,0.23881236,0.28146374,0.00006180,0.08227117
-5.78389195,0.57721113,0.15734768,0.00000000,0.24340807,0.28808544,0.00007735,0.08406059
-5.77788894,0.58730039,0.16024053,0.00000000,0.24684979,0.29348026,0.00009611,0.08546986
-5.77188594,0.59498951,0.16249977,0.00000000,0.24919899,0.29772415,0.00011857,0.08651959
-5.76588294,0.60052019,0.16419276,0.00000000,0.25055649,0.30094046,0.00014522,0.08724409
-5.75987994,0.60422329,0.16541125,0.00000000,0.25106009,0.30329726,0.00017659,0.08769065
-5.75387694,0.60650917,0.16626870,0.00000000,0.25088048,0.30500247,0.00021319,0.08791812
