energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up
-6.00000000,3.40191827,0.57882946,3.02992071,0.01909535,0.00225791,0.00730229,0.19348289
-5.99399700,3.38175148,0.57909410,3.00842511,0.01937802,0.00223322,0.00733998,0.19329657
-5.98799400,3.34741261,0.57677253,2.97458566,0.01963114,0.00220093,0.00736418,0.19214593
-5.98199100,3.29948359,0.57203441,2.92887335,0.01986364,0.00216126,0.00738234,0.19010884
-5.97598799,3.23884352,0.56512452,2.87200647,0.02008874,0.00211460,0.00740346,0.18728804
-5.96998499,3.16664936,0.55635687,2.80493606,0.02032390,0.00206152,0.00743788,0.18380782
-5.96398199,3.08430773,0.54610663,2.72882377,0.02059078,0.00200277,0.00749710,0.17980984
-5.95797899,2.99343845,0.53480030,2.64501284,0.02091498,0.00193924,0.00759349,0.17544850
-5.95197599,2.89583086,0.52290415,2.55499288,0.02132574,0.00187192,0.00774002,0.17088583
-5.94597299,2.79339434,0.51091138,2.46035954,0.02185543,0.00180192,0.00794992,0.16628618
-5.93996998,2.68810475,0.49932845,2.36277060,0.02253894,0.00173043,0.00823634,0.16181088
-5.93396698,2.58194854,0.48866066,2.26389986,0.02341293,0.00165864,0.00861200,0.15761306
-5.92796398,2.47686675,0.47939780,2.16539056,0.02451486,0.00158778,0.00908884,0.15383283
-5.92196098,2.37470066,0.47199989,2.06881016,0.02588200,0.00151904,0.00967761,0.15059299
-5.91595798,2.27714123,0.46688366,1.97560795,0.02755019,0.00145356,0.01038755,0.14799531
-5.90995498,2.18568398,0.46441003,1.88707714,0.02955264,0.00139237,0.01122602,0.14611767
-5.90395198,2.10159097,0.46487289,1.80432272,0.03191855,0.00133642,0.01219823,0.14501199
-5.89794897,2.02586093,0.46848954,1.72823614,0.03467178,0.00128650,0.01330688,0.14470304
-5.89194597,1.95920857,0.47539310,1.65947764,0.03782949,0.00124324,0.01455201,0.14518820
-5.88594297,1.90205356,0.48562697,1.59846661,0.04140088,0.00120711,0.01593074,0.14643804
-5.87993997,1.85451919,0.49914159,1.54538008,0.04538605,0.00117837,0.01743719,0.14839781
-5.87393697,1.81644062,0.51579370,1.50015918,0.04977499,0.00115713,0.01906243,0.15098967
-5.86793397,1.78738201,0.53534801,1.46252304,0.05454688,0.00114328,0.02079444,0.15411556
-5.86193097,1.76666164,0.55748151,1.43198921,0.05966963,0.00113654,0.02261828,0.15766075
-5.85592796,1.75338397,0.58179018,1.40789980,0.06509977,0.00113646,0.02451623,0.16149771
-5.84992496,1.74647714,0.60779825,1.38945198,0.07078271,0.00114244,0.02646808,0.16549046
-5.84392196,1.74473458,0.63496960,1.37573163,0.07665345,0.00115373,0.02845141,0.16949893
-5.83791896,1.74685902,0.66272130,1.36574880,0.08263758,0.00116949,0.03044208,0.17338359
-5.83191596,1.75150754,0.69043885,1.35847367,0.08865286,0.00118880,0.03241468,0.17700984
-5.82591296,1.75733603,0.71749279,1.35287170,0.09461104,0.00121067,0.03434302,0.18025235
-5.81990995,1.76304163,0.74325633,1.34793692,0.10042010,0.00123409,0.03620078,0.18299899
-5.81390695,1.76740208,0.76712331,1.34272224,0.10598674,0.00125807,0.03796205,0.18515443
-5.80790395,1.76931073,0.78852617,1.33636607,0.11121904,0.00128164,0.03960195,0.18664327
-5.80190095,1.76780640,0.80695317,1.32811455,0.11602932,0.00130391,0.04109725,0.18741249
-5.79589795,1.76209747,0.82196436,1.31733896,0.12033686,0.00132405,0.04242692,0.18743342
-5.78989495,1.75157972,0.83320572,1.30354819,0.12407063,0.00134138,0.04357265,0.18670287
-5.78389195,1.73584772,0.84042087,1.28639603,0.12717172,0.00135531,0.04451936,0.18524367
-5.77788894,1.71469969,0.84345990,1.26568362,0.12959548,0.00136542,0.04525551,0.18310443
-5.77188594,1.68813610,0.84228499,1.24135717,0.13131317,0.00137143,0.04577351,0.18035856
-5.76588294,1.65635224,0.83697232,1.21350144,0.13231319,0.00137321,0.04606984,0.17710256
-5.75987994,1.61972523,0.82771040,1.18232944,0.13260164,0.00137081,0.04614517,0.17345364
-5.75387694,1.57879611,0.81479454,1.14816887,0.13220232,0.00136441,0.04600437,0.16954666
-5.74787394,1.53424761,0.79861767,1.11144595,0.13115608,0.00135435,0.04565637,0.16553051
-5.74187094,1.48687839,0.77965789,1.07266719,0.12951956,0.00134108,0.04511391,0.16156395
-5.73586793,1.43757454,0.75846288,1.03239978,0.12736333,0.00132517,0.04439320,0.15781101
-5.72986493,1.38727909,0.73563197,0.99125108,0.12476956,0.00130729,0.04351352,0.15443610
