energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.51909726,0.06375377,0.78877913,0.50107694,0.35407616,0.05929817,2.42918159,2.05555388,1.44480969
-5.99399700,5.43559654,0.06183180,0.76875919,0.50124331,0.34882498,0.05792097,2.40252293,2.01572618,1.42032936
-5.98799400,5.35955932,0.05992071,0.75117248,0.50270615,0.34328094,0.05659972,2.37740454,1.97709923,1.40017447
-5.98199100,5.29343761,0.05804914,0.73644901,0.50572357,0.33757325,0.05536885,2.35482091,1.94058202,1.38504439
-5.97598799,5.23941706,0.05624478,0.72494257,0.51051971,0.33183487,0.05426123,2.33569866,1.90700435,1.37549945
-5.96998499,5.19935066,0.05453369,0.71692050,0.51727632,0.32619876,0.05330736,2.32086759,1.87709468,1.37194331
-5.96398199,5.17470169,0.05293970,0.71255590,0.52612540,0.32079407,0.05253461,2.31103451,1.85146097,1.37460973
-5.95797899,5.16649748,0.05148378,0.71192228,0.53714331,0.31574236,0.05196659,2.30676040,1.83057521,1.38355406
-5.95197599,5.17529564,0.05018361,0.71499098,0.55034634,0.31115410,0.05162255,2.30844198,1.81476186,1.39864984
-5.94597299,5.20116352,0.04905308,0.72163141,0.56568811,0.30712550,0.05151692,2.31629797,1.80419050,1.41959052
-5.93996998,5.24367181,0.04810196,0.73161407,0.58305881,0.30373572,0.05165896,2.33036054,1.79887283,1.44589626
-5.93396698,5.30190229,0.04733564,0.74461634,0.60228634,0.30104462,0.05205251,2.35047235,1.79866398,1.47692576
-5.92796398,5.37446968,0.04675501,0.76023091,0.62313937,0.29909117,0.05269594,2.37628898,1.80326814,1.51189267
-5.92196098,5.45955703,0.04635643,0.77797662,0.64533226,0.29789236,0.05358211,2.40728703,1.81224818,1.54988628
-5.91595798,5.55496355,0.04613179,0.79731146,0.66853164,0.29744295,0.05469860,2.44277733,1.82503912,1.58989584
-5.90995498,5.65816360,0.04606875,0.81764729,0.69236462,0.29771576,0.05602798,2.48192312,1.84096486,1.63083785
-5.90395198,5.76637518,0.04615106,0.83836602,0.71642817,0.29866272,0.05754821,2.52376254,1.85925797,1.67158557
-5.89794897,5.87663579,0.04635903,0.85883657,0.74029965,0.30021653,0.05923319,2.56723486,1.87908173,1.71099980
-5.89194597,5.98588352,0.04667005,0.87843227,0.76354788,0.30229289,0.06105336,2.61120956,1.89955395,1.74796004
-5.88594297,6.09104082,0.04705927,0.89654802,0.78574464,0.30479328,0.06297640,2.65451761,1.91977189,1.78139506
-5.87993997,6.18909857,0.04750029,0.91261677,0.80647602,0.30760817,0.06496795,2.69598378,1.93883753,1.81031182
-5.87393697,6.27719762,0.04796593,0.92612464,0.82535347,0.31062047,0.06699245,2.73445925,1.95588249,1.83382200
-5.86793397,6.35270559,0.04842910,0.93662440,0.84202398,0.31370936,0.06901392,2.76885332,1.97009183,1.85116502
-5.86193097,6.41328636,0.04886350,0.94374658,0.85617918,0.31675407,0.07099674,2.79816346,1.98072614,1.86172709
