energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.00542184,0.00000000,0.00025650,0.00000097,0.00273243,0.00081062,0.00078934
-5.99399700,0.00682048,0.00000000,0.00032267,0.00000122,0.00343730,0.00101974,0.00099296
-5.98799400,0.00851831,0.00000000,0.00040299,0.00000153,0.00429295,0.00127358,0.00124014
-5.98199100,0.01056238,0.00000000,0.00049969,0.00000190,0.00532309,0.00157919,0.00153773
-5.97598799,0.01300289,0.00000000,0.00061515,0.00000233,0.00655303,0.00194407,0.00189303
-5.96998499,0.01589235,0.00000000,0.00075184,0.00000285,0.00800923,0.00237608,0.00231369
-5.96398199,0.01928440,0.00000000,0.00091232,0.00000346,0.00971871,0.00288323,0.00280753
-5.95797899,0.02323241,0.00000000,0.00109909,0.00000417,0.01170838,0.00347350,0.00338230
-5.95197599,0.02778768,0.00000000,0.00131459,0.00000499,0.01400409,0.00415456,0.00404548
-5.94597299,0.03299745,0.00000000,0.00156106,0.00000592,0.01662965,0.00493348,0.00480394
-5.93996998,0.03890258,0.00000000,0.00184042,0.00000698,0.01960564,0.00581636,0.00566364
-5.93396698,0.04553510,0.00000000,0.00215420,0.00000817,0.02294822,0.00680799,0.00662924
-5.92796398,0.05291566,0.00000000,0.00250336,0.00000949,0.02666778,0.00791147,0.00770374
-5.92196098,0.06105091,0.00000000,0.00288823,0.00001095,0.03076769,0.00912778,0.00888811
-5.91595798,0.06993106,0.00000000,0.00330833,0.00001255,0.03524299,0.01045547,0.01018093
-5.90995498,0.07952763,0.00000000,0.00376233,0.00001427,0.04007936,0.01189027,0.01157805
-5.90395198,0.08979167,0.00000000,0.00424791,0.00001611,0.04525211,0.01342488,0.01307234
-5.89794897,0.10065241,0.00000000,0.00476171,0.00001806,0.05072557,0.01504871,0.01465350
-5.89194597,0.11201662,0.00000000,0.00529933,0.00002010,0.05645277,0.01674782,0.01630796
-5.88594297,0.12376874,0.00000000,0.00585530,0.00002221,0.06237548,0.01850496,0.01801889
-5.87993997,0.13577189,0.00000000,0.00642314,0.00002436,0.06842470,0.02029967,0.01976636
