energy_ev,total_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,9.03451268,0.94606260,0.34021374,3.37703502,1.23557470,0.01680998,0.07713304,0.22401766,5.23263828
-5.99399700,8.85127555,0.92977212,0.33330762,3.28801221,1.21980144,0.01704990,0.07538022,0.21782741,5.12447231
-5.98799400,8.63493960,0.91025597,0.32544551,3.18483074,1.19820354,0.01728201,0.07353877,0.21100908,4.99680721
-5.98199100,8.39032725,0.88803094,0.31684101,3.06919067,1.17129150,0.01751677,0.07165849,0.20372000,4.85244319
-5.97598799,8.12280333,0.86366943,0.30772563,2.94300513,1.13967468,0.01776572,0.06979051,0.19612703,4.69449930
-5.96998499,7.83812443,0.83778246,0.29834249,2.80834700,1.10404371,0.01804101,0.06798596,0.18840231,4.52632587
-5.96398199,7.54227581,0.81100122,0.28893957,2.66739152,1.06515035,0.01835497,0.06629468,0.18071894,4.35140963
-5.95797899,7.24130161,0.78395817,0.27976266,2.52235713,1.02378539,0.01871962,0.06476381,0.17324657,4.17327521
-5.95197599,6.94113487,0.75726803,0.27104844,2.37544672,0.98075574,0.01914611,0.06343647,0.16614727,3.99538654
-5.94597299,6.64743344,0.73150976,0.26301762,2.22879142,0.93686121,0.01964423,0.06235052,0.15957151,3.82105174
-5.93996998,6.36542767,0.70720991,0.25586878,2.08439892,0.89287226,0.02022186,0.06153736,0.15365465,3.65333493
-5.93396698,6.09978514,0.68482810,0.24977271,1.94410799,0.84950933,0.02088454,0.06102103,0.14851386,3.49497805
-5.92796398,5.85449705,0.66474506,0.24486776,1.80955055,0.80742452,0.02163505,0.06081731,0.14424561,3.34833506
-5.92196098,5.63278955,0.64725372,0.24125619,1.68212215,0.76718633,0.02247307,0.06093326,0.14092375,3.21532066
-5.91595798,5.43706239,0.63255341,0.23900159,1.56296156,0.72926793,0.02339498,0.06136680,0.13859821,3.09737475
-5.90995498,5.26885611,0.62074746,0.23812759,1.45293947,0.69403917,0.02439374,0.06210675,0.13729441,2.99544316
-5.90395198,5.12884768,0.61184408,0.23861775,1.35265608,0.66176254,0.02545891,0.06313298,0.13701319,2.90997478
-5.89794897,5.01687337,0.60576031,0.24041658,1.26244705,0.63259304,0.02657676,0.06441694,0.13773140,2.84093415
-5.89194597,4.93197670,0.60232881,0.24343179,1.18239679,0.60658164,0.02773057,0.06592239,0.13940303,2.78782837
-5.88594297,4.87247849,0.60130707,0.24753747,1.11235808,0.58368210,0.02890100,0.06760637,0.14196075,2.74974656
-5.87993997,4.83606512,0.60238855,0.25257819,1.05197678,0.56376058,0.03006658,0.06942038,0.14531799,2.72540962
-5.87393697,4.81989097,0.60521520,0.25837382,1.00072013,0.54660751,0.03120429,0.07131171,0.14937121,2.71322807
-5.86793397,4.82069060,0.60939095,0.26472486,0.95790759,0.53195105,0.03229024,0.07322488,0.15400260,2.71136530
-5.86193097,4.83489612,0.61449533,0.27141826,0.92274258,0.51947152,0.03330032,0.07510315,0.15908288,2.71780383
-5.85592796,4.85875558,0.62009713,0.27823324,0.89434429,0.50881622,0.03421098,0.07689008,0.16447425,2.73041220
-5.84992496,4.88844836,0.62576718,0.28494723,0.87177831,0.49961397,0.03499989,0.07853099,0.17003346,2.74701018
-5.84392196,4.92019411,0.63109026,0.29134163,0.85408531,0.49148884,0.03564667,0.07997437,0.17561481,2.76543041
-5.83791896,4.95035235,0.63567553,0.29720717,0.84030719,0.48407271,0.03613346,0.08117320,0.18107322,2.78357498
-5.83191596,4.97551037,0.63916548,0.30234886,0.82951010,0.47701631,0.03644548,0.08208607,0.18626710,2.79946550
-5.82591296,4.99255798,0.64124307,0.30659031,0.82080418,0.46999840,0.03657147,0.08267807,0.19106110,2.81128595
-5.81990995,4.99874792,0.64163718,0.30977744,0.81335981,0.46273309,0.03650398,0.08292157,0.19532878,2.81741774
-5.81390695,4.99174179,0.64012633,0.31178138,0.80642054,0.45497512,0.03623957,0.08279669,0.19895489,2.81646670
-5.80790395,4.96964144,0.63654069,0.31250066,0.79931262,0.44652337,0.03577887,0.08229152,0.20183758,2.80728219
-5.80190095,4.93100661,0.63076266,0.31186254,0.79145162,0.43722241,0.03512650,0.08140222,0.20389011,2.78896856
-5.79589795,4.87485956,0.62272609,0.30982361,0.78234621,0.42696254,0.03429087,0.08013276,0.20504246,2.76088957
