energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.34810068,0.15554288,0.22081843,0.00024647,0.00370166,0.00642083,0.44717920,0.19002352,0.23410743
-5.99399700,1.45685271,0.17094483,0.24187992,0.00029062,0.00420483,0.00720710,0.48515107,0.21248222,0.24821589
-5.98799400,1.56557991,0.18681300,0.26340662,0.00034435,0.00476041,0.00804499,0.52328418,0.23593853,0.26174478
-5.98199100,1.67312472,0.20301727,0.28517678,0.00040877,0.00537251,0.00892958,0.56115448,0.26016020,0.27455437
-5.97598799,1.77831400,0.21941576,0.30694822,0.00048518,0.00604563,0.00985510,0.59831879,0.28487477,0.28653113
-5.96998499,1.87998789,0.23585822,0.32846285,0.00057504,0.00678460,0.01081501,0.63432493,0.30977367,0.29759224
-5.96398199,1.97702985,0.25218983,0.34945209,0.00067996,0.00759469,0.01180212,0.66872268,0.33451806,0.30768915
-5.95797899,2.06839648,0.26825547,0.36964309,0.00080168,0.00848150,0.01280881,0.70107530,0.35874633,0.31680991
-5.95197599,2.15314602,0.28390413,0.38876553,0.00094203,0.00945095,0.01382718,0.73097128,0.38208298,0.32498000
-5.94597299,2.23046429,0.29899338,0.40655871,0.00110291,0.01050919,0.01484930,0.75803560,0.40414867,0.33226165
-5.93996998,2.29968692,0.31339356,0.42277871,0.00128626,0.01166240,0.01586743,0.78194044,0.42457113,0.33875157
-5.93396698,2.36031693,0.32699160,0.43720540,0.00149399,0.01291665,0.01687424,0.80241450,0.44299628,0.34457703
-5.92796398,2.41203684,0.33969410,0.44964889,0.00172794,0.01427762,0.01786305,0.81925090,0.45909934,0.34989059
-5.92196098,2.45471466,0.35142972,0.45995521,0.00198981,0.01575028,0.01882797,0.83231300,0.47259533,0.35486356
-5.91595798,2.48840371,0.36215045,0.46801105,0.00228112,0.01733855,0.01976406,0.84153813,0.48324843,0.35967857
-5.90995498,2.51333610,0.37183192,0.47374717,0.00260311,0.01904490,0.02066744,0.84693895,0.49087990,0.36452153
-5.90395198,2.52991048,0.38047258,0.47714058,0.00295669,0.02086995,0.02153529,0.84860238,0.49537399,0.36957346
-5.89794897,2.53867452,0.38809184,0.47821518,0.00334240,0.02281208,0.02236589,0.84668629,0.49668186,0.37500261
-5.89194597,2.54030336,0.39472725,0.47704100,0.00376031,0.02486699,0.02315854,0.84141395,0.49482292,0.38095719
-5.88594297,2.53557505,0.40043094,0.47373209,0.00421001,0.02702744,0.02391346,0.83306678,0.48988398,0.38755925
-5.87993997,2.52534443,0.40526550,0.46844306,0.00469055,0.02928294,0.02463172,0.82197551,0.48201595,0.39490005
-5.87393697,2.51051690,0.40929962,0.46136468,0.00520044,0.03161964,0.02531505,0.80851045,0.47142837,0.40303706
-5.86793397,2.49202354,0.41260378,0.45271855,0.00573766,0.03402033,0.02596572,0.79307118,0.45838221,0.41199300
-5.86193097,2.47079883,0.41524621,0.44275129,0.00629967,0.03646454,0.02658647,0.77607626,0.44318108,0.42175685
-5.85592796,2.44776214,0.41728960,0.43172837,0.00688346,0.03892889,0.02718039,0.75795347,0.42616144,0.43228686
-5.84992496,2.42380385,0.41878860,0.41992795,0.00748566,0.04138753,0.02775086,0.73913082,0.40768229,0.44351547
-5.84392196,2.39977644,0.41978834,0.40763495,0.00810255,0.04381282,0.02830163,0.72002895,0.38811475,0.45535580
-5.83791896,2.37649078,0.42032427,0.39513553,0.00873027,0.04617609,0.02883684,0.70105491,0.36783203,0.46770945
-5.83191596,2.35471723,0.42042299,0.38271215,0.00936488,0.04844856,0.02936114,0.68259756,0.34720017,0.48047509
-5.82591296,2.33519071,0.42010435,0.37063923,0.01000250,0.05060232,0.02987986,0.66502454,0.32656989,0.49355735
-5.81990995,2.31861884,0.41938443,0.35917959,0.01063950,0.05261138,0.03039921,0.64868075,0.30626986,0.50687550
-5.81390695,2.30569165,0.41827923,0.34858145,0.01127257,0.05445265,0.03092645,0.63388796,0.28660134,0.52037134
-5.80790395,2.29709137,0.41680883,0.33907605,0.01189889,0.05610693,0.03147007,0.62094534,0.26783450,0.53401573
-5.80190095,2.29350074,0.41500153,0.33087570,0.01251622,0.05755967,0.03203998,0.61013051,0.25020615,0.54781333
-5.79589795,2.29560822,0.41289779,0.32417213,0.01312296,0.05880166,0.03264752,0.60170067,0.23391892,0.56180518
-5.78989495,2.30410892,0.41055344,0.31913505,0.01371824,0.05982941,0.03330551,0.59589335,0.21914159,0.57606875
-5.78389195,2.31970012,0.40804200,0.31591066,0.01430190,0.06064538,0.03402811,0.59292666,0.20601039,0.59071544
-5.77788894,2.34307085,0.40545574,0.31462021,0.01487452,0.06125780,0.03483061,0.59299846,0.19463107,0.60588546
-5.77188594,2.37488542,0.40290542,0.31535837,0.01543734,0.06168038,0.03572908,0.59628453,0.18508131,0.62174034
-5.76588294,2.41576150,0.40051854,0.31819148,0.01599217,0.06193162,0.03673992,0.60293565,0.17741353,0.63845329
-5.75987994,2.46624339,0.39843621,0.32315583,0.01654137,0.06203396,0.03787930,0.61307359,0.17165753,0.65619805
-5.75387694,2.52677232,0.39680875,0.33025587,0.01708766,0.06201273,0.03916252,0.62678642,0.16782321,0.67513665
-5.74787394,2.59765541,0.39579023,0.33946276,0.01763405,0.06189496,0.04060334,0.64412328,0.16590283,0.69540691
-5.74187094,2.67903548,0.39553232,0.35071320,0.01818374,0.06170813,0.04221327,0.66508921,0.16587317,0.71711033
-5.73586793,2.77086405,0.39617780,0.36390893,0.01873998,0.06147890,0.04400093,0.68964046,0.16769728,0.74030116
-5.72986493,2.87287971,0.39785402,0.37891708,0.01930608,0.06123193,0.04597144,0.71768075,0.17132601,0.76497735
-5.72386193,2.98459391,0.40066696,0.39557139,0.01988528,0.06098880,0.04812593,0.74905897,0.17669928,0.79107395
-5.71785893,3.10528582,0.40469596,0.41367462,0.02048084,0.06076717,0.05046125,0.78356883,0.18374729,0.81845955
-5.71185593,3.23400742,0.40998972,0.43300218,0.02109601,0.06058012,0.05296976,0.82095048,0.19239164,0.84693600
-5.70585293,3.36959921,0.41656359,0.45330680,0.02173410,0.06043577,0.05563937,0.86089456,0.20254645,0.87624163
-5.69984992,3.51071642,0.42439844,0.47432437,0.02239860,0.06033720,0.05845379,0.90304838,0.21411953,0.90605779
-5.69384692,3.65586478,0.43344110,0.49578065,0.02309327,0.06028259,0.06139291,0.94702421,0.22701368,0.93601856
-5.68784392,3.80344397,0.44360630,0.51739856,0.02382223,0.06026565,0.06443341,0.99240920,0.24112790,0.96572313
-5.68184092,3.95179683,0.45477994,0.53890576,0.02459007,0.06027627,0.06754945,1.03877643,0.25635872,0.99475006
-5.67583792,4.09926126,0.46682353,0.56004218,0.02540191,0.06030125,0.07071350,1.08569651,0.27260127,1.02267293
