energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.27326664,0.17494684,0.17816313,0.05636337,0.20096687,0.00921338,0.00035609
-5.99399700,1.28083252,0.17412263,0.17792306,0.05863453,0.19566595,0.00895287,0.00036183
-5.98799400,1.28823150,0.17446763,0.17820939,0.06081736,0.19227463,0.00873776,0.00036615
-5.98199100,1.29492848,0.17584388,0.17893609,0.06289953,0.19063139,0.00855936,0.00036897
-5.97598799,1.30048768,0.17812071,0.18003095,0.06486933,0.19059009,0.00841029,0.00037021
-5.96998499,1.30458102,0.18117712,0.18143707,0.06671569,0.19202299,0.00828459,0.00036984
-5.96398199,1.30699153,0.18490337,0.18311353,0.06842828,0.19482234,0.00817779,0.00036785
-5.95797899,1.30761218,0.18920183,0.18503514,0.06999784,0.19890059,0.00808693,0.00036427
-5.95197599,1.30644038,0.19398711,0.18719155,0.07141663,0.20418923,0.00801048,0.00035916
-5.94597299,1.30356892,0.19918559,0.18958564,0.07267900,0.21063666,0.00794830,0.00035259
-5.93996998,1.29917386,0.20473447,0.19223138,0.07378215,0.21820495,0.00790137,0.00034468
-5.93396698,1.29350032,0.21058035,0.19515128,0.07472691,0.22686595,0.00787168,0.00033554
-5.92796398,1.28684683,0.21667759,0.19837359,0.07551857,0.23659692,0.00786198,0.00032531
-5.92196098,1.27954908,0.22298638,0.20192938,0.07616774,0.24737589,0.00787549,0.00031415
-5.91595798,1.27196377,0.22947090,0.20584968,0.07669103,0.25917712,0.00791571,0.00030221
-5.90995498,1.26445328,0.23609740,0.21016272,0.07711167,0.27196684,0.00798610,0.00028966
-5.90395198,1.25737167,0.24283253,0.21489163,0.07745981,0.28569953,0.00808992,0.00027666
-5.89794897,1.25105253,0.24964194,0.22005242,0.07777266,0.30031510,0.00822995,0.00026337
-5.89194597,1.24579911,0.25648920,0.22565258,0.07809422,0.31573698,0.00840838,0.00024994
-5.88594297,1.24187679,0.26333524,0.23169023,0.07847475,0.33187139,0.00862660,0.00023653
-5.87993997,1.23950838,0.27013818,0.23815403,0.07896989,0.34860795,0.00888514,0.00022327
-5.87393697,1.23887196,0.27685386,0.24502365,0.07963946,0.36582151,0.00918362,0.00021030
-5.86793397,1.24010142,0.28343676,0.25227099,0.08054602,0.38337539,0.00952069,0.00019773
-5.86193097,1.24328960,0.28984160,0.25986204,0.08175328,0.40112578,0.00989410,0.00018567
-5.85592796,1.24849360,0.29602532,0.26775932,0.08332433,0.41892725,0.01030077,0.00017420
-5.84992496,1.25574224,0.30194957,0.27592474,0.08532001,0.43663914,0.01073684,0.00016342
-5.84392196,1.26504514,0.30758346,0.28432297,0.08779728,0.45413251,0.01119784,0.00015337
-5.83791896,1.27640302,0.31290650,0.29292483,0.09080794,0.47129742,0.01167883,0.00014411
-5.83191596,1.28981889,0.31791160,0.30171091,0.09439761,0.48805013,0.01217455,0.00013567
-5.82591296,1.30530939,0.32260789,0.31067499,0.09860519,0.50433983,0.01267958,0.00012807
-5.81990995,1.32291596,0.32702324,0.31982713,0.10346277,0.52015463,0.01318856,0.00012130
-5.81390695,1.34271518,0.33120630,0.32919635,0.10899611,0.53552631,0.01369629,0.00011538
-5.80790395,1.36482762,0.33522785,0.33883259,0.11522559,0.55053363,0.01419793,0.00011026
-5.80190095,1.38942479,0.33918130,0.34880783,0.12216762,0.56530383,0.01468913,0.00010592
-5.79589795,1.41673353,0.34318238,0.35921627,0.12983646,0.58001210,0.01516615,0.00010232
-5.78989495,1.44703742,0.34736757,0.37017338,0.13824622,0.59487895,0.01562595,0.00009940
-5.78389195,1.48067466,0.35189164,0.38181383,0.14741303,0.61016530,0.01606626,0.00009711
-5.77788894,1.51803218,0.35692394,0.39428809,0.15735703,0.62616531,0.01648563,0.00009539
-5.77188594,1.55953578,0.36264369,0.40775790,0.16810410,0.64319717,0.01688345,0.00009418
-5.76588294,1.60563609,0.36923425,0.42239055,0.17968713,0.66159188,0.01725989,0.00009340
-5.75987994,1.65679058,0.37687655,0.43835198,0.19214660,0.68168036,0.01761588,0.00009300
-5.75387694,1.71344189,0.38574180,0.45579912,0.20553036,0.70377933,0.01795302,0.00009292
-5.74787394,1.77599285,0.39598382,0.47487139,0.21989258,0.72817622,0.01827341,0.00009311
-5.74187094,1.84477921,0.40773114,0.49568179,0.23529171,0.75511381,0.01857959,0.00009351
-5.73586793,1.92004068,0.42107918,0.51830793,0.25178763,0.78477500,0.01887429,0.00009409
-5.72986493,2.00189174,0.43608289,0.54278322,0.26943797,0.81726840,0.01916026,0.00009480
-5.72386193,2.09029335,0.45275013,0.56908869,0.28829384,0.85261535,0.01944010,0.00009562
-5.71785893,2.18502712,0.47103609,0.59714596,0.30839523,0.89073892,0.01971599,0.00009651
-5.71185593,2.28567351,0.49083920,0.62681157,0.32976631,0.93145564,0.01998954,0.00009746
-5.70585293,2.39159544,0.51199857,0.65787324,0.35241097,0.97447031,0.02026157,0.00009845
-5.69984992,2.50192890,0.53429352,0.69004830,0.37630895,1.01937454,0.02053195,0.00009946
-5.69384692,2.61558172,0.55744508,0.72298478,0.40141280,1.06564927,0.02079949,0.00010048
-5.68784392,2.73124147,0.58111984,0.75626509,0.42764600,1.11267149,0.02106185,0.00010149
-5.68184092,2.84739305,0.60493593,0.78941264,0.45490244,1.15972536,0.02131553,0.00010247
-5.67583792,2.96234618,0.62847126,0.82190131,0.48304724,1.20601738,0.02155585,0.00010340
-5.66983492,3.07427233,0.65127380,0.85316750,0.51191911,1.25069554,0.02177713,0.00010425
-5.66383192,3.18125029,0.67287348,0.88262464,0.54133403,1.29287174,0.02197278,0.00010501
-5.65782891,3.28131885,0.69279559,0.90967964,0.57108996,1.33164702,0.02213556,0.00010563
-5.65182591,3.37253487,0.71057502,0.93375066,0.60097255,1.36613843,0.02225781,0.00010609
-5.64582291,3.45303421,0.72577091,0.95428566,0.63076113,1.39550691,0.02233180,0.00010634
-5.63981991,3.52109316,0.73798114,0.97078084,0.66023485,1.41898479,0.02235004,0.00010635
-5.63381691,3.57518750,0.74685596,0.98279837,0.68917835,1.43590198,0.02230564,0.00010608
-5.62781391,3.61404639,0.75211036,0.98998247,0.71738663,1.44570965,0.02219265,0.00010551
-5.62181091,3.63669864,0.75353445,0.99207308,0.74466879,1.44800035,0.02200634,0.00010459
-5.61580790,3.64250897,0.75100151,0.98891675,0.77085024,1.44252377,0.02174354,0.00010330
-5.60980490,3.63120250,0.74447324,0.98047377,0.79577348,1.42919731,0.02140283,0.00010163
-5.60380190,3.60287618,0.73400202,0.96682166,0.81929716,1.40811096,0.02098469,0.00009957
-5.59779890,3.55799673,0.71973006,0.94815445,0.84129387,1.37952646,0.02049160,0.00009711
-5.59179590,3.49738505,0.70188544,0.92477801,0.86164658,1.34387043,0.01992802,0.00009426
-5.58579290,3.42218811,0.68077522,0.89710148,0.88024443,1.30172220,0.01930036,0.00009105
-5.57978989,3.33383966,0.65677596,0.86562529,0.89697812,1.25379653,0.01861677,0.00008750
-5.57378689,3.23401188,0.63032213,0.83092634,0.91173552,1.20092231,0.01788699,0.00008364
-5.56778389,3.12456044,0.60189275,0.79364086,0.92439794,1.14401806,0.01712203,0.00007953
-5.56178089,3.00746557,0.57199712,0.75444595,0.93483766,1.08406532,0.01633387,0.00007522
-5.55577789,2.88477203,0.54116004,0.71404042,0.94291690,1.02208114,0.01553515,0.00007076
-5.54977489,2.75853070,0.50990725,0.67312579,0.94848877,0.95909081,0.01473880,0.00006620
-5.54377189,2.63074418,0.47875159,0.63238833,0.95140002,0.89610176,0.01395770,0.00006163
-5.53776888,2.50331846,0.44818049,0.59248250,0.95149581,0.83407969,0.01320440,0.00005708
-5.53176588,2.37802242,0.41864509,0.55401671,0.94862611,0.77392767,0.01249078,0.00005263
-5.52576288,2.25645593,0.39055135,0.51754144,0.94265352,0.71646866,0.01182783,0.00004833
-5.51975988,2.14002715,0.36425332,0.48354017,0.93346192,0.66243193,0.01122545,0.00004423
-5.51375688,2.02993891,0.34004856,0.45242310,0.92096541,0.61244333,0.01069231,0.00004037
-5.50775388,1.92718339,0.31817582,0.42452359,0.90511699,0.56701942,0.01023571,0.00003680
-5.50175088,1.83254426,0.29881455,0.40009714,0.88591626,0.52656516,0.00986155,0.00003355
-5.49574787,1.74660470,0.28208627,0.37932249,0.86341571,0.49137471,0.00957429,0.00003064
-5.48974487,1.66976000,0.26805731,0.36230460,0.83772498,0.46163487,0.00937694,0.00002808
-5.48374187,1.60223300,0.25674260,0.34907896,0.80901282,0.43743049,0.00927114,0.00002590
-5.47773887,1.54409094,0.24811034,0.33961688,0.77750656,0.41875146,0.00925718,0.00002410
-5.47173587,1.49526252,0.24208694,0.33383131,0.74348899,0.40550056,0.00933405,0.00002266
-5.46573287,1.45555400,0.23856226,0.33158290,0.70729279,0.39750181,0.00949954,0.00002159
-5.45972986,1.42466378,0.23739467,0.33268604,0.66929280,0.39450896,0.00975032,0.00002087
-5.45372686,1.40219509,0.23841588,0.33691466,0.62989649,0.39621380,0.01008202,0.00002048
