energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.97535739,0.02954163,0.08833697,0.51269755,0.33477715,0.07193941,1.12639339,0.29596043,0.08657376
-5.99399700,1.98575481,0.02919131,0.08877690,0.52165924,0.33627620,0.07233271,1.13266069,0.30054139,0.08638019
-5.98799400,1.99111416,0.02881598,0.08898406,0.53000850,0.33681143,0.07250224,1.13607599,0.30438894,0.08604125
-5.98199100,1.99279176,0.02845045,0.08900988,0.53811420,0.33661078,0.07249027,1.13742847,0.30769181,0.08562731
-5.97598799,1.99232227,0.02813079,0.08891145,0.54640012,0.33593410,0.07234525,1.13761445,0.31067768,0.08521220
-5.96998499,1.99136911,0.02789315,0.08874943,0.55533103,0.33506483,0.07212016,1.13760884,0.31360699,0.08487069
-5.96398199,1.99166850,0.02777267,0.08858595,0.56539652,0.33430051,0.07187052,1.13843274,0.31676514,0.08467586
-5.95797899,1.99496928,0.02780232,0.08848233,0.57709310,0.33394237,0.07165237,1.14111823,0.32045336,0.08469659
-5.95197599,2.00297063,0.02801181,0.08849702,0.59090512,0.33428447,0.07152003,1.14667168,0.32497866,0.08499521
-5.94597299,2.01726040,0.02842659,0.08868353,0.60728533,0.33560277,0.07152404,1.15603709,0.33064309,0.08562540
-5.93996998,2.03925632,0.02906698,0.08908881,0.62663580,0.33814460,0.07170909,1.17006078,0.33773292,0.08663054
-5.93396698,2.07015280,0.02994743,0.08975179,0.64929006,0.34211898,0.07211225,1.18945906,0.34650801,0.08804241
-5.92796398,2.11087551,0.03107595,0.09070247,0.67549726,0.34768817,0.07276138,1.21479020,0.35719193,0.08988049
-5.92196098,2.16204591,0.03245376,0.09196141,0.70540920,0.35496093,0.07367405,1.24643202,0.36996326,0.09215172
-5.91595798,2.22395740,0.03407511,0.09353976,0.73907088,0.36398767,0.07485675,1.28456610,0.38494860,0.09485087
-5.90995498,2.29656438,0.03592738,0.09543973,0.77641526,0.37475784,0.07630458,1.32916958,0.40221744,0.09796149
-5.90395198,2.37948499,0.03799130,0.09765563,0.81726257,0.38719969,0.07800146,1.38001493,0.42177945,0.10145729
-5.89794897,2.47201765,0.04024145,0.10017529,0.86132462,0.40118242,0.07992074,1.43667798,0.44358426,0.10530410
-5.89194597,2.57317111,0.04264693,0.10298192,0.90821402,0.41652070,0.08202631,1.49855412,0.46752388,0.10946213
-5.88594297,2.68170689,0.04517218,0.10605624,0.95745826,0.43298137,0.08427403,1.56488203,0.49343780,0.11388859
-5.87993997,2.79619256,0.04777794,0.10937882,1.00851829,0.45029215,0.08661349,1.63477421,0.52112060,0.11854047
-5.87393697,2.91506384,0.05042231,0.11293256,1.06081093,0.46815183,0.08899008,1.70725317,0.55033192,0.12337738
-5.86793397,3.03669283,0.05306192,0.11670504,1.11373436,0.48624178,0.09134709,1.78129169,0.58080831,0.12836439
-5.86193097,3.15945961,0.05565309,0.12069085,1.16669560,0.50423801,0.09362787,1.85585561,0.61227665,0.13347463
-5.85592796,3.28182402,0.05815293,0.12489353,1.21913894,0.52182352,0.09577803,1.92994734,0.64446840,0.13869162
-5.84992496,3.40239443,0.06052051,0.12932716,1.27057392,0.53870023,0.09774727,2.00264809,0.67713424,0.14401114
-5.84392196,3.51999035,0.06271778,0.13401747,1.32060150,0.55460009,0.09949118,2.07315693,0.71005817,0.14944262
-5.83791896,3.63369591,0.06471053,0.13900233,1.36893720,0.56929484,0.10097254,2.14082504,0.74307067,0.15500988
-5.83191596,3.74290155,0.06646908,0.14433158,1.41542980,0.58260404,0.10216229,2.20518328,0.77605982,0.16075123
