energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,0.37747754,0.00059966,0.00007052,0.01431029,0.09601871,0.00000007,0.39220324
-5.99399700,0.33591265,0.00053137,0.00006324,0.01274481,0.08542397,0.00000010,0.34904120
-5.98799400,0.29682052,0.00046929,0.00005632,0.01127220,0.07546336,0.00000015,0.30843994
-5.98199100,0.26043357,0.00041417,0.00004979,0.00990187,0.06619554,0.00000022,0.27064084
-5.97598799,0.22690320,0.00036679,0.00004372,0.00864033,0.05765851,0.00000032,0.23580082
-5.96998499,0.19630596,0.00032811,0.00003811,0.00749149,0.04987124,0.00000047,0.20399862
-5.96398199,0.16865138,0.00029931,0.00003299,0.00645700,0.04283566,0.00000068,0.17524277
-5.95797899,0.14389107,0.00028197,0.00002835,0.00553674,0.03653904,0.00000097,0.14948084
-5.95197599,0.12192862,0.00027825,0.00002420,0.00472926,0.03095650,0.00000139,0.12660944
-5.94597299,0.10262975,0.00029106,0.00002051,0.00403237,0.02605361,0.00000197,0.10648441
-5.93996998,0.08583227,0.00032434,0.00001727,0.00344367,0.02178901,0.00000277,0.08893085
-5.93396698,0.07135571,0.00038338,0.00001445,0.00296120,0.01811680,0.00000388,0.07375259
-5.92796398,0.05901017,0.00047520,0.00001201,0.00258406,0.01498887,0.00000538,0.06074080
-5.92196098,0.04860434,0.00060896,0.00000993,0.00231308,0.01235695,0.00000741,0.04968163
-5.91595798,0.03995251,0.00079655,0.00000817,0.00215153,0.01017445,0.00001014,0.04036267
-5.90995498,0.03288063,0.00105312,0.00000670,0.00210581,0.00839800,0.00001377,0.03257825
-5.90395198,0.02723131,0.00139785,0.00000550,0.00218626,0.00698881,0.00001857,0.02613360
-5.89794897,0.02286800,0.00185469,0.00000453,0.00240793,0.00591376,0.00002486,0.02084787
-5.89194597,0.01967826,0.00245321,0.00000377,0.00279143,0.00514629,0.00003304,0.01655617
-5.88594297,0.01757632,0.00322958,0.00000321,0.00336377,0.00466715,0.00004360,0.01311078
-5.87993997,0.01650498,0.00422747,0.00000281,0.00415919,0.00446494,0.00005712,0.01038153
-5.87393697,0.01643705,0.00549906,0.00000257,0.00522007,0.00453658,0.00007429,0.00825569
-5.86793397,0.01737616,0.00710600,0.00000249,0.00659764,0.00488758,0.00009594,0.00663736
-5.86193097,0.01935724,0.00912024,0.00000255,0.00835270,0.00553229,0.00012300,0.00544649
-5.85592796,0.02244651,0.01162475,0.00000276,0.01055616,0.00649399,0.00015657,0.00461769
-5.84992496,0.02674095,0.01471403,0.00000312,0.01328931,0.00780482,0.00019786,0.00409895
-5.84392196,0.03236733,0.01849426,0.00000364,0.01664387,0.00950565,0.00024826,0.00385022
-5.83791896,0.03948047,0.02308310,0.00000433,0.02072162,0.01164572,0.00030926,0.00384195
-5.83191596,0.04826090,0.02860898,0.00000520,0.02563357,0.01428205,0.00038248,0.00405378
-5.82591296,0.05891161,0.03520978,0.00000627,0.03149863,0.01747869,0.00046964,0.00447311
-5.81990995,0.07165381,0.04303096,0.00000756,0.03844169,0.02130559,0.00057254,0.00509381
-5.81390695,0.08672173,0.05222284,0.00000909,0.04659101,0.02583727,0.00069298,0.00591499
-5.80790395,0.10435620,0.06293726,0.00001088,0.05607498,0.03115106,0.00083273,0.00693976
-5.80190095,0.12479720,0.07532340,0.00001295,0.06701819,0.03732507,0.00099350,0.00817411
