energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Y_p_up,Y_d_up
-6.00000000,3.45324779,0.04553399,1.30575241,0.08153155,0.00000000,0.98891269,0.77304309
-5.99399700,3.49239465,0.04577714,1.32105105,0.08275744,0.00000000,0.99851842,0.78411954
-5.98799400,3.51345053,0.04578850,1.32869556,0.08350033,0.00000000,1.00284735,0.79086080
-5.98199100,3.51600953,0.04556581,1.32857238,0.08374905,0.00000000,1.00183284,0.79315532
-5.97598799,3.49999401,0.04511097,1.32071903,0.08350254,0.00000000,0.99550709,0.79097517
-5.96998499,3.46566311,0.04443011,1.30532398,0.08277000,0.00000000,0.98400219,0.78437769
-5.96398199,3.41361127,0.04353350,1.28272182,0.08157069,0.00000000,0.96754817,0.77350452
-5.95797899,3.34475687,0.04243539,1.25338396,0.07993346,0.00000000,0.94646819,0.75857815
-5.95197599,3.26032098,0.04115362,1.21790514,0.07789591,0.00000000,0.92117083,0.73989598
-5.94597299,3.16179721,0.03970924,1.17698649,0.07550328,0.00000000,0.89213982,0.71782214
-5.93996998,3.05091334,0.03812594,1.13141555,0.07280718,0.00000000,0.85992154,0.69277754
-5.93396698,2.92958642,0.03642944,1.08204429,0.06986400,0.00000000,0.82511067,0.66522821
-5.92796398,2.79987257,0.03464683,1.02976570,0.06673335,0.00000000,0.78833455,0.63567265
-5.92196098,2.66391363,0.03280587,0.97549003,0.06347635,0.00000000,0.75023676,0.60462858
-5.91595798,2.52388218,0.03093428,0.92012135,0.06015391,0.00000000,0.71146042,0.57261940
-5.90995498,2.38192705,0.02905907,0.86453534,0.05682512,0.00000000,0.67263190,0.54016107
-5.90395198,2.24012105,0.02720585,0.80955895,0.05354574,0.00000000,0.63434531,0.50774969
-5.89794897,2.10041270,0.02539833,0.75595252,0.05036682,0.00000000,0.59714844,0.47585022
-5.89194597,1.96458338,0.02365778,0.70439497,0.04733355,0.00000000,0.56153044,0.44488667
-5.88594297,1.83421135,0.02200259,0.65547226,0.04448436,0.00000000,0.52791169,0.41523414
-5.87993997,1.71064346,0.02044806,0.60966949,0.04185025,0.00000000,0.49663611,0.38721271
-5.87393697,1.59497544,0.01900614,0.56736667,0.03945438,0.00000000,0.46796614,0.36108357
-5.86793397,1.48804105,0.01768541,0.52883809,0.03731199,0.00000000,0.44208044,0.33704721
-5.86193097,1.39041016,0.01649108,0.49425529,0.03543051,0.00000000,0.41907435,0.31524381
-5.85592796,1.30239556,0.01542515,0.46369318,0.03380999,0.00000000,0.39896305,0.29575568
-5.84992496,1.22406791,0.01448666,0.43713910,0.03244369,0.00000000,0.38168719,0.27861154
-5.84392196,1.15527800,0.01367200,0.41450439,0.03131894,0.00000000,0.36712072,0.26379253
-5.83791896,1.09568527,0.01297528,0.39563789,0.03041813,0.00000000,0.35508074,0.25123956
