energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.32632443,0.02203923,0.14771269,0.52538091,0.58862166,0.74550109,0.43359957,0.00856578,1.11736990
-5.99399700,2.34853150,0.02161856,0.14859928,0.53116775,0.59238256,0.76529932,0.43841877,0.00893541,1.12330810
-5.98799400,2.37083158,0.02109996,0.14958306,0.53759264,0.59529089,0.78546891,0.44352778,0.00927975,1.12946156
-5.98199100,2.39285155,0.02049443,0.15063183,0.54454903,0.59734790,0.80561132,0.44886119,0.00959428,1.13570595
-5.97598799,2.41412357,0.01981395,0.15170633,0.55189511,0.59854959,0.82529809,0.45433169,0.00987497,1.14186342
-5.96998499,2.43410913,0.01907119,0.15276249,0.55946090,0.59888894,0.84408429,0.45983514,0.01011844,1.14771323
-5.96398199,2.45222888,0.01827915,0.15375423,0.56705713,0.59835896,0.86152386,0.46525662,0.01032205,1.15300543
-5.95797899,2.46789662,0.01745084,0.15463653,0.57448538,0.59695643,0.87718627,0.47047742,0.01048403,1.15747693
-5.95197599,2.48055575,0.01659903,0.15536873,0.58154906,0.59468598,0.89067383,0.47538234,0.01060355,1.16086897
-5.94597299,2.48971603,0.01573606,0.15591775,0.58806465,0.59156439,0.90163876,0.47986704,0.01068079,1.16294521
-5.93996998,2.49498880,0.01487358,0.15626119,0.59387260,0.58762454,0.90979927,0.48384496,0.01071700,1.16350922
-5.93396698,2.49611860,0.01402251,0.15639002,0.59884727,0.58291910,0.91495375,0.48725351,0.01071447,1.16242059
-5.92796398,2.49300944,0.01319288,0.15631072,0.60290553,0.57752330,0.91699243,0.49005916,0.01067652,1.15960862
-5.92196098,2.48574428,0.01239384,0.15604682,0.60601335,0.57153691,0.91590570,0.49226120,0.01060745,1.15508289
-5.91595798,2.47459648,0.01163359,0.15563956,0.60819021,0.56508500,0.91178872,0.49389397,0.01051250,1.14893999
-5.90995498,2.46003251,0.01091940,0.15514782,0.60951091,0.55831747,0.90484187,0.49502742,0.01039767,1.14136609
-5.90395198,2.44270567,0.01025765,0.15464707,0.61010472,0.55140737,0.89536692,0.49576610,0.01026967,1.13263506
-5.89794897,2.42344082,0.00965380,0.15422754,0.61015193,0.54454787,0.88375898,0.49624646,0.01013578,1.12310208
-5.89194597,2.40321083,0.00911246,0.15399158,0.60987772,0.53794807,0.87049456,0.49663272,0.01000364,1.11319317
-5.88594297,2.38310565,0.00863739,0.15405033,0.60954382,0.53182782,0.85611613,0.49711148,0.00988116,1.10339084
-5.87993997,2.36429529,0.00823146,0.15451985,0.60943814,0.52641164,0.84121379,0.49788526,0.00977632,1.09421656
-5.87393697,2.34798841,0.00789672,0.15551682,0.60986297,0.52192201,0.82640494,0.49916529,0.00969698,1.08621092
-5.86793397,2.33538815,0.00763431,0.15715416,0.61112205,0.51857232,0.81231274,0.50116396,0.00965073,1.07991213
-5.86193097,2.32764720,0.00744445,0.15953651,0.61350740,0.51655977,0.79954428,0.50408704,0.00964473,1.07583405
-5.85592796,2.32582402,0.00732642,0.16275605,0.61728610,0.51605843,0.78866936,0.50812626,0.00968545,1.07444450
