energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,4.06499914,0.79843063,2.08471309,0.00539149,0.49716333,0.03281793,1.44642582,0.21239294,0.17814594
-5.99399700,4.11888889,0.80335207,2.10823027,0.00535972,0.51805635,0.03355512,1.44373889,0.22461638,0.18888904
-5.98799400,4.17794031,0.80944764,2.13418401,0.00539438,0.53984229,0.03426674,1.44239812,0.23773901,0.19980391
-5.98199100,4.24008863,0.81636720,2.16149697,0.00549713,0.56212841,0.03494270,1.44176462,0.25169924,0.21074463
-5.97598799,4.30327242,0.82378075,2.18908559,0.00566922,0.58451838,0.03557444,1.44121426,0.26643276,0.22156056
-5.96998499,4.36551877,0.83139167,2.21590747,0.00591146,0.60662672,0.03615502,1.44016635,0.28187538,0.23210105
-5.96398199,4.42502161,0.83894811,2.24100494,0.00622416,0.62809260,0.03667917,1.43810914,0.29796553,0.24222011
-5.95797899,4.48020968,0.84625224,2.26354307,0.00660705,0.64859251,0.03714330,1.43462110,0.31464601,0.25178087
-5.95197599,4.52980119,0.85316671,2.28284039,0.00705922,0.66785112,0.03754547,1.42938705,0.33186492,0.26065964
-5.94597299,4.57284312,0.85961827,2.29839105,0.00757905,0.68564990,0.03788531,1.42220857,0.34957570,0.26874933
-5.93996998,4.60873374,0.86559833,2.30987791,0.00816412,0.70183318,0.03816387,1.41300837,0.36773625,0.27596220
-5.93396698,4.63722815,0.87116054,2.31717599,0.00881121,0.71631138,0.03838349,1.40182872,0.38630709,0.28223180
-5.92796398,4.65842707,0.87641566,2.32034691,0.00951628,0.72906134,0.03854757,1.38882431,0.40524886,0.28751403
-5.92196098,4.67275062,0.88152407,2.31962473,0.01027448,0.74012386,0.03866033,1.37425011,0.42451916,0.29178747
-5.91595798,4.68089901,0.88668637,2.31539469,0.01108021,0.74959852,0.03872658,1.35844533,0.44406912,0.29505280
-5.90995498,4.68380299,0.89213272,2.30816604,0.01192725,0.75763624,0.03875147,1.34181434,0.46383980,0.29733170
-5.90395198,4.68256734,0.89811145,2.29854101,0.01280893,0.76442991,0.03874021,1.32480589,0.48375894,0.29866512
-5.89794897,4.67841071,0.90487774,2.28718150,0.01371837,0.77020364,0.03869789,1.30789193,0.50373811,0.29911118
-5.89194597,4.67260534,0.91268286,2.27477567,0.01464871,0.77520108,0.03862928,1.29154709,0.52367071,0.29874287
-5.88594297,4.66641997,0.92176458,2.26200594,0.01559349,0.77967356,0.03853872,1.27623008,0.54343087,0.29764568
-5.87993997,4.66106861,0.93233930,2.24952019,0.01654695,0.78386833,0.03843002,1.26236791,0.56287357,0.29591525
-5.87393697,4.65766775,0.94459608,2.23790734,0.01750449,0.78801766,0.03830646,1.25034363,0.58183599,0.29365529
-5.86793397,4.65720343,0.95869301,2.22767835,0.01846301,0.79232905,0.03817086,1.24048807,0.60014004,0.29097565
-5.86193097,4.66050932,0.97475581,2.21925309,0.01942133,0.79697707,0.03802567,1.23307577,0.61759614,0.28799076
-5.85592796,4.66825581,0.99287858,2.21295338,0.02038051,0.80209694,0.03787315,1.22832503,0.63400796,0.28481829
-5.84992496,4.68094963,1.01312665,2.20900189,0.02134421,0.80778017,0.03771555,1.22640156,0.64917808,0.28157813
-5.84392196,4.69894297,1.03554087,2.20752645,0.02231887,0.81407221,0.03755531,1.22742535,0.66291412,0.27839145
-5.83791896,4.72245002,1.06014315,2.20856878,0.02331387,0.82097219,0.03739532,1.23147968,0.67503523,0.27537989
-5.83191596,4.75156918,1.08694246,2.21209681,0.02434150,0.82843458,0.03723905,1.23862152,0.68537852,0.27266465
-5.82591296,4.78630825,1.11594088,2.21801916,0.02541691,0.83637264,0.03709073,1.24889214,0.69380521,0.27036555
-5.81990995,4.82661036,1.14713885,2.22620071,0.02655778,0.84466334,0.03695543,1.26232697,0.70020613,0.26859966
-5.81390695,4.87237803,1.18053924,2.23647797,0.02778391,0.85315355,0.03683906,1.27896360,0.70450645,0.26747976
-5.80790395,4.92349336,1.21614957,2.24867308,0.02911665,0.86166715,0.03674831,1.29884719,0.70666933,0.26711235
-5.80190095,4.97983250,1.25398196,2.26260564,0.03057816,0.87001272,0.03669046,1.32203245,0.70669835,0.26759529
-5.79589795,5.04127293,1.29405055,2.27810141,0.03219055,0.87799136,0.03667316,1.34858185,0.70463879,0.26901509
-5.78989495,5.10769295,1.33636617,2.29499756,0.03397489,0.88540455,0.03670406,1.37855973,0.70057744,0.27144390
-5.78389195,5.17896312,1.38092848,2.31314417,0.03595013,0.89206144,0.03679045,1.41202257,0.69464120,0.27493642
-5.77788894,5.25492994,1.42771557,2.33240207,0.03813202,0.89778547,0.03693874,1.44900568,0.68699447,0.27952666
-5.77188594,5.33539311,1.47667174,2.35263732,0.04053194,0.90242005,0.03715404,1.48950706,0.67783528,0.28522498
-5.76588294,5.42007756,1.52769395,2.37371287,0.04315588,0.90583302,0.03743966,1.53346939,0.66739059,0.29201539
-5.75987994,5.50860270,1.58061780,2.39547827,0.04600340,0.90791986,0.03779664,1.58076122,0.65591059,0.29985343
-5.75387694,5.60045093,1.63520396,2.41775824,0.04906683,0.90860551,0.03822340,1.63115880,0.64366242,0.30866475
-5.74787394,5.69493820,1.69112618,2.44034115,0.05233063,0.90784488,0.03871538,1.68432982,0.63092339,0.31834455
-5.74187094,5.79118926,1.74796181,2.46296855,0.05577099,0.90562194,0.03926488,1.73982044,0.61797397,0.32875807
-5.73586793,5.88812004,1.80518586,2.48532659,0.05935578,0.90194783,0.03986098,1.79704698,0.60509061,0.33974209
-5.72986493,5.98442942,1.86216962,2.50704039,0.06304470,0.89685779,0.04048963,1.85529323,0.59253877,0.35110763
-5.72386193,6.07860225,1.91818424,2.52767200,0.06678991,0.89040747,0.04113386,1.91371429,0.58056625,0.36264369
-5.71785893,6.16892459,1.97241010,2.54672254,0.07053686,0.88266865,0.04177416,1.97134735,0.56939698,0.37412204
-5.71185593,6.25351187,2.02395166,2.56363871,0.07422556,0.87372474,0.04238901,2.02712953,0.55922552,0.38530288
-5.70585293,6.33034933,2.07185800,2.57782368,0.07779207,0.86366629,0.04295551,2.07992249,0.55021235,0.39594124
-5.69984992,6.39734398,2.11514814,2.58865206,0.08117028,0.85258675,0.04345014,2.12854295,0.54248012,0.40579374
-5.69384692,6.45238575,2.15284054,2.59548827,0.08429382,0.84057866,0.04384956,2.17179807,0.53611086,0.41462569
-5.68784392,6.49341562,2.18398524,2.59770754,0.08709813,0.82773049,0.04413144,2.20852423,0.53114442,0.42221807
-5.68184092,6.51849727,2.20769760,2.59471842,0.08952256,0.81412416,0.04427535,2.23762732,0.52757788,0.42837408
-5.67583792,6.52588893,2.22319167,2.58598568,0.09151232,0.79983331,0.04426350,2.25812279,0.52536622,0.43292514
-5.66983492,6.51411171,2.22981172,2.57105230,0.09302042,0.78492236,0.04408149,2.26917340,0.52442394,0.43573600
-5.66383192,6.48201077,2.22706031,2.54955935,0.09400918,0.76944625,0.04371889,2.27012285,0.52462780,0.43670866
-5.65782891,6.42880619,2.21462127,2.52126266,0.09445163,0.75345075,0.04316970,2.26052346,0.52582039,0.43578512
