energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.11489564,0.08668277,0.00000000,0.03797995,1.28920437,1.04840487,0.45212529
-5.99399700,2.07684028,0.08749080,0.00000000,0.03820083,1.26556536,1.02939146,0.44355794
-5.98799400,2.04803499,0.08836352,0.00000000,0.03853136,1.24796932,1.01426852,0.43764315
-5.98199100,2.02860489,0.08930687,0.00000000,0.03897831,1.23649897,1.00311884,0.43442794
-5.97598799,2.01860706,0.09033072,0.00000000,0.03954748,1.23118900,0.99598151,0.43393716
-5.96998499,2.01803244,0.09144829,0.00000000,0.04024370,1.23202779,0.99285423,0.43617415
-5.96398199,2.02680843,0.09267549,0.00000000,0.04107076,1.23895945,0.99369639,0.44112153
-5.95797899,2.04480144,0.09403012,0.00000000,0.04203136,1.25188606,0.99843222,0.44874217
-5.95197599,2.07181876,0.09553103,0.00000000,0.04312705,1.27066942,1.00695376,0.45897990
-5.94597299,2.10760931,0.09719719,0.00000000,0.04435808,1.29513215,1.01912341,0.47175995
-5.93996998,2.15186294,0.09904674,0.00000000,0.04572329,1.32505782,1.03477575,0.48698913
-5.93396698,2.20420829,0.10109600,0.00000000,0.04721988,1.36019024,1.05371868,0.50455555
-5.92796398,2.26420938,0.10335847,0.00000000,0.04884329,1.40023189,1.07573385,0.52432804
-5.92196098,2.33136142,0.10584390,0.00000000,0.05058692,1.44484184,1.10057657,0.54615546
-5.91595798,2.40508653,0.10855741,0.00000000,0.05244203,1.49363348,1.12797545,0.56986581
-5.90995498,2.48473002,0.11149883,0.00000000,0.05439752,1.54617274,1.15763223,0.59526570
-5.90395198,2.56955838,0.11466205,0.00000000,0.05643991,1.60197712,1.18922199,0.62214000
-5.89794897,2.65875966,0.11803475,0.00000000,0.05855329,1.66051633,1.22239440,0.65025228
-5.89194597,2.75144725,0.12159828,0.00000000,0.06071943,1.72121487,1.25677619,0.67934593
-5.88594297,2.84666763,0.12532785,0.00000000,0.06291793,1.78345714,1.29197531,0.70914635
-5.87993997,2.94341265,0.12919303,0.00000000,0.06512660,1.84659530,1.32758683,0.73936425
-5.87393697,3.04063648,0.13315846,0.00000000,0.06732184,1.90995996,1.36320082,0.76970002
-5.86793397,3.13727698,0.13718498,0.00000000,0.06947921,1.97287369,1.39841211,0.79984931
-5.86193097,3.23228120,0.14123084,0.00000000,0.07157406,2.03466696,1.43283151,0.82950952
-5.85592796,3.32463392,0.14525325,0.00000000,0.07358224,2.09469604,1.46609843,0.85838710
-5.84992496,3.41338830,0.14920998,0.00000000,0.07548088,2.15236208,1.49789405,0.88620535
-5.84392196,3.49769703,0.15306110,0.00000000,0.07724915,2.20713063,1.52795464,0.91271238
-5.83791896,3.57684263,0.15677057,0.00000000,0.07886905,2.25855041,1.55608413,0.93768883
-5.83191596,3.65026510,0.16030795,0.00000000,0.08032606,2.30627057,1.58216542,0.96095493
-5.82591296,3.71758534,0.16364969,0.00000000,0.08160976,2.35005519,1.60616938,0.98237662
-5.81990995,3.77862291,0.16678037,0.00000000,0.08271430,2.38979425,1.62816127,1.00187020
-5.81390695,3.83340692,0.16969344,0.00000000,0.08363870,2.42551032,1.64830368,1.01940529
-5.80790395,3.88217905,0.17239177,0.00000000,0.08438701,2.45736026,1.66685598,1.03500592
-5.80190095,3.92538826,0.17488764,0.00000000,0.08496819,2.48563177,1.68416974,1.04874955
-5.79589795,3.96367715,0.17720244,0.00000000,0.08539594,2.51073470,1.70068046,1.06076398
-5.78989495,3.99786031,0.17936585,0.00000000,0.08568819,2.53318733,1.71689561,1.07122238
-5.78389195,4.02889551,0.18141480,0.00000000,0.08586658,2.55359822,1.73337961,1.08033641
-5.77788894,4.05784907,0.18339197,0.00000000,0.08595564,2.57264436,1.75073625,1.08834798
-5.77188594,4.08585680,0.18534411,0.00000000,0.08598202,2.59104660,1.76958936,1.09551983
-5.76588294,4.11408250,0.18732021,0.00000000,0.08597353,2.60954356,1.79056272,1.10212549
-5.75987994,4.14367589,0.18936953,0.00000000,0.08595820,2.62886519,1.81425996,1.10843898
-5.75387694,4.17573198,0.19153969,0.00000000,0.08596336,2.64970723,1.84124547,1.11472493
-5.74787394,4.21125365,0.19387482,0.00000000,0.08601474,2.67270778,1.87202719,1.12122930
-5.74187094,4.25111930,0.19641391,0.00000000,0.08613567,2.69842689,1.90704198,1.12817139
-5.73586793,4.29605663,0.19918937,0.00000000,0.08634642,2.72733023,1.94664412,1.13573728
-5.72986493,4.34662382,0.20222596,0.00000000,0.08666363,2.75977723,1.99109731,1.14407512
-5.72386193,4.40319839,0.20553996,0.00000000,0.08709988,2.79601415,2.04057042,1.15329220
-5.71785893,4.46597394,0.20913879,0.00000000,0.08766353,2.83617202,2.09513666,1.16345414
-5.71185593,4.53496433,0.21302090,0.00000000,0.08835858,2.88026935,2.15477616,1.17458584
-5.70585293,4.61001463,0.21717606,0.00000000,0.08918475,2.92821895,2.21938122,1.18667422
-5.69984992,4.69081747,0.22158590,0.00000000,0.09013768,2.97983826,2.28876378,1.19967247
-5.69384692,4.77693375,0.22622472,0.00000000,0.09120928,3.03486226,2.36266418,1.21350540
-5.68784392,4.86781587,0.23106053,0.00000000,0.09238810,3.09295807,2.44076063,1.22807564
-5.68184092,4.96283209,0.23605618,0.00000000,0.09365984,3.15374015,2.52267846,1.24327022
-5.67583792,5.06129056,0.24117060,0.00000000,0.09500784,3.21678525,2.60799868,1.25896728
-5.66983492,5.16246159,0.24636006,0.00000000,0.09641368,3.28164628,2.69626513,1.27504230
-5.66383192,5.26559716,0.25157934,0.00000000,0.09785764,3.34786434,2.78699003,1.29137389
-5.65782891,5.36994698,0.25678293,0.00000000,0.09931932,3.41497865,2.87965777,1.30784856
-5.65182591,5.47477068,0.26192598,0.00000000,0.10077804,3.48253394,2.97372706,1.32436450
-5.64582291,5.57934613,0.26696523,0.00000000,0.10221335,3.55008540,3.06863160,1.34083420
-5.63981991,5.68297411,0.27185969,0.00000000,0.10360536,3.61720143,3.16378000,1.35718586
-5.63381691,5.78498010,0.27657125,0.00000000,0.10493515,3.68346442,3.25855533,1.37336371
-5.62781391,5.88471382,0.28106505,0.00000000,0.10618498,3.74847033,3.35231506,1.38932724
-5.62181091,5.98154748,0.28530976,0.00000000,0.10733856,3.81182728,3.44439213,1.40504961
-5.61580790,6.07487377,0.28927776,0.00000000,0.10838122,3.87315423,3.53409766,1.42051536
-5.60980490,6.16410438,0.29294515,0.00000000,0.10930001,3.93207983,3.62072584,1.43571765
-5.60380190,6.24866984,0.29629176,0.00000000,0.11008383,3.98824231,3.70356133,1.45065530
-5.59779890,6.32802128,0.29930104,0.00000000,0.11072343,4.04129055,3.78188919,1.46532971
-5.59179590,6.40163428,0.30196000,0.00000000,0.11121145,4.09088651,3.85500726,1.47974211
-5.58579290,6.46901508,0.30425909,0.00000000,0.11154243,4.13670923,3.92224054,1.49389098
-5.57978989,6.52970870,0.30619208,0.00000000,0.11171273,4.17846004,3.98295710,1.50777007
