energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.15501274,0.00353730,0.00004630,0.00002218,0.08929615,0.09342998,0.05649184
-5.99399700,0.15717585,0.00381189,0.00003967,0.00002416,0.08986150,0.09958804,0.05649557
-5.98799400,0.15980583,0.00408847,0.00003391,0.00002753,0.09078425,0.10543375,0.05673868
-5.98199100,0.16278233,0.00436689,0.00002901,0.00003260,0.09200032,0.11086528,0.05717636
-5.97598799,0.16599431,0.00464793,0.00002493,0.00003978,0.09345128,0.11578598,0.05776617
-5.96998499,0.16934794,0.00493353,0.00002165,0.00004952,0.09508908,0.12010782,0.05847097
-5.96398199,0.17277415,0.00522702,0.00001915,0.00006240,0.09688067,0.12375473,0.05926176
-5.95797899,0.17623559,0.00553325,0.00001741,0.00007912,0.09881215,0.12666564,0.06012020
-5.95197599,0.17973267,0.00585884,0.00001642,0.00010049,0.10089246,0.12879715,0.06104090
-5.94597299,0.18330847,0.00621224,0.00001619,0.00012744,0.10315630,0.13012564,0.06203323
-5.93996998,0.18705231,0.00660380,0.00001672,0.00016109,0.10566636,0.13064879,0.06312267
-5.93396698,0.19110170,0.00704582,0.00001805,0.00020270,0.10851448,0.13038624,0.06435163
-5.92796398,0.19564264,0.00755242,0.00002022,0.00025367,0.11182189,0.12937965,0.06577969
-5.92196098,0.20090805,0.00813942,0.00002328,0.00031559,0.11573824,0.12769180,0.06748315
-5.91595798,0.20717441,0.00882404,0.00002732,0.00039020,0.12043961,0.12540503,0.06955399
-5.90995498,0.21475638,0.00962462,0.00003242,0.00047939,0.12612520,0.12261895,0.07209822
-5.90395198,0.22399970,0.01056008,0.00003866,0.00058518,0.13301304,0.11944748,0.07523350
-5.89794897,0.23527236,0.01164948,0.00004616,0.00070967,0.14133451,0.11601539,0.07908629
-5.89194597,0.24895414,0.01291135,0.00005502,0.00085508,0.15132790,0.11245453,0.08378835
-5.88594297,0.26542495,0.01436303,0.00006536,0.00102363,0.16323112,0.10889975,0.08947293
-5.87993997,0.28505207,0.01601993,0.00007730,0.00121753,0.17727375,0.10548477,0.09627042
-5.87393697,0.30817680,0.01789479,0.00009093,0.00143893,0.19366863,0.10233814,0.10430390
-5.86793397,0.33510079,0.01999698,0.00010637,0.00168985,0.21260317,0.09957945,0.11368450
-5.86193097,0.36607253,0.02233173,0.00012368,0.00197214,0.23423082,0.09731584,0.12450674
-5.85592796,0.40127461,0.02489959,0.00014293,0.00228739,0.25866282,0.09563901,0.13684415
-5.84992496,0.44081195,0.02769587,0.00016416,0.00263689,0.28596071,0.09462281,0.15074509
-5.84392196,0.48470173,0.03071029,0.00018736,0.00302156,0.31612972,0.09432142,0.16622915
-5.83791896,0.53286540,0.03392680,0.00021250,0.00344192,0.34911359,0.09476824,0.18328411
-5.83191596,0.58512312,0.03732357,0.00023952,0.00389803,0.38479083,0.09597543,0.20186374
-5.82591296,0.64119103,0.04087320,0.00026829,0.00438947,0.42297282,0.09793412,0.22188643
-5.81990995,0.70068156,0.04454315,0.00029866,0.00491531,0.46340392,0.10061533,0.24323480
-5.81390695,0.76310697,0.04829640,0.00033041,0.00547411,0.50576354,0.10397136,0.26575642
-5.80790395,0.82788609,0.05209226,0.00036330,0.00606391,0.54967038,0.10793779,0.28926545
-5.80190095,0.89435416,0.05588739,0.00039704,0.00668229,0.59468865,0.11243586,0.31354545
-5.79589795,0.96177551,0.05963692,0.00043127,0.00732630,0.64033614,0.11737517,0.33835302
-5.78989495,1.02935872,0.06329564,0.00046563,0.00799261,0.68609390,0.12265664,0.36342242
-5.78389195,1.09627375,0.06681927,0.00049971,0.00867744,0.73141726,0.12817547,0.38847078
-5.77788894,1.16167044,0.07016560,0.00053310,0.00937668,0.77574770,0.13382428,0.41320394
-5.77188594,1.22469780,0.07329566,0.00056534,0.01008585,0.81852530,0.13949596,0.43732261
-5.76588294,1.28452332,0.07617464,0.00059601,0.01080020,0.85920116,0.14508643,0.46052859
-5.75987994,1.34035166,0.07877269,0.00062465,0.01151471,0.89724952,0.15049718,0.48253103
-5.75387694,1.39144216,0.08106543,0.00065086,0.01222412,0.93217901,0.15563733,0.50305236
-5.74787394,1.43712444,0.08303433,0.00067423,0.01292292,0.96354288,0.16042552,0.52183371
-5.74187094,1.47681187,0.08466671,0.00069440,0.01360543,0.99094763,0.16479124,0.53863986
-5.73586793,1.51001231,0.08595558,0.00071107,0.01426576,1.01406008,0.16867596,0.55326335
