energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
1.34767384,0.28410135,0.00025179,0.01400507,0.00000480,0.36758908,0.00000000,0.03709438,0.00067147
1.35367684,0.27544402,0.00031804,0.01247226,0.00000716,0.35680443,0.00000000,0.03686327,0.00062742
1.35967984,0.26821207,0.00039886,0.01111479,0.00001060,0.34754268,0.00000000,0.03666759,0.00058966
1.36568284,0.26241566,0.00049665,0.00994413,0.00001559,0.33976976,0.00000000,0.03649389,0.00055851
1.37168584,0.25805142,0.00061404,0.00897006,0.00002275,0.33343261,0.00000000,0.03632904,0.00053424
1.37768884,0.25511015,0.00075380,0.00820128,0.00003297,0.32846928,0.00000000,0.03616140,0.00051705
1.38369185,0.25358391,0.00091885,0.00764596,0.00004745,0.32481856,0.00000000,0.03598204,0.00050713
1.38969485,0.25347232,0.00111215,0.00731236,0.00006779,0.32242837,0.00000000,0.03578577,0.00050464
1.39569785,0.25478741,0.00133668,0.00720936,0.00009616,0.32126271,0.00000000,0.03557207,0.00050975
1.40170085,0.25755711,0.00159534,0.00734690,0.00013544,0.32130665,0.00000000,0.03534583,0.00052264
1.40770385,0.26182690,0.00189084,0.00773634,0.00018940,0.32256915,0.00000000,0.03511791,0.00054352
1.41370685,0.26765980,0.00222562,0.00839066,0.00026297,0.32508380,0.00000000,0.03490548,0.00057258
1.41970985,0.27513470,0.00260175,0.00932452,0.00036254,0.32890717,0.00000000,0.03473212,0.00061005
1.42571286,0.28434309,0.00302083,0.01055422,0.00049624,0.33411535,0.00000000,0.03462779,0.00065615
1.43171586,0.29538467,0.00348387,0.01209735,0.00067442,0.34079853,0.00000000,0.03462861,0.00071110
1.43771886,0.30836181,0.00399127,0.01397243,0.00091005,0.34905422,0.00000000,0.03477645,0.00077508
1.44372186,0.32337367,0.00454272,0.01619828,0.00121927,0.35897945,0.00000000,0.03511852,0.00084825
1.44972486,0.34050991,0.00513721,0.01879324,0.00162192,0.37066230,0.00000000,0.03570680,0.00093069
1.45572786,0.35984477,0.00577301,0.02177428,0.00214219,0.38417336,0.00000000,0.03659744,0.00102239
1.46173087,0.38143162,0.00644779,0.02515599,0.00280919,0.39955744,0.00000000,0.03785024,0.00112325
1.46773387,0.40529848,0.00715861,0.02894948,0.00365763,0.41682610,0.00000000,0.03952801,0.00123307
1.47373687,0.43144465,0.00790218,0.03316124,0.00472840,0.43595117,0.00000000,0.04169608,0.00135147
1.47973987,0.45983880,0.00867496,0.03779200,0.00606909,0.45685980,0.00000000,0.04442169,0.00147796
1.48574287,0.49041836,0.00947343,0.04283570,0.00773442,0.47943113,0.00000000,0.04777350,0.00161188
1.49174587,0.52309046,0.01029429,0.04827850,0.00978649,0.50349481,0.00000000,0.05182102,0.00175244
1.49774887,0.55773419,0.01113478,0.05409801,0.01229477,0.52883148,0.00000000,0.05663397,0.00189866
1.50375188,0.59420403,0.01199289,0.06026274,0.01533586,0.55517514,0.00000000,0.06228152,0.00204945
1.50975488,0.63233410,0.01286765,0.06673179,0.01899286,0.58221745,0.00000000,0.06883139,0.00220357
