energy_ev,total_up,Al_p_up,Al_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,2.78183640,0.03139147,0.00000000,1.75109535,1.21940932,0.00016693,2.24386149
-5.99399700,2.59344587,0.02897849,0.00000000,1.67064630,1.12298395,0.00020290,2.08863343
-5.98799400,2.41287047,0.02677572,0.00000000,1.59249012,1.03058916,0.00024496,1.93947353
-5.98199100,2.24145213,0.02479910,0.00000000,1.51725700,0.94290853,0.00029369,1.79745293
-5.97598799,2.08021877,0.02306024,0.00000000,1.44544065,0.86046900,0.00034962,1.66338737
-5.96998499,1.92989327,0.02156649,0.00000000,1.37740261,0.78364477,0.00041326,1.53784552
-5.96398199,1.79091061,0.02032114,0.00000000,1.31338019,0.71266532,0.00048500,1.42116433
-5.95797899,1.66344165,0.01932363,0.00000000,1.25349735,0.64762684,0.00056511,1.31346980
-5.95197599,1.54742158,0.01856971,0.00000000,1.19777739,0.58850624,0.00065374,1.21470175
-5.94597299,1.44258136,0.01805172,0.00000000,1.14615669,0.53517677,0.00075085,1.12464096
-5.93996998,1.34848039,0.01775875,0.00000000,1.09849867,0.48742454,0.00085621,1.04293736
-5.93396698,1.26453913,0.01767690,0.00000000,1.05460729,0.44496520,0.00096935,0.96913794
-5.92796398,1.19007040,0.01778942,0.00000000,1.01423971,0.40746010,0.00108958,0.90271339
-5.92196098,1.12430845,0.01807701,0.00000000,0.97711765,0.37453146,0.00121596,0.84308254
-5.91595798,1.06643539,0.01851803,0.00000000,0.94293739,0.34577629,0.00134728,0.78963424
-5.90995498,1.01560447,0.01908879,0.00000000,0.91137849,0.32077866,0.00148212,0.74174614
-5.90395198,0.97096035,0.01976387,0.00000000,0.88211113,0.29912033,0.00161881,0.69880042
-5.89794897,0.93165636,0.02051653,0.00000000,0.85480258,0.28038973,0.00175553,0.66019651
-5.89194597,0.89686907,0.02131912,0.00000000,0.82912282,0.26418930,0.00189026,0.62536099
-5.88594297,0.86581063,0.02214363,0.00000000,0.80474974,0.25014136,0.00202093,0.59375504
-5.87993997,0.83773913,0.02296224,0.00000000,0.78137419,0.23789269,0.00214540,0.56487979
-5.87393697,0.81196745,0.02374790,0.00000000,0.75870492,0.22711802,0.00226158,0.53828004
-5.86793397,0.78787090,0.02447501,0.00000000,0.73647383,0.21752249,0.00236749,0.51354659
-5.86193097,0.76489390,0.02512007,0.00000000,0.71444129,0.20884346,0.00246129,0.49031769
-5.85592796,0.74255582,0.02566229,0.00000000,0.69240168,0.20085156,0.00254145,0.46827968
-5.84992496,0.72045604,0.02608421,0.00000000,0.67018898,0.19335136,0.00260673,0.44716725
-5.84392196,0.69827821,0.02637225,0.00000000,0.64768219,0.18618149,0.00265628,0.42676320
-5.83791896,0.67579356,0.02651713,0.00000000,0.62481036,0.17921436,0.00268973,0.40689800
-5.83191596,0.65286312,0.02651424,0.00000000,0.60155695,0.17235566,0.00270716,0.38744896
-5.82591296,0.62943873,0.02636382,0.00000000,0.57796332,0.16554333,0.00270921,0.36833910
-5.81990995,0.60556255,0.02607106,0.00000000,0.55413097,0.15874627,0.00269705,0.34953563
-5.81390695,0.58136508,0.02564603,0.00000000,0.53022240,0.15196272,0.00267240,0.33104800
-5.80790395,0.55706148,0.02510346,0.00000000,0.50646051,0.14521822,0.00263750,0.31292538
-5.80190095,0.53294615,0.02446239,0.00000000,0.48312619,0.13856328,0.00259511,0.29525372
-5.79589795,0.50938570,0.02374569,0.00000000,0.46055444,0.13207067,0.00254843,0.27815210
-5.78989495,0.48681023,0.02297951,0.00000000,0.43912866,0.12583249,0.00250108,0.26176874
-5.78389195,0.46570316,0.02219257,0.00000000,0.41927349,0.11995686,0.00245699,0.24627629
-5.77788894,0.44658978,0.02141542,0.00000000,0.40144622,0.11456451,0.00242035,0.23186689
-5.77188594,0.43002459,0.02067968,0.00000000,0.38612689,0.10978510,0.00239550,0.21874669
-5.76588294,0.41657781,0.02001720,0.00000000,0.37380736,0.10575351,0.00238686,0.20713021
-5.75987994,0.40682121,0.01945927,0.00000000,0.36497951,0.10260602,0.00239877,0.19723446
-5.75387694,0.40131347,0.01903579,0.00000000,0.36012281,0.10047646,0.00243547,0.18927296
-5.74787394,0.40058533,0.01877454,0.00000000,0.35969143,0.09949248,0.00250089,0.18344977
-5.74187094,0.40512479,0.01870042,0.00000000,0.36410124,0.09977188,0.00259862,0.17995358
