energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.82003780,0.03769269,0.04864787,0.78907429,0.82138159,0.00688402,1.69961692,0.64211146,0.19705843
-5.99399700,2.76573720,0.03734872,0.04525821,0.75734777,0.81559973,0.00673888,1.66308020,0.61443886,0.19463157
-5.98799400,2.71017064,0.03697066,0.04205968,0.72665349,0.80927364,0.00660452,1.62522416,0.58607950,0.19225621
-5.98199100,2.65437447,0.03658020,0.03907646,0.69735522,0.80263335,0.00648445,1.58670628,0.55738742,0.18999517
-5.97598799,2.59936169,0.03619775,0.03632759,0.66977040,0.79592064,0.00638184,1.54817647,0.52870932,0.18790752
-5.96998499,2.54609815,0.03584164,0.03382714,0.64416573,0.78938269,0.00629942,1.51026184,0.50037818,0.18604693
-5.96398199,2.49547787,0.03552737,0.03158442,0.62075358,0.78326446,0.00623946,1.47355084,0.47270700,0.18446001
-5.95797899,2.44829856,0.03526709,0.02960436,0.59968946,0.77780029,0.00620369,1.43857783,0.44598298,0.18318468
-5.95197599,2.40523867,0.03506917,0.02788775,0.58107049,0.77320497,0.00619330,1.40580835,0.42046225,0.18224871
-5.94597299,2.36683704,0.03493796,0.02643171,0.56493508,0.76966486,0.00620890,1.37562630,0.39636548,0.18166844
-5.93996998,2.33347651,0.03487376,0.02522998,0.55126401,0.76732967,0.00625055,1.34832339,0.37387442,0.18144781
-5.93396698,2.30537243,0.03487295,0.02427334,0.53998274,0.76630534,0.00631776,1.32409170,0.35312969,0.18157788
-5.92796398,2.28256710,0.03492832,0.02355000,0.53096527,0.76664849,0.00640955,1.30301971,0.33422970,0.18203667
-5.92196098,2.26493040,0.03502957,0.02304595,0.52403922,0.76836290,0.00652451,1.28509224,0.31723099,0.18278963
-5.91595798,2.25216724,0.03516389,0.02274538,0.51899233,0.77139825,0.00666083,1.27019426,0.30214978,0.18379052
-5.90995498,2.24383141,0.03531675,0.02263104,0.51558008,0.77565130,0.00681639,1.25811868,0.28896478,0.18498287
-5.90395198,2.23934556,0.03547260,0.02268462,0.51353418,0.78096955,0.00698880,1.24857770,0.27762108,0.18630184
-5.89794897,2.23802638,0.03561576,0.02288711,0.51257186,0.78715716,0.00717552,1.24121726,0.26803496,0.18767650
-5.89194597,2.23911409,0.03573114,0.02321918,0.51240549,0.79398307,0.00737383,1.23563405,0.26009942,0.18903235
-5.88594297,2.24180479,0.03580501,0.02366152,0.51275233,0.80119067,0.00758096,1.23139420,0.25369012,0.19029412
-5.87993997,2.24528421,0.03582562,0.02419522,0.51334394,0.80850880,0.00779408,1.22805284,0.24867161,0.19138853
-5.87393697,2.24876150,0.03578372,0.02480212,0.51393503,0.81566343,0.00801031,1.22517367,0.24490341,0.19224707
-5.86793397,2.25150133,0.03567296,0.02546510,0.51431137,0.82238934,0.00822679,1.22234761,0.24224576,0.19280851
-5.86193097,2.25285305,0.03549006,0.02616840,0.51429647,0.82844152,0.00844061,1.21920976,0.24056494,0.19302122
-5.85592796,2.25227552,0.03523490,0.02689797,0.51375671,0.83360542,0.00864889,1.21545381,0.23973767,0.19284499
-5.84992496,2.24935667,0.03491041,0.02764168,0.51260497,0.83770583,0.00884869,1.21084350,0.23965470,0.19225243
-5.84392196,2.24382702,0.03452228,0.02838958,0.51080228,0.84061379,0.00903708,1.20522048,0.24022336,0.19122984
-5.83791896,2.23556662,0.03407864,0.02913412,0.50835782,0.84225147,0.00921109,1.19850845,0.24136896,0.18977753
-5.83191596,2.22460545,0.03358950,0.02987034,0.50532704,0.84259462,0.00936776,1.19071343,0.24303519,0.18790954
-5.82591296,2.21111729,0.03306624,0.03059600,0.50180815,0.84167271,0.00950413,1.18192030,0.24518336,0.18565289
-5.81990995,2.19540769,0.03252094,0.03131168,0.49793709,0.83956672,0.00961730,1.17228585,0.24779075,0.18304636
-5.81390695,2.17789672,0.03196576,0.03202085,0.49388126,0.83640484,0.00970446,1.16202881,0.25084816,0.18013875
-5.80790395,2.15909741,0.03141235,0.03272988,0.48983232,0.83235627,0.00976297,1.15141739,0.25435669,0.17698697
-5.80190095,2.13959109,0.03087123,0.03344802,0.48599834,0.82762355,0.00979044,1.14075502,0.25832424,0.17365380
-5.79589795,2.12000075,0.03035131,0.03418727,0.48259560,0.82243368,0.00978479,1.13036496,0.26276159,0.17020550
-5.78989495,2.10096363,0.02985948,0.03496227,0.47984049,0.81702862,0.00974436,1.12057449,0.26767861,0.16670949
-5.78389195,2.08310432,0.02940029,0.03579007,0.47794175,0.81165540,0.00966795,1.11169948,0.27308054,0.16323200
-5.77788894,2.06700927,0.02897576,0.03668985,0.47709328,0.80655648,0.00955496,1.10402989,0.27896476,0.15983591
-5.77188594,2.05320387,0.02858536,0.03768255,0.47746786,0.80196042,0.00940541,1.09781687,0.28531798,0.15657874
