energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.30936229,-0.70185250,0.00339596,-0.01630908,0.29680762,-0.01325101,0.01147869,-0.00522954,0.00000000,-0.00000000,0.69566780,-0.10698521,1.11343917,-0.15892528,0.01102197,-0.00307192,0.88492369,-0.41653537
-5.99399700,2.38327047,-0.68806756,0.00386263,-0.01517680,0.29824646,-0.01222827,0.01215830,-0.00504522,0.00000000,-0.00000000,0.74211821,-0.10196252,1.12895970,-0.15858219,0.01171389,-0.00319954,0.92778076,-0.40866197
-5.98799400,2.45462192,-0.68007928,0.00437237,-0.01418895,0.29782754,-0.01148311,0.01287157,-0.00490152,0.00000000,-0.00000000,0.78964871,-0.09860556,1.14047950,-0.15929248,0.01245328,-0.00336797,0.97194376,-0.40408195
-5.98199100,2.52269539,-0.67747637,0.00492644,-0.01333259,0.29557092,-0.01098420,0.01361096,-0.00479552,0.00000000,-0.00000000,0.83773594,-0.09682366,1.14790523,-0.16096025,0.01323163,-0.00357560,1.01694707,-0.40257923
-5.97598799,2.58676918,-0.67980716,0.00552594,-0.01259393,0.29153493,-0.01070161,0.01436774,-0.00472412,0.00000000,-0.00000000,0.88580167,-0.09652274,1.15120929,-0.16348208,0.01403948,-0.00382029,1.06226814,-0.40391165
-5.96998499,2.64612518,-0.68658999,0.00617187,-0.01195868,0.28581346,-0.01060691,0.01513202,-0.00468407,0.00000000,-0.00000000,0.93322231,-0.09760695,1.15042447,-0.16674898,0.01486655,-0.00409948,1.10733447,-0.40781716
-5.96398199,2.70005595,-0.69732308,0.00686518,-0.01141246,0.27853212,-0.01067342,0.01589302,-0.00467212,0.00000000,-0.00000000,0.97934143,-0.09997994,1.14563759,-0.17064829,0.01570192,-0.00441013,1.15153401,-0.41401976
-5.95797899,2.74787509,-0.71149379,0.00760673,-0.01094112,0.26984362,-0.01087618,0.01663929,-0.00468507,0.00000000,-0.00000000,1.02348488,-0.10354577,1.13698252,-0.17506550,0.01653438,-0.00474881,1.19422864,-0.42223520
-5.95197599,2.78893097,-0.72858706,0.00839738,-0.01053101,0.25992239,-0.01119206,0.01735903,-0.00471981,0.00000000,-0.00000000,1.06497824,-0.10820942,1.12463326,-0.17988618,0.01735264,-0.00511170,1.23477052,-0.43217605
-5.94597299,2.82262348,-0.74809319,0.00923793,-0.01016927,0.24895887,-0.01159971,0.01804042,-0.00477343,0.00000000,-0.00000000,1.10316583,-0.11387705,1.10879730,-0.18499772,0.01814572,-0.00549464,1.27252064,-0.44355641
-5.93996998,2.84842309,-0.76951448,0.01012916,-0.00984401,0.23715367,-0.01207957,0.01867200,-0.00484318,0.00000000,-0.00000000,1.13743067,-0.12045595,1.08970969,-0.19029100,0.01890328,-0.00589315,1.30686875,-0.45609598
-5.93396698,2.86589132,-0.79237121,0.01107175,-0.00954448,0.22471193,-0.01261378,0.01924308,-0.00492657,0.00000000,-0.00000000,1.16721440,-0.12785433,1.06762799,-0.19566197,0.01961592,-0.00630249,1.33725380,-0.46952362
-5.92796398,2.87470125,-0.81620643,0.01206626,-0.00926122,0.21183796,-0.01318621,0.01974404,-0.00502136,0.00000000,-0.00000000,1.19203626,-0.13598092,1.04282822,-0.20101304,0.02027554,-0.00671770,1.36318365,-0.48358025
-5.92196098,2.87465685,-0.84058998,0.01311303,-0.00898614,0.19873053,-0.01378232,0.02016675,-0.00512552,0.00000000,-0.00000000,1.21151017,-0.14474460,1.01560180,-0.20625423,0.02087558,-0.00713365,1.38425322,-0.49802119
-5.91595798,2.86570951,-0.86512146,0.01421206,-0.00871252,0.18557889,-0.01438917,0.02050479,-0.00523732,0.00000000,-0.00000000,1.22535901,-0.15405394,0.98625332,-0.21130416,0.02141123,-0.00754508,1.40015976,-0.51261789
