energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,5.20213698,0.04493880,0.33185041,1.15453133,0.55860280,1.50917772,0.44502946,0.04384054,2.68888542
-5.99399700,5.15407584,0.04468852,0.33105070,1.14761813,0.55038033,1.49160214,0.44340760,0.04362379,2.66084118
-5.98799400,5.08624462,0.04418563,0.32914931,1.13640446,0.53981827,1.46777310,0.44031840,0.04323555,2.62242257
-5.98199100,4.99959976,0.04344580,0.32611783,1.12097309,0.52713049,1.43806989,0.43574735,0.04270259,2.57426050
-5.97598799,4.89552919,0.04248968,0.32195237,1.10150066,0.51257988,1.40298072,0.42971577,0.04205871,2.51721505
-5.96998499,4.77582568,0.04134234,0.31667415,1.07825628,0.49647211,1.36309091,0.42228136,0.04134411,2.45235900
-5.96398199,4.64265054,0.04003264,0.31032937,1.05159768,0.47914843,1.31906907,0.41353771,0.04060455,2.38095610
-5.95797899,4.49848845,0.03859252,0.30298852,1.02196511,0.46097780,1.27165205,0.40361292,0.03989043,2.30443481
-5.95197599,4.34609483,0.03705621,0.29474501,0.98987293,0.44234855,1.22162875,0.39266713,0.03925557,2.22435834
-5.94597299,4.18843694,0.03545939,0.28571316,0.95589933,0.42365979,1.16982352,0.38088927,0.03875604,2.14239142
-5.93996998,4.02862982,0.03383836,0.27602566,0.92067403,0.40531286,1.11707913,0.36849286,0.03844877,2.06026476
-5.93396698,3.86986832,0.03222923,0.26583046,0.88486453,0.38770279,1.06423999,0.35571105,0.03839013,1.97973756
-5.92796398,3.71535619,0.03066715,0.25528715,0.84916086,0.37121015,1.01213547,0.34279099,0.03863442,1.90255889
-5.92196098,3.56823373,0.02918552,0.24456299,0.81425931,0.35619312,0.96156373,0.32998765,0.03923237,1.83042843
-5.91595798,3.43150487,0.02781541,0.23382863,0.78084536,0.34298021,0.91327623,0.31755719,0.04022967,1.76495724
-5.90995498,3.30796544,0.02658493,0.22325363,0.74957625,0.33186338,0.86796299,0.30575006,0.04166549,1.70762926
-5.90395198,3.20013380,0.02551875,0.21300193,0.72106362,0.32309189,0.82623888,0.29480412,0.04357112,1.65976434
-5.89794897,3.11018583,0.02463776,0.20322741,0.69585656,0.31686690,0.78863120,0.28493777,0.04596876,1.62248353
-5.89194597,3.03989582,0.02395875,0.19406973,0.67442579,0.31333688,0.75556864,0.27634359,0.04887042,1.59667775
-5.88594297,2.99058531,0.02349429,0.18565053,0.65714918,0.31259406,0.72737215,0.26918246,0.05227711,1.58298065
-5.87993997,2.96308182,0.02325264,0.17807014,0.64429947,0.31467195,0.70424777,0.26357851,0.05617828,1.58174680
