energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,4.71404171,0.00423335,0.43896181,1.41890267,2.96131383,0.91034923,0.73201955,0.33528826,0.00000000
-5.99399700,4.63822670,0.00412322,0.44191057,1.37891412,2.89482946,0.90119453,0.72338520,0.33448875,0.00000000
-5.98799400,4.55833127,0.00399502,0.44343858,1.33813816,2.82684097,0.88978007,0.71458835,0.33351528,0.00000000
-5.98199100,4.47410570,0.00385104,0.44341833,1.29659720,2.75728481,0.87599109,0.70555132,0.33234977,0.00000000
-5.97598799,4.38541653,0.00369385,0.44174813,1.25434500,2.68618339,0.85975381,0.69619815,0.33097293,0.00000000
-5.96998499,4.29226097,0.00352625,0.43835580,1.21146519,2.61365019,0.84104088,0.68645987,0.32936540,0.00000000
-5.96398199,4.19477745,0.00335114,0.43320166,1.16806878,2.53989134,0.81987525,0.67628019,0.32750929,0.00000000
-5.95797899,4.09325184,0.00317147,0.42628051,1.12429100,2.46520326,0.79633251,0.66562115,0.32538980,0.00000000
-5.95197599,3.98811912,0.00299017,0.41762263,1.08028768,2.38996661,0.77054134,0.65446872,0.32299712,0.00000000
-5.94597299,3.87996011,0.00281005,0.40729368,1.03623136,2.31463666,0.74268224,0.64283786,0.32032823,0.00000000
-5.93996998,3.76949335,0.00263374,0.39539348,0.99230735,2.23973040,0.71298447,0.63077688,0.31738876,0.00000000
-5.93396698,3.65756226,0.00246362,0.38205389,0.94870999,2.16581084,0.68172142,0.61837089,0.31419463,0.00000000
-5.92796398,3.54511774,0.00230179,0.36743567,0.90563905,2.09346908,0.64920464,0.60574397,0.31077335,0.00000000
-5.92196098,3.43319686,0.00215004,0.35172451,0.86329654,2.02330476,0.61577661,0.59306014,0.30716504,0.00000000
-5.91595798,3.32289816,0.00200977,0.33512653,0.82188370,1.95590574,0.58180287,0.58052278,0.30342277,0.00000000
-5.90995498,3.21535441,0.00188206,0.31786325,0.78159846,1.89182767,0.54766358,0.56837263,0.29961250,0.00000000
-5.90395198,3.11170386,0.00176757,0.30016629,0.74263303,1.83157439,0.51374488,0.55688429,0.29581229,0.00000000
-5.89794897,3.01306084,0.00166664,0.28227202,0.70517181,1.77557988,0.48043055,0.54636145,0.29211095,0.00000000
-5.89194597,2.92048709,0.00157926,0.26441628,0.66938945,1.72419270,0.44809395,0.53713080,0.28860607,0.00000000
-5.88594297,2.83496468,0.00150507,0.24682942,0.63544903,1.67766346,0.41709077,0.52953505,0.28540162,0.00000000
-5.87993997,2.75737177,0.00144345,0.22973166,0.60350038,1.63613609,0.38775255,0.52392517,0.28260501,0.00000000
-5.87393697,2.68846213,0.00139351,0.21332901,0.57367859,1.59964327,0.36038124,0.52065213,0.28032406,0.00000000
-5.86793397,2.62884929,0.00135416,0.19780972,0.54610257,1.56810645,0.33524472,0.52005848,0.27866378,0.00000000
-5.86193097,2.57899575,0.00132412,0.18334137,0.52087387,1.54134039,0.31257349,0.52247011,0.27772322,0.00000000
