energy_ev,total_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,4.84867799,2.14904416,1.16277527,0.10831989,2.89398192,0.10228950,0.00000000
-5.99399700,4.76175363,2.13831126,1.13715740,0.10702002,2.83503482,0.09973165,0.00000000
-5.98799400,4.68159817,2.13046010,1.11300858,0.10585280,2.77970348,0.09744670,0.00000000
-5.98199100,4.60843597,2.12537514,1.09037637,0.10480113,2.72814837,0.09544095,0.00000000
-5.97598799,4.54219563,2.12282531,1.06923467,0.10384238,2.68034790,0.09371354,0.00000000
-5.96998499,4.48254053,2.12247984,1.04949205,0.10294976,2.63611705,0.09225703,0.00000000
-5.96398199,4.42890704,2.12392686,1.03100215,0.10209371,2.59513097,0.09105812,0.00000000
-5.95797899,4.38054784,2.12669356,1.01357550,0.10124347,2.55695219,0.09009853,0.00000000
-5.95197599,4.33657802,2.13026710,0.99699200,0.10036849,2.52105992,0.08935587,0.00000000
-5.94597299,4.29602154,2.13411522,0.98101349,0.09943977,2.48687991,0.08880457,0.00000000
-5.93996998,4.25785593,2.13770583,0.96539588,0.09843103,2.45381343,0.08841683,0.00000000
-5.93396698,4.22105344,2.14052471,0.94990015,0.09731970,2.42126431,0.08816344,0.00000000
-5.92796398,4.18461708,2.14209100,0.93430203,0.09608761,2.38866288,0.08801459,0.00000000
-5.92196098,4.14761088,2.14196988,0.91839982,0.09472149,2.35548620,0.08794060,0.00000000
-5.91595798,4.10918352,2.13978238,0.90202049,0.09321316,2.32127410,0.08791255,0.00000000
-5.90995498,4.06858557,2.13521227,0.88502373,0.09155956,2.28564083,0.08790280,0.00000000
-5.90395198,4.02518043,2.12801005,0.86730423,0.08976243,2.24828243,0.08788544,0.00000000
-5.89794897,3.97844959,2.11799439,0.84879219,0.08782798,2.20898009,0.08783663,0.00000000
-5.89194597,3.92799320,2.10505113,0.82945241,0.08576628,2.16759980,0.08773490,0.00000000
-5.88594297,3.87352656,2.08913032,0.80928214,0.08359060,2.12408898,0.08756132,0.00000000
-5.87993997,3.81487371,2.07024157,0.78830804,0.08131670,2.07847057,0.08729968,0.00000000
-5.87393697,3.75195898,2.04844813,0.76658246,0.07896213,2.03083517,0.08693649,0.00000000
-5.86793397,3.68479718,2.02385990,0.74417938,0.07654543,1.98133186,0.08646109,0.00000000
-5.86193097,3.61348323,1.99662587,0.72119018,0.07408552,1.93015813,0.08586554,0.00000000
-5.85592796,3.53818172,1.96692620,0.69771950,0.07160105,1.87754954,0.08514458,0.00000000
-5.84992496,3.45911672,1.93496405,0.67388123,0.06910990,1.82376932,0.08429548,0.00000000
-5.84392196,3.37656215,1.90095778,0.64979488,0.06662874,1.76909842,0.08331786,0.00000000
-5.83791896,3.29083279,1.86513336,0.62558228,0.06417267,1.71382619,0.08221348,0.00000000
