energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.57711986,0.04875065,0.00000000,0.28966358,0.00000000,0.25237891,0.07070836
-5.99399700,0.60261602,0.04962367,0.00000000,0.30307855,0.00000000,0.26150018,0.07504171
-5.98799400,0.62623905,0.05014978,0.00000000,0.31565781,0.00000000,0.26945501,0.07932526
-5.98199100,0.64778803,0.05031767,0.00000000,0.32730096,0.00000000,0.27615234,0.08352971
-5.97598799,0.66709344,0.05012369,0.00000000,0.33792102,0.00000000,0.28152266,0.08762483
-5.96998499,0.68401715,0.04957201,0.00000000,0.34744417,0.00000000,0.28551879,0.09157930
-5.96398199,0.69845141,0.04867445,0.00000000,0.35580911,0.00000000,0.28811591,0.09536066
-5.95797899,0.71031668,0.04745006,0.00000000,0.36296598,0.00000000,0.28931088,0.09893517
-5.95197599,0.71955896,0.04592448,0.00000000,0.36887501,0.00000000,0.28912100,0.10226795
-5.94597299,0.72614668,0.04412902,0.00000000,0.37350514,0.00000000,0.28758222,0.10532306
-5.93996998,0.73006765,0.04209960,0.00000000,0.37683277,0.00000000,0.28474700,0.10806390
-5.93396698,0.73132635,0.03987561,0.00000000,0.37884075,0.00000000,0.28068204,0.11045372
-5.92796398,0.72994178,0.03749861,0.00000000,0.37951783,0.00000000,0.27546579,0.11245633
-5.92196098,0.72594621,0.03501111,0.00000000,0.37885856,0.00000000,0.26918615,0.11403695
-5.91595798,0.71938487,0.03245532,0.00000000,0.37686382,0.00000000,0.26193829,0.11516331
-5.90995498,0.71031665,0.02987209,0.00000000,0.37354187,0.00000000,0.25382265,0.11580677
-5.90395198,0.69881578,0.02729984,0.00000000,0.36890995,0.00000000,0.24494337,0.11594354
-5.89794897,0.68497423,0.02477378,0.00000000,0.36299624,0.00000000,0.23540688,0.11555593
-5.89194597,0.66890480,0.02232531,0.00000000,0.35584220,0.00000000,0.22532093,0.11463343
-5.88594297,0.65074446,0.01998152,0.00000000,0.34750492,0.00000000,0.21479381,0.11317377
-5.87993997,0.63065769,0.01776501,0.00000000,0.33805948,0.00000000,0.20393384,0.11118372
-5.87393697,0.60883958,0.01569384,0.00000000,0.32760109,0.00000000,0.19284904,0.10867963
-5.86793397,0.58551826,0.01378167,0.00000000,0.31624676,0.00000000,0.18164687,0.10568765
-5.86193097,0.56095658,0.01203805,0.00000000,0.30413650,0.00000000,0.17043409,0.10224370
-5.85592796,0.53545272,0.01046883,0.00000000,0.29143392,0.00000000,0.15931654,0.09839300
-5.84992496,0.50933971,0.00907670,0.00000000,0.27832598,0.00000000,0.14839891,0.09418937
-5.84392196,0.48298367,0.00786171,0.00000000,0.26502223,0.00000000,0.13778451,0.08969414
-5.83791896,0.45678106,0.00682190,0.00000000,0.25175313,0.00000000,0.12757480,0.08497488
-5.83191596,0.43115465,0.00595389,0.00000000,0.23876786,0.00000000,0.11786900,0.08010389
-5.82591296,0.40654871,0.00525344,0.00000000,0.22633142,0.00000000,0.10876348,0.07515656
-5.81990995,0.38342323,0.00471595,0.00000000,0.21472128,0.00000000,0.10035115,0.07020968
