energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.16763234,0.02784048,0.07818649,0.37041971,1.47204322,0.02182413,0.42213592,0.04318600,0.11904818
-5.99399700,2.17971338,0.02807213,0.08853496,0.39641018,1.44125318,0.02531681,0.44674045,0.04390675,0.11956679
-5.98799400,2.20813126,0.02839673,0.10054625,0.42807213,1.41507995,0.02944995,0.47673838,0.04493761,0.12331560
-5.98199100,2.25468581,0.02882479,0.11434064,0.46572034,1.39501277,0.03426150,0.51247467,0.04630171,0.13016420
-5.97598799,2.32125748,0.02936888,0.13003266,0.50968984,1.38256692,0.03978807,0.55430762,0.04802688,0.14001310
-5.96998499,2.40973124,0.03004259,0.14772628,0.56031919,1.37924480,0.04606321,0.60258903,0.05014403,0.15278646
-5.96398199,2.52191608,0.03085953,0.16750976,0.61793255,1.38649596,0.05311558,0.65764299,0.05268526,0.16842387
-5.95797899,2.65946252,0.03183217,0.18945037,0.68282106,1.40567710,0.06096706,0.71974386,0.05568182,0.18687174
-5.95197599,2.82378059,0.03297079,0.21358917,0.75522432,1.43801269,0.06963075,0.78909441,0.05916204,0.20807438
-5.94597299,3.01596068,0.03428248,0.23993599,0.83531251,1.48455713,0.07910904,0.86580481,0.06314930,0.23196529
-5.93996998,3.23669971,0.03577019,0.26846479,0.92316984,1.54615922,0.08939178,0.94987337,0.06765996,0.25845885
-5.93396698,3.48623475,0.03743198,0.29910975,1.01877978,1.62342952,0.10045456,1.04116975,0.07270157,0.28744280
-5.92796398,3.76428634,0.03926045,0.33176201,1.12201261,1.71671165,0.11225733,1.13942128,0.07827123,0.31877160
-5.92196098,4.07001340,0.04124234,0.36626752,1.23261565,1.82605789,0.12474329,1.24420313,0.08435421,0.35226112
-5.91595798,4.40198149,0.04335841,0.40242594,1.35020632,1.95121003,0.13783814,1.35493258,0.09092294,0.38768471
-5.90995498,4.75814573,0.04558350,0.43999077,1.47426838,2.09158613,0.15144988,1.47086795,0.09793634,0.42477090
-5.90395198,5.13584963,0.04788691,0.47867080,1.60415121,2.24627363,0.16546901,1.59111233,0.10533957,0.46320282
-5.89794897,5.53184041,0.05023289,0.51813293,1.73907222,2.41402965,0.17976936,1.71462204,0.11306420,0.50261938
-5.89194597,5.94230115,0.05258148,0.55800622,1.87812220,2.59328862,0.19420943,1.84021982,0.12102886,0.54261832
-5.88594297,6.36289956,0.05488945,0.59788732,2.02027338,2.78217779,0.20863430,1.96661244,0.12914025,0.58276100
-5.87993997,6.78885263,0.05711141,0.63734696,2.16439005,2.97854065,0.22287809,2.09241222,0.13729471,0.62257882
-5.87393697,7.21500603,0.05920106,0.67593753,2.30924136,3.17996815,0.23676691,2.21616201,0.14538006,0.66158124
-5.86793397,7.63592654,0.06111250,0.71320133,2.45351601,3.38383749,0.25012219,2.33636282,0.15327788,0.69926493
-5.86193097,8.04600525,0.06280159,0.74867957,2.59583866,3.58735777,0.26276443,2.45150333,0.16086610,0.73512397
-5.85592796,8.43956902,0.06422723,0.78192157,2.73478769,3.78762177,0.27451711,2.56009055,0.16802177,0.76866072
-5.84992496,8.81099719,0.06535263,0.81249409,2.86891401,3.98166263,0.28521073,2.66068054,0.17462404,0.79939692
-5.84392196,9.15484026,0.06614644,0.83999043,2.99676095,4.16651422,0.29468685,2.75190848,0.18055716,0.82688471
-5.83791896,9.46593729,0.06658369,0.86403911,3.11688476,4.33927342,0.30280196,2.83251718,0.18571349,0.85071722
-5.83191596,9.73952848,0.06664658,0.88431174,3.22787574,4.49716277,0.30943108,2.90138313,0.18999632,0.87053825
-5.82591296,9.97135962,0.06632504,0.90053004,3.32837980,4.63759159,0.31447089,2.95753960,0.19332251,0.88605080
-5.81990995,10.15777547,0.06561698,0.91247167,3.41712013,4.75821375,0.31784243,3.00019603,0.19562475,0.89702407
-5.81390695,10.29579909,0.06452833,0.91997476,3.49291898,4.85698036,0.31949314,3.02875324,0.19685345,0.90329876
-5.80790395,10.38319502,0.06307285,0.92294109,3.55471903,4.93218562,0.31939812,3.04281430,0.19697811,0.90479053
-5.80190095,10.41851446,0.06127166,0.92133771,3.60160414,4.98250448,0.31756081,3.04219067,0.19598817,0.90149133
-5.79589795,10.40112128,0.05915249,0.91519720,3.63281908,5.00702100,0.31401280,3.02690375,0.19389324,0.89346887
-5.78989495,10.33119845,0.05674885,0.90461631,3.64778758,5.00524633,0.30881288,2.99718181,0.19072283,0.88086401
-5.78389195,10.20973479,0.05409896,0.88975333,3.64612828,4.97712611,0.30204548,2.95345260,0.18652543,0.86388644
-5.77788894,10.03849306,0.05124459,0.87082413,3.62766797,4.92303682,0.29381833,2.89633189,0.18136709,0.84280862
-5.77188594,9.81996043,0.04822980,0.84809699,3.59245137,4.84377167,0.28425969,2.82660843,0.17532946,0.81795843
-5.76588294,9.55728329,0.04509974,0.82188653,3.54074696,4.74051627,0.27351497,2.74522576,0.16850753,0.78971061
-5.75987994,9.25418865,0.04189941,0.79254671,3.47304833,4.61481534,0.26174318,2.65326143,0.16100695,0.75847747
-5.75387694,8.91489453,0.03867249,0.76046338,3.39007056,4.46853130,0.24911301,2.55190419,0.15294117,0.72469907
-5.74787394,8.54401226,0.03546034,0.72604624,3.29274130,4.30379645,0.23579892,2.44242971,0.14442849,0.68883326
-5.74187094,8.14644359,0.03230108,0.68972070,3.18218667,4.12296019,0.22197725,2.32617549,0.13558908,0.65134578
-5.73586793,7.72727535,0.02922889,0.65191972,3.05971185,3.92853288,0.20782244,2.20451548,0.12654208,0.61270080
-5.72986493,7.29167472,0.02627344,0.61307581,2.92677676,3.72312824,0.19350359,2.07883493,0.11740296,0.57335209
-5.72386193,6.84478768,0.02345957,0.57361342,2.78496758,3.50940585,0.17918129,1.95050619,0.10828108,0.53373497
-5.71785893,6.39164308,0.02080707,0.53394181,2.63596459,3.29001535,0.16500493,1.82086568,0.09927763,0.49425928
-5.71185593,5.93706462,0.01833072,0.49444869,2.48150756,3.06754392,0.15111047,1.69119277,0.09048390,0.45530349
-5.70585293,5.48559244,0.01604044,0.45549456,2.32335957,2.84446816,0.13761868,1.56269072,0.08198009,0.41720985
-5.69984992,5.04141589,0.01394158,0.41740795,2.16327070,2.62311166,0.12463397,1.43647018,0.07383437,0.38028088
-5.69384692,4.60831852,0.01203533,0.38048171,2.00294250,2.40560894,0.11224367,1.31353547,0.06610249,0.34477697
