energy_ev,total_up,P_s_up,P_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.00086934,0.00000000,0.00030224,0.00029343,0.00017740,0.00000148,0.00021055
-5.99399700,0.00111751,0.00000000,0.00038852,0.00037719,0.00022804,0.00000191,0.00027066
-5.98799400,0.00142620,0.00000000,0.00049584,0.00048138,0.00029103,0.00000243,0.00034542
-5.98199100,0.00180710,0.00000000,0.00062826,0.00060994,0.00036876,0.00000308,0.00043768
-5.97598799,0.00227327,0.00000000,0.00079033,0.00076729,0.00046389,0.00000388,0.00055058
-5.96998499,0.00283917,0.00000000,0.00098707,0.00095829,0.00057937,0.00000484,0.00068764
-5.96398199,0.00352047,0.00000000,0.00122393,0.00118825,0.00071839,0.00000601,0.00085265
-5.95797899,0.00433391,0.00000000,0.00150673,0.00146281,0.00088439,0.00000739,0.00104966
-5.95197599,0.00529700,0.00000000,0.00184156,0.00178788,0.00108092,0.00000904,0.00128292
-5.94597299,0.00642761,0.00000000,0.00223463,0.00216949,0.00131163,0.00001097,0.00155675
-5.93996998,0.00774352,0.00000000,0.00269212,0.00261364,0.00158016,0.00001321,0.00187547
-5.93396698,0.00926186,0.00000000,0.00321999,0.00312612,0.00189000,0.00001580,0.00224320
-5.92796398,0.01099835,0.00000000,0.00382370,0.00371223,0.00224435,0.00001876,0.00266378
-5.92196098,0.01296662,0.00000000,0.00450799,0.00437657,0.00264600,0.00002212,0.00314049
-5.91595798,0.01517735,0.00000000,0.00527657,0.00512275,0.00309712,0.00002589,0.00367592
-5.90995498,0.01763742,0.00000000,0.00613185,0.00595309,0.00359913,0.00003009,0.00427175
-5.90395198,0.02034905,0.00000000,0.00707457,0.00686834,0.00415247,0.00003471,0.00492850
-5.89794897,0.02330898,0.00000000,0.00810363,0.00786740,0.00475648,0.00003976,0.00564539
-5.89194597,0.02650772,0.00000000,0.00921570,0.00894705,0.00540923,0.00004522,0.00642012
-5.88594297,0.02992894,0.00000000,0.01040513,0.01010181,0.00610737,0.00005106,0.00724873
-5.87993997,0.03354906,0.00000000,0.01166370,0.01132369,0.00684610,0.00005723,0.00812551
