energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.89948742,0.23866379,0.00069365,0.41088557,0.00000000,0.33165658,0.28133220
-5.99399700,0.91724776,0.23657832,0.00068872,0.42403490,0.00000000,0.33306414,0.29182557
-5.98799400,0.93342405,0.23413410,0.00068467,0.43642049,0.00000000,0.33405699,0.30165474
-5.98199100,0.94787348,0.23144943,0.00068169,0.44784449,0.00000000,0.33466269,0.31068663
-5.97598799,0.96053291,0.22865822,0.00068011,0.45814959,0.00000000,0.33493552,0.31881612
-5.96998499,0.97142513,0.22590923,0.00068033,0.46722368,0.00000000,0.33495689,0.32596989
-5.96398199,0.98066408,0.22336528,0.00068289,0.47500375,0.00000000,0.33483561,0.33210975
-5.95797899,0.98845861,0.22120253,0.00068844,0.48147890,0.00000000,0.33470793,0.33723515
-5.95197599,0.99511472,0.21960956,0.00069772,0.48669238,0.00000000,0.33473734,0.34138499
-5.94597299,1.00103583,0.21878639,0.00071161,0.49074258,0.00000000,0.33511400,0.34463850
-5.93996998,1.00672111,0.21894309,0.00073109,0.49378289,0.00000000,0.33605374,0.34711519
-5.93396698,1.01276148,0.22029816,0.00075723,0.49602046,0.00000000,0.33779645,0.34897392
-5.92796398,1.01983335,0.22307633,0.00079120,0.49771382,0.00000000,0.34060395,0.35041096
-5.92196098,1.02868977,0.22750583,0.00083425,0.49916937,0.00000000,0.34475699,0.35165722
-5.91595798,1.04014918,0.23381501,0.00088771,0.50073680,0.00000000,0.35055154,0.35297456
-5.90995498,1.05508155,0.24222830,0.00095293,0.50280338,0.00000000,0.35829417,0.35465123
-5.90395198,1.07439220,0.25296151,0.00103130,0.50578736,0.00000000,0.36829661,0.35699662
-5.89794897,1.09900325,0.26621651,0.00112420,0.51013033,0.00000000,0.38086933,0.36033518
-5.89194597,1.12983308,0.28217536,0.00123296,0.51628868,0.00000000,0.39631444,0.36499980
-5.88594297,1.16777392,0.30099406,0.00135884,0.52472430,0.00000000,0.41491781,0.37132451
-5.87993997,1.21366816,0.32279614,0.00150301,0.53589456,0.00000000,0.43694062,0.37963677
-5.87393697,1.26828378,0.34766624,0.00166646,0.55024161,0.00000000,0.46261061,0.39024930
-5.86793397,1.33228938,0.37564398,0.00184999,0.56818135,0.00000000,0.49211307,0.40345174
-5.86193097,1.40622966,0.40671850,0.00205421,0.59009206,0.00000000,0.52558216,0.41950209
-5.85592796,1.49050205,0.44082375,0.00227940,0.61630307,0.00000000,0.56309254,0.43861832
-5.84992496,1.58533522,0.47783515,0.00252560,0.64708367,0.00000000,0.60465195,0.46097023
-5.84392196,1.69077047,0.51756754,0.00279250,0.68263257,0.00000000,0.65019486,0.48667178
-5.83791896,1.80664673,0.55977496,0.00307945,0.72306834,0.00000000,0.69957769,0.51577426
-5.83191596,1.93259019,0.60415232,0.00338546,0.76842111,0.00000000,0.75257583,0.54826052
-5.82591296,2.06800907,0.65033905,0.00370918,0.81862596,0.00000000,0.80888285,0.58404049
-5.81990995,2.21209436,0.69792489,0.00404895,0.87351833,0.00000000,0.86811197,0.62294833
-5.81390695,2.36382690,0.74645770,0.00440277,0.93283178,0.00000000,0.92980012,0.66474148
-5.80790395,2.52199100,0.79545314,0.00476840,0.99619837,0.00000000,0.99341443,0.70910165
-5.80190095,2.68519470,0.84440609,0.00514335,1.06315185,0.00000000,1.05836136,0.75563809
-5.79589795,2.85189626,0.89280337,0.00552497,1.13313368,0.00000000,1.12399807,0.80389311
-5.78989495,3.02043638,0.94013739,0.00591053,1.20550191,0.00000000,1.18964586,0.85334976
-5.78389195,3.18907532,0.98592037,0.00629723,1.27954284,0.00000000,1.25460542,0.90344172
-5.77788894,3.35603370,1.02969842,0.00668236,1.35448498,0.00000000,1.31817318,0.95356507
-5.77188594,3.51953588,1.07106507,0.00706329,1.42951517,0.00000000,1.37965844,1.00309170
-5.76588294,3.67785415,1.10967371,0.00743761,1.50379619,0.00000000,1.43840057,1.05138391
-5.75987994,3.82935242,1.14524835,0.00780316,1.57648549,0.00000000,1.49378571,1.09780989
