energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.56830483,0.00121295,0.52224939,1.89549139,0.25512940,0.00563617,0.44008121
-5.99399700,1.62808412,0.00125296,0.54802378,1.96820388,0.27387533,0.00578619,0.44685876
-5.98799400,1.69221544,0.00130373,0.57219036,2.03903851,0.29444972,0.00595002,0.45707503
-5.98199100,1.76037774,0.00136611,0.59427311,2.10679401,0.31692709,0.00612711,0.47091202
-5.97598799,1.83229212,0.00144093,0.61383115,2.17036140,0.34139006,0.00631731,0.48854359
-5.96998499,1.90774692,0.00152909,0.63047366,2.22877327,0.36792865,0.00652095,0.51013915
-5.96398199,1.98661851,0.00163148,0.64387347,2.28124863,0.39663852,0.00673897,0.53586596
-5.95797899,2.06888602,0.00174900,0.65377890,2.32723031,0.42761803,0.00697300,0.56588985
-5.95197599,2.15463829,0.00188257,0.66002288,2.36641276,0.46096413,0.00722539,0.60037369
-5.94597299,2.24407224,0.00203304,0.66252902,2.39875821,0.49676689,0.00749922,0.63947367
-5.93996998,2.33748197,0.00220124,0.66131419,2.42450015,0.53510302,0.00779826,0.68333316
-5.93396698,2.43523900,0.00238788,0.65648738,2.44413339,0.57602842,0.00812681,0.73207445
-5.92796398,2.53776406,0.00259350,0.64824492,2.45839116,0.61957019,0.00848965,0.78578849
-5.92196098,2.64549209,0.00281847,0.63686227,2.46821013,0.66571847,0.00889175,0.84452340
-5.91595798,2.75883204,0.00306288,0.62268271,2.47468494,0.71441846,0.00933812,0.90827206
-5.90995498,2.87812377,0.00332653,0.60610359,2.47901479,0.76556327,0.00983353,0.97695973
-5.90395198,3.00359453,0.00360886,0.58756070,2.48244446,0.81898795,0.01038224,1.05043230
-5.89794897,3.13531760,0.00390893,0.56751170,2.48620314,0.87446518,0.01098775,1.12844602
-5.89194597,3.27317555,0.00422535,0.54641927,2.49144391,0.93170308,0.01165253,1.21065953
-5.88594297,3.41683059,0.00455634,0.52473481,2.49918726,0.99034535,0.01237783,1.29662859
-5.87993997,3.56570381,0.00489963,0.50288351,2.51027121,1.04997398,0.01316344,1.38580440
-5.87393697,3.71896491,0.00525257,0.48125138,2.52531067,1.11011462,0.01400760,1.47753549
-5.86793397,3.87553336,0.00561211,0.46017472,2.54466798,1.17024450,0.01490689,1.57107373
-5.86193097,4.03409130,0.00597485,0.43993255,2.56843572,1.22980269,0.01585619,1.66558422
-5.85592796,4.19310793,0.00633714,0.42074196,2.59643269,1.28820243,0.01684879,1.76015893
-5.84992496,4.35087448,0.00669512,0.40275664,2.62821285,1.34484506,0.01787643,1.85383380
-5.84392196,4.50554838,0.00704486,0.38606838,2.66308652,1.39913501,0.01892951,1.94560858
-5.83791896,4.65520475,0.00738239,0.37071115,2.70015258,1.45049533,0.01999729,2.03446901
-5.83191596,4.79789313,0.00770387,0.35666761,2.73833994,1.49838311,0.02106819,2.11941029
-5.82591296,4.93169701,0.00800568,0.34387730,2.77645594,1.54230437,0.02213006,2.19946122
-5.81990995,5.05479374,0.00828449,0.33224621,2.81323953,1.58182757,0.02317052,2.27370820
-5.81390695,5.16551253,0.00853736,0.32165695,2.84741650,1.61659572,0.02417732,2.34131814
-5.80790395,5.26238835,0.00876186,0.31197921,2.87775449,1.64633628,0.02513861,2.40155965
-5.80190095,5.34420975,0.00895609,0.30307969,2.90311524,1.67086894,0.02604332,2.45382195
-5.79589795,5.41005912,0.00911876,0.29483142,2.92250225,1.69011086,0.02688142,2.49763068
-5.78989495,5.45934422,0.00924921,0.28712167,2.93510186,1.70407953,0.02764417,2.53266056
-5.78389195,5.49182002,0.00934744,0.27985859,2.94031649,1.71289316,0.02832436,2.55874418
-5.77788894,5.50760056,0.00941412,0.27297601,2.93778910,1.71676869,0.02891644,2.57587715
-5.77188594,5.50716070,0.00945056,0.26643661,2.92741811,1.71601778,0.02941663,2.58421907
-5.76588294,5.49132790,0.00945867,0.26023322,2.90936274,1.71104078,0.02982300,2.58409073
-5.75987994,5.46126450,0.00944096,0.25438847,2.88403888,1.70231902,0.03013545,2.57596735
-5.75387694,5.41844113,0.00940047,0.24895285,2.85210591,1.69040558,0.03035566,2.56046807
-5.74787394,5.36460204,0.00934070,0.24400143,2.81444522,1.67591474,0.03048697,2.53834194
-5.74187094,5.30172309,0.00926554,0.23962939,2.77213142,1.65951032,0.03053426,2.51045064
-5.73586793,5.23196366,0.00917923,0.23594665,2.72639728,1.64189293,0.03050371,2.47774825
-5.72986493,5.15761312,0.00908624,0.23307197,2.67859366,1.62378637,0.03040262,2.44125836
-5.72386193,5.08103339,0.00899121,0.23112656,2.63014574,1.60592322,0.03023912,2.40204918
-5.71785893,5.00459859,0.00889883,0.23022769,2.58250701,1.58902975,0.03002193,2.36120694
-5.71185593,4.93063313,0.00881376,0.23048238,2.53711236,1.57381031,0.02976003,2.31980831
-5.70585293,4.86134987,0.00874052,0.23198159,2.49533161,1.56093142,0.02946242,2.27889253
-5.69984992,4.79878972,0.00868338,0.23479484,2.45842516,1.55100582,0.02913783,2.23943396
-5.69384692,4.74476458,0.00864622,0.23896571,2.42750277,1.54457682,0.02879449,2.20231594
-5.68784392,4.70080531,0.00863245,0.24450824,2.40348703,1.54210341,0.02843988,2.16830676
-5.68184092,4.66811656,0.00864487,0.25140431,2.38708258,1.54394664,0.02808060,2.13803871
-5.67583792,4.64754024,0.00868555,0.25960222,2.37875213,1.55035776,0.02772218,2.11199101
-5.66983492,4.63952927,0.00875572,0.26901646,2.37870018,1.56146880,0.02736912,2.09047735
-5.66383192,4.64413311,0.00885572,0.27952858,2.38686505,1.57728613,0.02702478,2.07363881
-5.65782891,4.66099603,0.00898487,0.29098939,2.40291967,1.59768746,0.02669149,2.06144255
-5.65182591,4.68936883,0.00914146,0.30322218,2.42628112,1.62242279,0.02637067,2.05368648
-5.64582291,4.72813430,0.00932271,0.31602709,2.45612890,1.65111959,0.02606301,2.05001011
-5.63981991,4.77584575,0.00952483,0.32918628,2.49143122,1.68329227,0.02576863,2.04991115
-5.63381691,4.83077780,0.00974303,0.34246998,2.53097859,1.71835592,0.02548740,2.05276737
-5.62781391,4.89098771,0.00997165,0.35564295,2.57342355,1.75564393,0.02521918,2.05786297
-5.62181091,4.95438506,0.01020427,0.36847146,2.61732508,1.79442908,0.02496406,2.06441844
-5.61580790,5.01880719,0.01043393,0.38073024,2.66119620,1.83394719,0.02472263,2.07162257
-5.60980490,5.08209729,0.01065328,0.39220929,2.70355286,1.87342260,0.02449619,2.07866539
-5.60380190,5.14218199,0.01085486,0.40272045,2.74296239,1.91209428,0.02428687,2.08477052
-5.59779890,5.19714514,0.01103133,0.41210311,2.77808965,1.94924153,0.02409775,2.08922560
-5.59179590,5.24529466,0.01117571,0.42022930,2.80773919,1.98420811,0.02393283,2.09140937
-5.58579290,5.28521969,0.01128169,0.42700758,2.83089187,2.01642376,0.02379699,2.09081440
-5.57978989,5.31583560,0.01134381,0.43238582,2.84673457,2.04542208,0.02369578,2.08706444
-5.57378689,5.33641525,0.01135771,0.43635266,2.85468223,2.07085418,0.02363523,2.07992577
-5.56778389,5.34660550,0.01132030,0.43893761,2.85439143,2.09249744,0.02362153,2.06931229
-5.56178089,5.34642868,0.01122990,0.44020983,2.84576535,2.11025919,0.02366066,2.05528431
-5.55577789,5.33626966,0.01108632,0.44027553,2.82895032,2.12417546,0.02375808,2.03804140
-5.54977489,5.31684980,0.01089092,0.43927429,2.80432450,2.13440500,0.02391827,2.01791005
-5.54377189,5.28918974,0.01064657,0.43737420,2.77247957,2.14121928,0.02414446,1.99532683
-5.53776888,5.25456344,0.01035761,0.43476630,2.73419646,2.14498913,0.02443826,1.97081838
-5.53176588,5.21444639,0.01002968,0.43165829,2.69041668,2.14616920,0.02479951,1.94497931
-5.52576288,5.17046071,0.00966962,0.42826790,2.64221044,2.14528092,0.02522604,1.91844927
-5.51975988,5.12432021,0.00928523,0.42481616,2.59074317,2.14289526,0.02571377,1.89189045
-5.51375688,5.07777784,0.00888507,0.42152081,2.53724176,2.13961597,0.02625666,1.86596655
-5.50775388,5.03257780,0.00847821,0.41858998,2.48296175,2.13606421,0.02684702,1.84132409
-5.50175088,4.99041393,0.00807397,0.41621655,2.42915641,2.13286489,0.02747575,1.81857673
-5.49574787,4.95289520,0.00768169,0.41457317,2.37704855,2.13063522,0.02813278,1.79829293
-5.48974487,4.92151869,0.00731047,0.41380807,2.32780548,2.12997527,0.02880751,1.78098711
-5.48374187,4.89764962,0.00696895,0.41404187,2.28251724,2.13146038,0.02948938,1.76711398
-5.47773887,4.88250737,0.00666511,0.41536522,2.24217810,2.13563497,0.03016833,1.75706571
-5.47173587,4.87715616,0.00640605,0.41783741,2.20767101,2.14300712,0.03083542,1.75117119
-5.46573287,4.88249854,0.00619787,0.42148568,2.17975457,2.15404315,0.03148322,1.74969678
-5.45972986,4.89927003,0.00604553,0.42630543,2.15905208,2.16916157,0.03210623,1.75284751
-5.45372686,4.92803298,0.00595273,0.43226087,2.14604214,2.18872585,0.03270118,1.76076822
-5.44772386,4.96916844,0.00592184,0.43928626,2.14105041,2.21303540,0.03326719,1.77354365
-5.44172086,5.02286503,0.00595385,0.44728753,2.14424234,2.24231476,0.03380576,1.79119735
-5.43571786,5.08910443,0.00604836,0.45614417,2.15561678,2.27670099,0.03432067,1.81368872
-5.42971486,5.16764386,0.00620355,0.46571130,2.17500069,2.31622960,0.03481770,1.84090858
-5.42371186,5.25799647,0.00641626,0.47582200,2.20204527,2.36081990,0.03530424,1.87267315
-5.41770885,5.35941135,0.00668197,0.48628979,2.23622412,2.41026051,0.03578877,1.90871724
-5.41170585,5.47085512,0.00699497,0.49691129,2.27683422,2.46419637,0.03628024,1.94868718
-5.40570285,5.59099763,0.00734838,0.50746916,2.32300033,2.52211837,0.03678749,1.99213451
-5.39969985,5.71820434,0.00773436,0.51773534,2.37368374,2.58335697,0.03731852,2.03851129
-5.39369685,5.85053776,0.00814423,0.52747472,2.42769597,2.64708096,0.03787990,2.08716813
-5.38769385,5.98577014,0.00856869,0.53644910,2.48371772,2.71230232,0.03847617,2.13735574
-5.38169085,6.12140907,0.00899799,0.54442177,2.54032357,2.77788798,0.03910937,2.18823083
-5.37568784,6.25473674,0.00942225,0.55116234,2.59601197,2.84257859,0.03977869,2.23886683
-5.36968484,6.38286295,0.00983165,0.55645211,2.64924015,2.90501440,0.04048027,2.28826963
-5.36368184,6.50279108,0.01021674,0.56008948,2.69846317,2.96376765,0.04120715,2.33539824
-5.35767884,6.61149508,0.01056869,0.56189569,2.74217568,3.01738039,0.04194939,2.37918992
-5.35167584,6.70600494,0.01087959,0.56172021,2.77895514,3.06440653,0.04269440,2.41858900
-5.34567284,6.78349726,0.01114269,0.55944595,2.80750456,3.10345632,0.04342737,2.45257826
-5.33966983,6.84138703,0.01135266,0.55499372,2.82669317,3.13324152,0.04413185,2.48021159
-5.33366683,6.87741649,0.01150575,0.54832595,2.83559300,3.15261906,0.04479045,2.50064640
-5.32766383,6.88973681,0.01160002,0.53944916,2.83350981,3.16063133,0.04538561,2.51317432
-5.32166083,6.87697853,0.01163536,0.52841522,2.82000676,3.15654126,0.04590037,2.51724842
-5.31565783,6.83830728,0.01161362,0.51532112,2.79491976,3.13986045,0.04631916,2.51250577
-5.30965483,6.77346180,0.01153856,0.50030714,2.75836350,3.11036909,0.04662853,2.49878391
-5.30365183,6.68277222,0.01141580,0.48355358,2.71072804,3.06812680,0.04681780,2.47613037
-5.29764882,6.56715746,0.01125264,0.46527596,2.65266581,3.01347388,0.04687958,2.44480449
-5.29164582,6.42810172,0.01105791,0.44571891,2.58506971,2.94702296,0.04681016,2.40527143
-5.28564282,6.26761095,0.01084169,0.42514909,2.50904321,2.86964160,0.04660969,2.35818834
-5.27963982,6.08815108,0.01061503,0.40384722,2.42586377,2.78242650,0.04628224,2.30438328
-5.27363682,5.89257092,0.01038959,0.38209976,2.33694116,2.68667082,0.04583565,2.24482778
-5.26763382,5.68401307,0.01017728,0.36019047,2.24377254,2.58382586,0.04528123,2.18060418
-5.26163082,5.46581661,0.00998991,0.33839232,2.14789614,2.47545898,0.04463331,2.11286910
-5.25562781,5.24141600,0.00983877,0.31695994,2.05084545,2.36320948,0.04390863,2.04281490
-5.24962481,5.01424024,0.00973430,0.29612310,1.95410568,2.24874423,0.04312572,1.97163051
-5.24362181,4.78761649,0.00968572,0.27608138,1.85907423,2.13371486,0.04230414,1.90046358
-5.23761881,4.56468191,0.00970075,0.25700015,1.76702637,2.01971794,0.04146375,1.83038542
-5.23161581,4.34830680,0.00978533,0.23900810,1.67908724,1.90825961,0.04062401,1.76236022
-5.22561281,4.14103174,0.00994341,0.22219634,1.59621101,1.80072545,0.03980330,1.69721986
-5.21960980,3.94502047,0.01017682,0.20661886,1.51916727,1.69835662,0.03901836,1.63564503
-5.21360680,3.76202934,0.01048518,0.19229449,1.44853494,1.60223230,0.03828381,1.57815346
-5.20760380,3.59339356,0.01086590,0.17920998,1.38470315,1.51325864,0.03761185,1.52509530
-5.20160080,3.44002950,0.01131422,0.16732408,1.32787855,1.43216396,0.03701206,1.47665569
-5.19559780,3.30245165,0.01182334,0.15657236,1.27809809,1.35949946,0.03649131,1.43286387
-5.18959480,3.18080203,0.01238462,0.14687247,1.23524624,1.29564483,0.03605386,1.39360812
-5.18359180,3.07488980,0.01298781,0.13812955,1.19907547,1.24081774,0.03570154,1.35865546
-5.17758879,2.98423793,0.01362134,0.13024159,1.16922866,1.19508619,0.03543398,1.32767487
-5.17158579,2.90813408,0.01427268,0.12310447,1.14526228,1.15838256,0.03524897,1.30026257
-5.16558279,2.84568281,0.01492863,0.11661646,1.12666924,1.13051856,0.03514278,1.27596807
-5.15957979,2.79585623,0.01557578,0.11068209,1.11290028,1.11119992,0.03511057,1.25431954
-5.15357679,2.75754079,0.01620081,0.10521515,1.10338325,1.10004030,0.03514667,1.23484721
-5.14757379,2.72957830,0.01679085,0.10014097,1.09753957,1.09657370,0.03524490,1.21710392
-5.14157079,2.71079988,0.01733389,0.09539776,1.09479766,1.10026522,0.03539879,1.20068178
-5.13556778,2.70005211,0.01781899,0.09093717,1.09460305,1.11051991,0.03560177,1.18522458
-5.12956478,2.69621526,0.01823660,0.08672415,1.09642553,1.12669012,0.03584720,1.17043566
-5.12356178,2.69821434,0.01857872,0.08273618,1.09976345,1.14808141,0.03612846,1.15608136
-5.11755878,2.70502371,0.01883907,0.07896196,1.10414585,1.17395775,0.03643887,1.14199042
-5.11155578,2.71566706,0.01901318,0.07539984,1.10913279,1.20354654,0.03677168,1.12804989
-5.10555278,2.72921423,0.01909840,0.07205598,1.11431482,1.23604412,0.03711995,1.11419841
-5.09954977,2.74477694,0.01909385,0.06894258,1.11931195,1.27062248,0.03747654,1.10041783
-5.09354677,2.76150523,0.01900039,0.06607603,1.12377294,1.30643766,0.03783404,1.08672409
-5.08754377,2.77858628,0.01882045,0.06347545,1.12737530,1.34264040,0.03818478,1.07315828
-5.08154077,2.79524696,0.01855786,0.06116132,1.12982640,1.37838913,0.03852098,1.05977891
-5.07553777,2.81076115,0.01821770,0.05915461,1.13086586,1.41286558,0.03883487,1.04665592
-5.06953477,2.82446213,0.01780603,0.05747620,1.13026925,1.44529261,0.03911893,1.03386703
-5.06353177,2.83576008,0.01732976,0.05614661,1.12785304,1.47495396,0.03936626,1.02149668
-5.05752876,2.84416390,0.01679636,0.05518619,1.12348027,1.50121526,0.03957088,1.00963759
-5.05152576,2.84930641,0.01621369,0.05461545,1.11706678,1.52354540,0.03972824,0.99839464
-5.04552276,2.85097110,0.01558986,0.05445562,1.10858730,1.54153744,0.03983557,0.98789060
