energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.30389146,-0.31630262,0.11389910,-0.20638531,0.10971139,-0.11154504,0.00020084,-0.00015438,0.07963572,-0.13976102,0.04035813,-0.01559713,0.09219687,-0.04020599,0.00000000,-0.00000000
-5.99399700,0.32464132,-0.30678024,0.10762639,-0.18787950,0.11738242,-0.10884298,0.00022353,-0.00014488,0.07590633,-0.12809819,0.04713169,-0.01879370,0.10767390,-0.04628669,0.00000000,-0.00000000
-5.98799400,0.35155833,-0.30202561,0.10343067,-0.17116862,0.12727252,-0.10775987,0.00025084,-0.00014213,0.07359376,-0.11759933,0.05467829,-0.02255607,0.12522080,-0.05396117,0.00000000,-0.00000000
-5.98199100,0.38470351,-0.30240764,0.10126081,-0.15636458,0.13941508,-0.10845397,0.00028242,-0.00014540,0.07266589,-0.10836542,0.06300790,-0.02693529,0.14489830,-0.06332578,0.00000000,-0.00000000
-5.97598799,0.42406745,-0.30827266,0.10104920,-0.14355815,0.15381593,-0.11107169,0.00031792,-0.00015409,0.07307487,-0.10047817,0.07211594,-0.03198045,0.16674413,-0.07448519,0.00000000,-0.00000000
-5.96998499,0.46956197,-0.31993360,0.10271336,-0.13281729,0.17045034,-0.11574400,0.00035695,-0.00016772,0.07475790,-0.09399879,0.08198142,-0.03773669,0.19076745,-0.08754733,0.00000000,-0.00000000
-5.96398199,0.52101272,-0.33765926,0.10615761,-0.12418638,0.18926032,-0.12258279,0.00039910,-0.00018588,0.07763822,-0.08896729,0.09256536,-0.04424292,0.21694386,-0.10261786,0.00000000,-0.00000000
-5.95797899,0.57815338,-0.36166371,0.11127480,-0.11768630,0.21015242,-0.13167713,0.00044388,-0.00020824,0.08162600,-0.08540234,0.10380970,-0.05152947,0.24521121,-0.11979426,0.00000000,-0.00000000
-5.95197599,0.64062162,-0.39209600,0.11794810,-0.11331512,0.23299612,-0.14308975,0.00049077,-0.00023446,0.08661943,-0.08330144,0.11563686,-0.05961572,0.27546649,-0.13915962,0.00000000,-0.00000000
-5.94597299,0.70795753,-0.42903021,0.12605278,-0.11104936,0.25762303,-0.15685346,0.00053915,-0.00026424,0.09250584,-0.08264153,0.12794998,-0.06850781,0.30756395,-0.16077651,0.00000000,-0.00000000
