energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,7.85339718,1.65309721,4.41230691,0.03298261,0.58942633,0.07193498,1.79039777,1.03007310,0.48764088
-5.99399700,7.82706458,1.64230349,4.44129434,0.03235813,0.58890746,0.07069097,1.75365530,1.00616765,0.47426923
-5.98799400,7.81323272,1.63285366,4.47674315,0.03175255,0.58889643,0.06952273,1.72015092,0.98385878,0.46210162
-5.98199100,7.81115058,1.62451466,4.51819764,0.03117123,0.58933152,0.06842328,1.68972137,0.96304059,0.45112627
-5.97598799,7.81994668,1.61703414,4.56515977,0.03061941,0.59014173,0.06738463,1.66216415,0.94359615,0.44131532
-5.96998499,7.83867047,1.61015217,4.61710780,0.03010213,0.59124970,0.06639822,1.63725035,0.92540628,0.43262823
-5.96398199,7.86633113,1.60361239,4.67351313,0.02962420,0.59257476,0.06545541,1.61473700,0.90835748,0.42501496
-5.95797899,7.90193205,1.59717224,4.73385459,0.02919013,0.59403571,0.06454789,1.59437832,0.89234862,0.41841888
-5.95197599,7.94449991,1.59061187,4.79762978,0.02880400,0.59555327,0.06366803,1.57593563,0.87729614,0.41277925
-5.94597299,7.99310760,1.58374133,4.86436316,0.02846940,0.59705237,0.06280915,1.55918546,0.86313753,0.40803335
-5.93996998,8.04689065,1.57640600,4.93361082,0.02818925,0.59846385,0.06196568,1.54392582,0.84983302,0.40411812
-5.93396698,8.10505743,1.56849012,5.00496221,0.02796569,0.59972590,0.06113327,1.52998068,0.83736556,0.40097140
-5.92796398,8.16689341,1.55991850,5.07803911,0.02780000,0.60078503,0.06030877,1.51720242,0.82573912,0.39853277
-5.92196098,8.23176064,1.55065648,5.15249252,0.02769241,0.60159671,0.05949017,1.50547285,0.81497575,0.39674413
-5.91595798,8.29909329,1.54070845,5.22799797,0.02764210,0.60212565,0.05867648,1.49470262,0.80511147,0.39554999
-5.90995498,8.36839061,1.53011507,5.30425023,0.02764706,0.60234585,0.05786755,1.48482957,0.79619151,0.39489760
-5.90395198,8.43920862,1.51894958,5.38095799,0.02770413,0.60224040,0.05706386,1.47581624,0.78826526,0.39473695
-5.89794897,8.51115170,1.50731338,5.45783929,0.02780901,0.60180112,0.05626634,1.46764681,0.78138119,0.39502076
-5.89194597,8.58386524,1.49533130,5.53461844,0.02795628,0.60102806,0.05547617,1.46032375,0.77558227,0.39570449
-5.88594297,8.65703018,1.48314670,5.61102477,0.02813951,0.59992899,0.05469459,1.45386451,0.77090196,0.39674631
-5.87993997,8.73036015,1.47091669,5.68679359,0.02835144,0.59851873,0.05392277,1.44829837,0.76736123,0.39810721
-5.87393697,8.80360138,1.45880761,5.76166949,0.02858408,0.59681855,0.05316173,1.44366363,0.76496655,0.39975118
-5.86793397,8.87653553,1.44699086,5.83541186,0.02882896,0.59485543,0.05241223,1.44000525,0.76370908,0.40164538
-5.86193097,8.94898499,1.43563924,5.90780227,0.02907733,0.59266133,0.05167482,1.43737290,0.76356499,0.40376046
-5.85592796,9.02082017,1.42492367,5.97865333,0.02932036,0.59027246,0.05094984,1.43581955,0.76449676,0.40607085
-5.84992496,9.09196790,1.41501043,6.04781827,0.02954943,0.58772839,0.05023749,1.43540041,0.76645545,0.40855506
-5.84392196,9.16242005,1.40605869,6.11520049,0.02975633,0.58507118,0.04953793,1.43617225,0.76938356,0.41119604
-5.83791896,9.23224125,1.39821842,6.18076242,0.02993346,0.58234441,0.04885139,1.43819285,0.77321847,0.41398139
-5.83191596,9.30157482,1.39162849,6.24453260,0.03007406,0.57959216,0.04817829,1.44152072,0.77789593,0.41690360
-5.82591296,9.37064581,1.38641487,6.30661050,0.03017234,0.57685792,0.04751935,1.44621464,0.78335359,0.41996015
-5.81990995,9.43976041,1.38268897,6.36716831,0.03022365,0.57418353,0.04687571,1.45233319,0.78953419,0.42315357
-5.81390695,9.50930122,1.38054593,6.42644910,0.03022457,0.57160803,0.04624899,1.45993403,0.79638825,0.42649133
-5.80790395,9.57971791,1.38006299,6.48476135,0.03017297,0.56916671,0.04564138,1.46907289,0.80387601,0.42998567
-5.80190095,9.65151326,1.38129777,6.54246946,0.03006802,0.56689005,0.04505563,1.47980225,0.81196871,0.43365329
-5.79589795,9.72522482,1.38428667,6.59998052,0.02991020,0.56480298,0.04449502,1.49216958,0.82064881,0.43751487
-5.78989495,9.80140261,1.38904337,6.65772773,0.02970123,0.56292418,0.04396335,1.50621524,0.82990947,0.44159457
-5.78389195,9.88058367,1.39555746,6.71615086,0.02944399,0.56126566,0.04346481,1.52197010,0.83975302,0.44591927
-5.77788894,9.96326425,1.40379337,6.77567467,0.02914243,0.55983249,0.04300385,1.53945269,0.85018882,0.45051780
-5.77188594,10.04987080,1.41368970,6.83668590,0.02880138,0.55862287,0.04258504,1.55866628,0.86123025,0.45541997
-5.76588294,10.14073083,1.42515897,6.89950993,0.02842644,0.55762832,0.04221291,1.57959573,0.87289134,0.46065550
