energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.66383192,3.52838418,0.05349642,0.44651857,1.67027702,0.00000000,0.93789829,0.67117280
-5.65782891,3.74437191,0.05711053,0.47095759,1.77966691,0.00000000,0.99899209,0.71038697
-5.65182591,3.98309277,0.06095863,0.49715840,1.90198483,0.00000000,1.06596566,0.75278235
-5.64582291,4.24271589,0.06502698,0.52494647,2.03625767,0.00000000,1.13817024,0.79804581
-5.63981991,4.52081912,0.06929543,0.55408107,2.18121368,0.00000000,1.21478603,0.84576687
-5.63381691,4.81442370,0.07373748,0.58425843,2.33530081,0.00000000,1.29483559,0.89544395
-5.62781391,5.12004831,0.07832055,0.61511749,2.49671407,0.00000000,1.37720341,0.94649409
-5.62181091,5.43378128,0.08300636,0.64624813,2.66343134,0.00000000,1.46066128,0.99826579
-5.61580790,5.75136959,0.08775153,0.67720164,2.83325710,0.00000000,1.54389888,1.05005469
-5.60980490,6.06832170,0.09250833,0.70750298,3.00387270,0.00000000,1.62555885,1.10112149
-5.60380190,6.38002111,0.09722549,0.73666447,3.17289196,0.00000000,1.70427499,1.15071143
-5.59779890,6.68184650,0.10184918,0.76420024,3.33791991,0.00000000,1.77871242,1.19807469
-5.59179590,6.96929383,0.10632403,0.78964097,3.49661283,0.00000000,1.84760803,1.24248678
-5.58579290,7.23809590,0.11059421,0.81254812,3.64673714,0.00000000,1.90980955,1.28326817
-5.57978989,7.48433428,0.11460449,0.83252738,3.78622485,0.00000000,1.96431164,1.31980244
-5.57378689,7.70453932,0.11830141,0.84924035,3.91322339,0.00000000,2.01028731,1.35155211
-5.56778389,7.89577406,0.12163428,0.86241438,4.02613778,0.00000000,2.04711322,1.37807167
-5.56178089,8.05569877,0.12455626,0.87184990,4.12366342,0.00000000,2.07438784,1.39901724
-5.55577789,8.18261384,0.12702533,0.87742515,4.20480831,0.00000000,2.09194130,1.41415269
-5.54977489,8.27547953,0.12900516,0.87909805,4.26890403,0.00000000,2.09983672,1.42335194
-5.54377189,8.33391267,0.13046592,0.87690529,4.31560526,0.00000000,2.09836280,1.42659762
-5.53776888,8.35816095,0.13138493,0.87095867,4.34487835,0.00000000,2.08801802,1.42397620
-5.53176588,8.34905716,0.13174717,0.86143910,4.35697990,0.00000000,2.06948723,1.41567010
-5.52576288,8.30795610,0.13154572,0.84858840,4.35242685,0.00000000,2.04361179,1.40194716
-5.51975988,8.23665803,0.13078188,0.83269942,4.33195992,0.00000000,2.01135453,1.38314803
-5.51375688,8.13732271,0.12946525,0.81410505,4.29650251,0.00000000,1.97376135,1.35967238
-5.50775388,8.01237865,0.12761357,0.79316642,4.24711740,0.00000000,1.93192108,1.33196422
-5.50175088,7.86443179,0.12525233,0.77026103,4.18496337,0.00000000,1.88692550,1.30049733
-5.49574787,7.69617796,0.12241430,0.74577110,4.11125389,0.00000000,1.83983122,1.26576119
-5.48974487,7.51032258,0.11913878,0.72007269,4.02721973,0.00000000,1.79162497,1.22824798
