energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.52447582,0.01208380,0.04518661,0.66200141,0.68053114,0.00700497,0.67230158,0.28819078,0.12013746
-5.99399700,1.54747158,0.01226026,0.04427241,0.67196314,0.69383833,0.00679346,0.68279103,0.29258679,0.12265105
-5.98799400,1.57587289,0.01248270,0.04333524,0.68392547,0.71048575,0.00658590,0.69500673,0.29736583,0.12532313
-5.98199100,1.61035714,0.01275023,0.04238463,0.69814045,0.73084223,0.00638460,0.70922845,0.30266518,0.12819909
-5.97598799,1.65162260,0.01306207,0.04143489,0.71487423,0.75527335,0.00619232,0.72575085,0.30863262,0.13132939
-5.96998499,1.70035306,0.01341757,0.04050453,0.73439224,0.78412338,0.00601215,0.74486806,0.31541902,0.13476698
-5.96398199,1.75717818,0.01381625,0.03961567,0.75694223,0.81769530,0.00584744,0.76685638,0.32317012,0.13856418
-5.95797899,1.82263133,0.01425773,0.03879316,0.78273620,0.85623021,0.00570171,0.79195589,0.33201782,0.14276950
-5.95197599,1.89710762,0.01474163,0.03806372,0.81193216,0.89988699,0.00557850,0.82035221,0.34207154,0.14742418
-5.94597299,1.98082449,0.01526744,0.03745496,0.84461696,0.94872370,0.00548127,0.85215928,0.35341018,0.15255899
-5.93996998,2.07378753,0.01583435,0.03699443,0.88079129,1.00268175,0.00541318,0.88740461,0.36607502,0.15819130
-5.93396698,2.17576386,0.01644108,0.03670875,0.92035786,1.06157413,0.00537705,0.92601764,0.38006422,0.16432262
-5.92796398,2.28626510,0.01708572,0.03662277,0.96311372,1.12507857,0.00537514,0.96782235,0.39532918,0.17093684
-5.92196098,2.40454151,0.01776557,0.03675890,1.00874747,1.19273635,0.00540909,1.01253474,0.41177304,0.17799923
-5.91595798,2.52958821,0.01847702,0.03713654,1.05684163,1.26395725,0.00547982,1.05976544,0.42925153,0.18545638
-5.90995498,2.66016389,0.01921551,0.03777166,1.10688044,1.33803068,0.00558741,1.10902767,0.44757627,0.19323697
-5.90395198,2.79482131,0.01997550,0.03867651,1.15826279,1.41414284,0.00573114,1.15975028,0.46652022,0.20125353
-5.89794897,2.93194871,0.02075051,0.03985944,1.21031984,1.49139911,0.00590942,1.21129535,0.48582525,0.20940503
-5.89194597,3.06981992,0.02153325,0.04132485,1.26233637,1.56885093,0.00611981,1.26297945,0.50521130,0.21758021
-5.88594297,3.20665106,0.02231575,0.04307323,1.31357490,1.64552582,0.00635908,1.31409759,0.52438681,0.22566140
-5.87993997,3.34066063,0.02308961,0.04510116,1.36330122,1.72045906,0.00662329,1.36394847,0.54305966,0.23352885
-5.87393697,3.47013008,0.02384617,0.04740143,1.41080996,1.79272560,0.00690786,1.41185972,0.56094823,0.24106510
-5.86793397,3.59346138,0.02457683,0.04996308,1.45544869,1.86147035,0.00720770,1.45721181,0.57779182,0.24815928
-5.86193097,3.70922871,0.02527326,0.05277150,1.49663942,1.92593546,0.00751731,1.49945909,0.59335988,0.25471113
-5.85592796,3.81622128,0.02592765,0.05580841,1.53389603,1.98548307,0.00783095,1.53814702,0.60745965,0.26063445
-5.84992496,3.91347517,0.02653287,0.05905188,1.56683692,2.03961235,0.00814276,1.57292451,0.61994161,0.26585984
-5.84392196,4.00029248,0.02708269,0.06247630,1.59519217,2.08797000,0.00844686,1.60355072,0.63070267,0.27033662
-5.83791896,4.07624705,0.02757182,0.06605236,1.61880489,2.13035378,0.00873756,1.62989613,0.63968678,0.27403372
-5.83191596,4.14117666,0.02799596,0.06974707,1.63762698,2.16670882,0.00900939,1.65193785,0.64688316,0.27693974
-5.82591296,4.19516261,0.02835181,0.07352386,1.65170980,2.19711730,0.00925726,1.66974954,0.65232224,0.27906190
-5.81990995,4.23849830,0.02863699,0.07734271,1.66119038,2.22178194,0.00947655,1.68348689,0.65606963,0.28042431
-5.81390695,4.27164892,0.02884994,0.08116059,1.66627463,2.24100461,0.00966317,1.69336944,0.65821869,0.28106533
-5.80790395,4.29520525,0.02898977,0.08493189,1.66721852,2.25516134,0.00981362,1.69966017,0.65888204,0.28103457
-5.80190095,4.30983450,0.02905616,0.08860923,1.66430890,2.26467511,0.00992504,1.70264415,0.65818285,0.28038945
-5.79589795,4.31623136,0.02904921,0.09214440,1.65784522,2.26998830,0.00999525,1.70260760,0.65624624,0.27919162
-5.78989495,4.31507257,0.02896932,0.09548955,1.64812363,2.27153621,0.01002274,1.69981878,0.65319159,0.27750359
-5.78389195,4.30697756,0.02881716,0.09859862,1.63542444,2.26972325,0.01000670,1.69451187,0.64912611,0.27538558
-5.77788894,4.29247767,0.02859364,0.10142898,1.62000401,2.26490307,0.00994697,1.68687473,0.64414013,0.27289291
-5.77188594,4.27199557,0.02829992,0.10394310,1.60209133,2.25736373,0.00984408,1.67704139,0.63830436,0.27007400
-5.76588294,4.24583591,0.02793756,0.10611047,1.58188977,2.24731848,0.00969916,1.66508937,0.63166923,0.26696912
-5.75987994,4.21418739,0.02750860,0.10790937,1.55958362,2.23490266,0.00951398,1.65104218,0.62426632,0.26360994
-5.75387694,4.17713589,0.02701583,0.10932868,1.53534888,2.22017662,0.00929085,1.63487644,0.61611172,0.26001980
-5.74787394,4.13468724,0.02646289,0.11036941,1.50936756,2.20313425,0.00903260,1.61653313,0.60721092,0.25621473
-5.74187094,4.08679812,0.02585463,0.11104609,1.48184427,2.18371652,0.00874254,1.59593216,0.59756503,0.25220516
-5.73586793,4.03341261,0.02519721,0.11138779,1.45302393,2.16182902,0.00842440,1.57298918,0.58717768,0.24799795
-5.72986493,3.97450201,0.02449837,0.11143869,1.42320918,2.13736228,0.00808226,1.54763351,0.57606216,0.24359896
-5.72386193,3.91010518,0.02376755,0.11125829,1.39277621,2.11021374,0.00772053,1.51982595,0.56424828,0.23901559
-5.71785893,3.84036676,0.02301594,0.11092108,1.36218773,2.08030987,0.00734380,1.48957548,0.55178851,0.23425940
-5.71185593,3.76557086,0.02225654,0.11051576,1.33200199,2.04762724,0.00695684,1.45695354,0.53876285,0.22934845
-5.70585293,3.68616805,0.02150404,0.11014392,1.30287697,2.01221123,0.00656450,1.42210524,0.52528214,0.22430934
-5.69984992,3.60279388,0.02077466,0.10991837,1.27556916,1.97419149,0.00617162,1.38525668,0.51148968,0.21917871
-5.69384692,3.51627792,0.02008587,0.10996099,1.25092662,1.93379308,0.00578294,1.34671793,0.49756074,0.21400413
-5.68784392,3.42764239,0.01945603,0.11040029,1.22987626,1.89134293,0.00540303,1.30688150,0.48370022,0.20884436
-5.68184092,3.33809057,0.01890399,0.11136877,1.21340561,1.84727107,0.00503622,1.26621627,0.47013839,0.20376885
-5.67583792,3.24898524,0.01844854,0.11300005,1.20253967,1.80210676,0.00468650,1.22525728,0.45712490,0.19885664
-5.66983492,3.16181817,0.01810791,0.11542599,1.19831350,1.75646952,0.00435746,1.18459165,0.44492147,0.19419455
-5.66383192,3.07817200,0.01789917,0.11877383,1.20174159,1.71105569,0.00405223,1.14484149,0.43379340,0.18987486
-5.65782891,2.99967622,0.01783763,0.12316343,1.21378506,1.66662101,0.00377343,1.10664455,0.42400051,0.18599249
-5.65182591,2.92795919,0.01793632,0.12870460,1.23531787,1.62396004,0.00352311,1.07063338,0.41578775,0.18264191
-5.64582291,2.86459813,0.01820542,0.13549481,1.26709333,1.58388348,0.00330277,1.03741408,0.40937611,0.17991388
-5.63981991,2.81106944,0.01865182,0.14361694,1.30971206,1.54719413,0.00311330,1.00754556,0.40495398,0.17789213
-5.63381691,2.76870115,0.01927869,0.15313746,1.36359284,1.51466275,0.00295501,0.98152013,0.40266968,0.17665022
-5.62781391,2.73862948,0.02008526,0.16410483,1.42894715,1.48700462,0.00282765,0.95974633,0.40262522,0.17624867
-5.62181091,2.72176123,0.02106662,0.17654810,1.50575888,1.46485772,0.00273043,0.94253474,0.40487165,0.17673247
-5.61580790,2.71874333,0.02221366,0.19047584,1.59376970,1.44876338,0.00266206,0.93008722,0.40940631,0.17812918
-5.60980490,2.72994063,0.02351323,0.20587525,1.69247120,1.43915007,0.00262084,0.92249019,0.41617194,0.18044758
-5.60380190,2.75542269,0.02494832,0.22271153,1.80110412,1.43632069,0.00260468,0.91971206,0.42505786,0.18367705
-5.59779890,2.79495991,0.02649851,0.24092741,1.91866520,1.44044390,0.00261120,0.92160494,0.43590300,0.18778762
-5.59179590,2.84802903,0.02814043,0.26044295,2.04392162,1.45154949,0.00263782,0.92791057,0.44850088,0.19273074
-5.58579290,2.91382763,0.02984842,0.28115558,2.17543307,1.46952799,0.00268178,0.93827010,0.46260617,0.19844071
-5.57978989,2.99129715,0.03159526,0.30294036,2.31158099,1.49413429,0.00274030,0.95223745,0.47794267,0.20483671
-5.57378689,3.07915336,0.03335299,0.32565069,2.45060438,1.52499515,0.00281060,0.96929548,0.49421240,0.21182539
-5.56778389,3.17592327,0.03509374,0.34911930,2.59064122,1.56162015,0.00289000,0.98887451,0.51110545,0.21930386
-5.56178089,3.27998723,0.03679056,0.37315980,2.72977456,1.60341586,0.00297597,1.01037226,0.52831015,0.22716295
