energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.09199916,0.23312145,0.34232890,0.00420560,0.05562929,0.02591546,0.59608802,0.19315581,0.15119355
-5.99399700,1.10878452,0.23653334,0.34716743,0.00419837,0.05653879,0.02600615,0.60644371,0.19689369,0.15382332
-5.98799400,1.12458346,0.24070693,0.35075058,0.00416310,0.05833091,0.02592803,0.61607275,0.20188452,0.15632397
-5.98199100,1.13916314,0.24551691,0.35302973,0.00410051,0.06097462,0.02568329,0.62487169,0.20807173,0.15864874
-5.97598799,1.15240812,0.25085921,0.35399691,0.00401194,0.06443984,0.02527779,0.63280006,0.21540898,0.16076795
-5.96998499,1.16431354,0.25665056,0.35368328,0.00389928,0.06869602,0.02472080,0.63987665,0.22385770,0.16266840
-5.96398199,1.17497337,0.26282701,0.35215598,0.00376490,0.07371044,0.02402471,0.64617313,0.23338374,0.16435208
-5.95797899,1.18456439,0.26934135,0.34951365,0.00361158,0.07944647,0.02320457,0.65180549,0.24395355,0.16583425
-5.95197599,1.19332712,0.27615984,0.34588069,0.00344239,0.08586183,0.02227757,0.65692371,0.25553008,0.16714105
-5.94597299,1.20154472,0.28325844,0.34140076,0.00326057,0.09290701,0.02126250,0.66170044,0.26806869,0.16830677
-5.93996998,1.20952130,0.29061878,0.33622976,0.00306948,0.10052402,0.02017917,0.66631933,0.28151341,0.16937096
-5.93396698,1.21756089,0.29822425,0.33052873,0.00287244,0.10864553,0.01904777,0.67096368,0.29579392,0.17037558
-5.92796398,1.22594828,0.30605653,0.32445708,0.00267266,0.11719457,0.01788838,0.67580621,0.31082336,0.17136226
-5.92196098,1.23493302,0.31409269,0.31816637,0.00247317,0.12608478,0.01672040,0.68100035,0.32649728,0.17237004
-5.91595798,1.24471713,0.32230315,0.31179513,0.00227672,0.13522124,0.01556214,0.68667376,0.34269388,0.17343345
-5.90995498,1.25544738,0.33065067,0.30546471,0.00208574,0.14450202,0.01443046,0.69292413,0.35927544,0.17458125
-5.90395198,1.26721220,0.33909031,0.29927655,0.00190232,0.15382014,0.01334052,0.69981756,0.37609105,0.17583571
-5.89794897,1.28004314,0.34757043,0.29331071,0.00172814,0.16306611,0.01230557,0.70738940,0.39298037,0.17721253
-5.89194597,1.29392056,0.35603455,0.28762581,0.00156454,0.17213074,0.01133688,0.71564724,0.40977830,0.17872131
-5.88594297,1.30878259,0.36442397,0.28226011,0.00141245,0.18090817,0.01044379,0.72457582,0.42632010,0.18036647
-5.87993997,1.32453665,0.37268078,0.27723369,0.00127247,0.18929889,0.00963373,0.73414306,0.44244677,0.18214857
-5.87393697,1.34107218,0.38075108,0.27255138,0.00114489,0.19721258,0.00891236,0.74430687,0.45801017,0.18406576
-5.86793397,1.35827346,0.38858808,0.26820622,0.00102973,0.20457063,0.00828380,0.75502187,0.47287767,0.18611529
-5.86193097,1.37603142,0.39615474,0.26418315,0.00092678,0.21130810,0.00775077,0.76624548,0.48693578,0.18829497
-5.85592796,1.39425319,0.40342576,0.26046264,0.00083565,0.21737511,0.00731480,0.77794275,0.50009267,0.19060423
-5.84992496,1.41286875,0.41038861,0.25702398,0.00075585,0.22273737,0.00697646,0.79008956,0.51227929,0.19304490
-5.84392196,1.43183393,0.41704361,0.25384805,0.00068678,0.22737608,0.00673548,0.80267378,0.52344904,0.19562150
-5.83791896,1.45112955,0.42340286,0.25091944,0.00062784,0.23128697,0.00659093,0.81569432,0.53357600,0.19834094
-5.83191596,1.47075684,0.42948814,0.24822770,0.00057841,0.23447866,0.00654126,0.82915805,0.54265182,0.20121180
-5.82591296,1.49072935,0.43532792,0.24576785,0.00053792,0.23697043,0.00658436,0.84307504,0.55068165,0.20424308
-5.81990995,1.51106229,0.44095363,0.24354009,0.00050586,0.23878959,0.00671758,0.85745217,0.55767920,0.20744258
-5.81390695,1.53176000,0.44639551,0.24154878,0.00048179,0.23996846,0.00693765,0.87228598,0.56366160,0.21081510
-5.80790395,1.55280280,0.45167834,0.23980103,0.00046537,0.24054150,0.00724061,0.88755520,0.56864425,0.21436042
-5.80190095,1.57413430,0.45681735,0.23830475,0.00045632,0.24054242,0.00762173,0.90321365,0.57263618,0.21807142
-5.79589795,1.59565036,0.46181465,0.23706667,0.00045449,0.24000168,0.00807538,0.91918418,0.57563633,0.22193245
-5.78989495,1.61719071,0.46665652,0.23609036,0.00045979,0.23894455,0.00859491,0.93535414,0.57763097,0.22591801
-5.78389195,1.63853407,0.47131169,0.23537441,0.00047218,0.23738976,0.00917262,0.95157304,0.57859256,0.22999201
-5.77788894,1.65939738,0.47573079,0.23491105,0.00049168,0.23534884,0.00979963,0.96765244,0.57848015,0.23410758
-5.77188594,1.67943938,0.47984716,0.23468520,0.00051834,0.23282625,0.01046593,0.98336852,0.57724123,0.23820755
-5.76588294,1.69826860,0.48357876,0.23467408,0.00055222,0.22982017,0.01116039,0.99846707,0.57481505,0.24222566
-5.75987994,1.71545531,0.48683139,0.23484746,0.00059334,0.22632401,0.01187086,1.01267083,0.57113704,0.24608831
-5.75387694,1.73054691,0.48950271,0.23516838,0.00064171,0.22232831,0.01258436,1.02568875,0.56614409,0.24971696
-5.74787394,1.74308594,0.49148710,0.23559449,0.00069726,0.21782312,0.01328727,1.03722682,0.55978030,0.25303093
-5.74187094,1.75262957,0.49268086,0.23607977,0.00075984,0.21280045,0.01396563,1.04699970,0.55200272,0.25595053
-5.73586793,1.75876970,0.49298764,0.23657655,0.00082923,0.20725676,0.01460545,1.05474270,0.54278680,0.25840037
-5.72986493,1.76115238,0.49232359,0.23703781,0.00090507,0.20119531,0.01519306,1.06022342,0.53213103,0.26031260
-5.72386193,1.75949566,0.49062213,0.23741944,0.00098692,0.19462805,0.01571550,1.06325246,0.52006057,0.26163006
-5.71785893,1.75360485,0.48783802,0.23768255,0.00107422,0.18757712,0.01616088,1.06369266,0.50662952,0.26230908
-5.71185593,1.74338459,0.48395049,0.23779557,0.00116630,0.18007573,0.01651875,1.06146655,0.49192182,0.26232177
-5.70585293,1.72884709,0.47896538,0.23773608,0.00126240,0.17216841,0.01678037,1.05656156,0.47605059,0.26165791
-5.69984992,1.71011629,0.47291626,0.23749229,0.00136167,0.16391064,0.01693907,1.04903288,0.45915613,0.26032601
-5.69384692,1.68742781,0.46586431,0.23706421,0.00146324,0.15536786,0.01699037,1.03900398,0.44140254,0.25835388
-5.68784392,1.66112492,0.45789731,0.23646421,0.00156617,0.14661391,0.01693215,1.02666464,0.42297340,0.25578837
-5.68184092,1.63165061,0.44912757,0.23571734,0.00166954,0.13772911,0.01676472,1.01226686,0.40406658,0.25269450
-5.67583792,1.59953635,0.43968906,0.23486097,0.00177247,0.12879790,0.01649074,0.99611865,0.38488855,0.24915396
-5.66983492,1.56538803,0.42973383,0.23394409,0.00187413,0.11990645,0.01611516,0.97857618,0.36564862,0.24526292
-5.66383192,1.52986953,0.41942798,0.23302619,0.00197379,0.11114001,0.01564496,0.96003437,0.34655318,0.24112945
-5.65782891,1.49368464,0.40894709,0.23217560,0.00207082,0.10258057,0.01508899,0.94091642,0.32780038,0.23687044
-5.65182591,1.45755795,0.39847162,0.23146760,0.00216472,0.09430451,0.01445757,0.92166256,0.30957534,0.23260821
-5.64582291,1.42221510,0.38818204,0.23098208,0.00225517,0.08638064,0.01376218,0.90271822,0.29204620,0.22846690
-5.63981991,1.38836320,0.37825411,0.23080104,0.00234194,0.07886858,0.01301511,0.88452214,0.27536084,0.22456871
-5.63381691,1.35667174,0.36885426,0.23100577,0.00242498,0.07181751,0.01222904,0.86749453,0.25964469,0.22103021
-5.62781391,1.32775461,0.36013527,0.23167403,0.00250433,0.06526542,0.01141668,0.85202574,0.24499921,0.21795869
-5.62181091,1.30215357,0.35223223,0.23287712,0.00258016,0.05923871,0.01059045,0.83846561,0.23150135,0.21544877
-5.61580790,1.28032383,0.34525902,0.23467709,0.00265267,0.05375221,0.00976213,0.82711388,0.21920368,0.21357936
-5.60980490,1.26262189,0.33930531,0.23712412,0.00272210,0.04880965,0.00894264,0.81821195,0.20813517,0.21241110
-5.60380190,1.24929634,0.33443419,0.24025427,0.00278865,0.04440433,0.00814180,0.81193619,0.19830258,0.21198434
-5.59779890,1.24048171,0.33068048,0.24408758,0.00285248,0.04052014,0.00736817,0.80839319,0.18969220,0.21231776
-5.59179590,1.23619583,0.32804993,0.24862679,0.00291365,0.03713276,0.00662897,0.80761711,0.18227204,0.21340782
-5.58579290,1.23634095,0.32651919,0.25385671,0.00297205,0.03421103,0.00593006,0.80956929,0.17599424,0.21522890
-5.57978989,1.24070860,0.32603674,0.25974425,0.00302742,0.03171836,0.00527589,0.81414037,0.17079763,0.21773439
-5.57378689,1.24898829,0.32652471,0.26623923,0.00307933,0.02961418,0.00466963,0.82115475,0.16661054,0.22085848
-5.56778389,1.26077994,0.32788162,0.27327594,0.00312713,0.02785545,0.00411321,0.83037758,0.16335362,0.22451884
-5.56178089,1.27560953,0.32998600,0.28077541,0.00317001,0.02639802,0.00360750,0.84152382,0.16094267,0.22862000
-5.55577789,1.29294767,0.33270069,0.28864826,0.00320698,0.02519800,0.00315242,0.85426940,0.15929157,0.23305728
-5.54977489,1.31223037,0.33587785,0.29679812,0.00323694,0.02421287,0.00274716,0.86826381,0.15831504,0.23772124
-5.54377189,1.33288113,0.33936432,0.30512538,0.00325870,0.02340266,0.00239031,0.88314371,0.15793138,0.24250233
-5.53776888,1.35433356,0.34300724,0.31353104,0.00327103,0.02273077,0.00208004,0.89854711,0.15806500,0.24729570
-5.53176588,1.37605344,0.34665966,0.32192058,0.00327273,0.02216476,0.00181432,0.91412734,0.15864872,0.25200575
-5.52576288,1.39755931,0.35018591,0.33020757,0.00326271,0.02167694,0.00159103,0.92956614,0.15962573,0.25655038
-5.51975988,1.41844046,0.35346640,0.33831680,0.00324001,0.02124471,0.00140813,0.94458545,0.16095123,0.26086462
-5.51375688,1.43837164,0.35640180,0.34618683,0.00320389,0.02085086,0.00126378,0.95895708,0.16259351,0.26490352
-5.50775388,1.45712359,0.35891623,0.35377174,0.00315385,0.02048356,0.00115649,0.97250996,0.16453459,0.26864407
-5.50175088,1.47456886,0.36095939,0.36104202,0.00308971,0.02013628,0.00108511,0.98513449,0.16677024,0.27208605
-5.49574787,1.49068271,0.36250752,0.36798452,0.00301160,0.01980748,0.00104899,0.99678383,0.16930934,0.27525188
-5.48974487,1.50553885,0.36356312,0.37460150,0.00291996,0.01950023,0.00104796,1.00747198,0.17217267,0.27818521
-5.48374187,1.51930038,0.36415352,0.38090881,0.00281559,0.01922163,0.00108238,1.01726890,0.17539106,0.28094852
-5.47773887,1.53220616,0.36432821,0.38693325,0.00269956,0.01898218,0.00115306,1.02629273,0.17900295,0.28361975
-5.47173587,1.54455346,0.36415531,0.39270939,0.00257326,0.01879498,0.00126127,1.03469963,0.18305143,0.28628806
-5.46573287,1.55667760,0.36371706,0.39827591,0.00243826,0.01867496,0.00140868,1.04267170,0.18758094,0.28904905
-5.45972986,1.56892964,0.36310486,0.40367168,0.00229637,0.01863800,0.00159722,1.05040361,0.19263358,0.29199947
-5.45372686,1.58165323,0.36241379,0.40893194,0.00214948,0.01870005,0.00182898,1.05808862,0.19824536,0.29523192
-5.44772386,1.59516167,0.36173713,0.41408457,0.00199956,0.01887625,0.00210609,1.06590465,0.20444246,0.29882955
-5.44172086,1.60971641,0.36116099,0.41914691,0.00184858,0.01918014,0.00243053,1.07400114,0.21123767,0.30286119
