energy_ev,total_up,Ag_p_up,Ag_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,3.54510305,1.39364941,2.81293548,0.10917717,0.00132977,0.01570127,0.35528337
-5.99399700,3.54268526,1.37105869,2.81746979,0.10509751,0.00131413,0.01512048,0.35207024
-5.98799400,3.52449510,1.34394917,2.80882581,0.10086050,0.00129284,0.01454254,0.34770891
-5.98199100,3.49019207,1.31236523,2.78668473,0.09648848,0.00126580,0.01396991,0.34217684
-5.97598799,3.43985846,1.27645582,2.75108311,0.09200429,0.00123310,0.01340539,0.33548714
-5.96998499,3.37399128,1.23647353,2.70240549,0.08743160,0.00119498,0.01285215,0.32768777
-5.96398199,3.29347829,1.19276939,2.64136393,0.08279527,0.00115181,0.01231375,0.31885923
-5.95797899,3.19955958,1.14578350,2.56896570,0.07812150,0.00110414,0.01179413,0.30911093
-5.95197599,3.09377677,1.09603200,2.48647075,0.07343799,0.00105259,0.01129759,0.29857645
-5.94597299,2.97791248,1.04409108,2.39534124,0.06877386,0.00099791,0.01082873,0.28740782
-5.93996998,2.85392307,0.99057878,2.29718577,0.06415951,0.00094090,0.01039241,0.27576933
-5.93396698,2.72386808,0.93613556,2.19370083,0.05962630,0.00088238,0.00999375,0.26383100
-5.92796398,2.58983964,0.88140465,2.08661244,0.05520622,0.00082323,0.00963801,0.25176214
-5.92196098,2.45389497,0.82701298,1.97762041,0.05093142,0.00076427,0.00933066,0.23972528
-5.91595798,2.31799496,0.77355372,1.86834763,0.04683381,0.00070632,0.00907730,0.22787070
-5.90995498,2.18395120,0.72157117,1.76029638,0.04294454,0.00065012,0.00888372,0.21633189
-5.90395198,2.05338315,0.67154843,1.65481294,0.03929368,0.00059637,0.00875592,0.20522197
-5.89794897,1.92768675,0.62389848,1.55306168,0.03590982,0.00054566,0.00870015,0.19463127
-5.89194597,1.80801483,0.57895867,1.45600878,0.03281982,0.00049850,0.00872297,0.18462608
-5.88594297,1.69526924,0.53698871,1.36441544,0.03004867,0.00045531,0.00883133,0.17524855
-5.87993997,1.59010381,0.49817191,1.27884004,0.02761936,0.00041641,0.00903260,0.16651763
-5.87393697,1.49293686,0.46261933,1.19964812,0.02555290,0.00038202,0.00933459,0.15843091
-5.86793397,1.40397167,0.43037638,1.12702866,0.02386834,0.00035229,0.00974555,0.15096727
-5.86193097,1.32322284,0.40143120,1.06101531,0.02258284,0.00032728,0.01027414,0.14409009
-5.85592796,1.25054649,0.37572424,1.00151068,0.02171168,0.00030698,0.01092925,0.13775072
-5.84992496,1.18567235,0.35315848,0.94831216,0.02126837,0.00029132,0.01171985,0.13189227
-5.84392196,1.12823566,0.33360953,0.90113753,0.02126451,0.00028016,0.01265473,0.12645326
-5.83791896,1.07780726,0.31693524,0.85964919,0.02170971,0.00027336,0.01374210,0.12137108
-5.83191596,1.03392050,0.30298431,0.82347577,0.02261135,0.00027069,0.01498919,0.11658515
-5.82591296,0.99609392,0.29160351,0.79223033,0.02397424,0.00027193,0.01640177,0.11203962
-5.81990995,0.96384908,0.28264340,0.76552461,0.02580016,0.00027682,0.01798355,0.10768557
-5.81390695,0.93672320,0.27596242,0.74297922,0.02808735,0.00028507,0.01973564,0.10348259
-5.80790395,0.91427686,0.27142926,0.72422982,0.03082989,0.00029638,0.02165597,0.09939987
-5.80190095,0.89609707,0.26892377,0.70892962,0.03401711,0.00031043,0.02373868,0.09541665
-5.79589795,0.88179638,0.26833640,0.69674877,0.03763295,0.00032687,0.02597369,0.09152225
-5.78989495,0.87100887,0.26956666,0.68737143,0.04165542,0.00034536,0.02834625,0.08771553
-5.78389195,0.86338411,0.27252055,0.68049118,0.04605619,0.00036551,0.03083670,0.08400407
-5.77788894,0.85857986,0.27710750,0.67580567,0.05080024,0.00038691,0.03342037,0.08040292
-5.77188594,0.85625468,0.28323702,0.67301125,0.05584579,0.00040917,0.03606767,0.07693317
-5.76588294,0.85606122,0.29081530,0.67179841,0.06114441,0.00043183,0.03874439,0.07362039
-5.75987994,0.85764098,0.29974200,0.67184841,0.06664139,0.00045446,0.04141225,0.07049286
-5.75387694,0.86062102,0.30990743,0.67283172,0.07227631,0.00047659,0.04402960,0.06757995
-5.74787394,0.86461309,0.32119032,0.67440848,0.07798392,0.00049778,0.04655242,0.06491038
-5.74187094,0.86921525,0.33345618,0.67623098,0.08369519,0.00051756,0.04893540,0.06251066
-5.73586793,0.87401599,0.34655644,0.67794825,0.08933857,0.00053550,0.05113322,0.06040373
-5.72986493,0.87860058,0.36032825,0.67921237,0.09484138,0.00055119,0.05310191,0.05860767
-5.72386193,0.88255929,0.37459518,0.67968620,0.10013132,0.00056425,0.05480023,0.05713476
-5.71785893,0.88549702,0.38916847,0.67905212,0.10513801,0.00057436,0.05619107,0.05599070
-5.71185593,0.88704367,0.40384911,0.67702110,0.10979448,0.00058124,0.05724267,0.05517422
-5.70585293,0.88686479,0.41843052,0.67334177,0.11403867,0.00058468,0.05792980,0.05467690
-5.69984992,0.88467179,0.43270181,0.66780871,0.11781471,0.00058454,0.05823465,0.05448332
-5.69384692,0.88023117,0.44645163,0.66026969,0.12107414,0.00058077,0.05814756,0.05457156
-5.68784392,0.87337244,0.45947240,0.65063132,0.12377685,0.00057337,0.05766738,0.05491396
-5.68184092,0.86399416,0.47156506,0.63886291,0.12589185,0.00056246,0.05680156,0.05547815
