energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.83540371,0.40484767,0.09827626,0.02410561,0.09626902,0.29476428,0.00000000,0.34957346,0.03145303
-5.99399700,0.76295563,0.36074043,0.08812521,0.02301601,0.08535554,0.27337267,0.00000000,0.32035855,0.02935034
-5.98799400,0.69686395,0.32050556,0.07880426,0.02233077,0.07530526,0.25414757,0.00000000,0.29362033,0.02733667
-5.98199100,0.63734531,0.28409807,0.07032898,0.02206229,0.06611170,0.23719157,0.00000000,0.26943151,0.02543396
-5.97598799,0.58452236,0.25142729,0.06270103,0.02221676,0.05775652,0.22257889,0.00000000,0.24783522,0.02366168
-5.96998499,0.53842676,0.22236404,0.05590962,0.02279417,0.05021152,0.21035384,0.00000000,0.22884526,0.02203639
-5.96398199,0.49900250,0.19674738,0.04993297,0.02378821,0.04344058,0.20052934,0.00000000,0.21244621,0.02057139
-5.95797899,0.46610945,0.17439104,0.04473983,0.02518615,0.03740151,0.19308548,0.00000000,0.19859352,0.01927643
-5.95197599,0.43952723,0.15508907,0.04029096,0.02696881,0.03204775,0.18796853,0.00000000,0.18721365,0.01815748
-5.94597299,0.41895947,0.13862098,0.03654054,0.02911043,0.02732992,0.18509017,0.00000000,0.17820449,0.01721666
-5.93996998,0.40403853,0.12475627,0.03343752,0.03157870,0.02319714,0.18432746,0.00000000,0.17143601,0.01645225
-5.93396698,0.39433104,0.11325833,0.03092680,0.03433486,0.01959825,0.18552340,0.00000000,0.16675144,0.01585874
-5.92796398,0.38934413,0.10388789,0.02895043,0.03733386,0.01648275,0.18848831,0.00000000,0.16396897,0.01542706
-5.92196098,0.38853284,0.09640594,0.02744857,0.04052479,0.01380161,0.19300216,0.00000000,0.16288400,0.01514488
-5.91595798,0.39130845,0.09057643,0.02636054,0.04385142,0.01150789,0.19881778,0.00000000,0.16327216,0.01499694
-5.90995498,0.39704809,0.08616854,0.02562561,0.04725298,0.00955723,0.20566509,0.00000000,0.16489283,0.01496551
-5.90395198,0.40510539,0.08295880,0.02518389,0.05066518,0.00790818,0.21325620,0.00000000,0.16749345,0.01503093
-5.89794897,0.41482213,0.08073308,0.02497706,0.05402144,0.00652241,0.22129135,0.00000000,0.17081422,0.01517212
-5.89194597,0.42554069,0.07928835,0.02494910,0.05725425,0.00536481,0.22946553,0.00000000,0.17459332,0.01536718
-5.88594297,0.43661706,0.07843435,0.02504701,0.06029676,0.00440356,0.23747558,0.00000000,0.17857236,0.01559403
-5.87993997,0.44743393,0.07799518,0.02522135,0.06308447,0.00361004,0.24502754,0.00000000,0.18250204,0.01583094
-5.87393697,0.45741368,0.07781065,0.02542693,0.06555691,0.00295876,0.25184402,0.00000000,0.18614760,0.01605718
-5.86793397,0.46603052,0.07773751,0.02562320,0.06765932,0.00242722,0.25767131,0.00000000,0.18929412,0.01625349
