energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
0.41120560,2.55284682,-2.55288787,0.71632225,-0.71636939,0.06969849,-0.06968178,0.28375969,-0.28375548,1.43238042,-1.43249701,0.17399375,-0.17402260,0.12941416,-0.12933059,0.09466937,-0.09467169,0.50170284,-0.50169304
0.41720860,2.47404706,-2.47408449,0.69486243,-0.69490961,0.06929647,-0.06927872,0.27367200,-0.27366629,1.37471837,-1.37483681,0.16490013,-0.16492874,0.13528868,-0.13520205,0.09328762,-0.09329114,0.48923795,-0.48922532
0.42321161,2.39567957,-2.39571518,0.67338070,-0.67342798,0.06900692,-0.06898844,0.26395855,-0.26395168,1.31703270,-1.31715264,0.15592476,-0.15595297,0.14131501,-0.14122667,0.09156770,-0.09157242,0.47730829,-0.47729336
0.42921461,2.31815097,-2.31818708,0.65192821,-0.65197574,0.06880977,-0.06879089,0.25466300,-0.25465538,1.25974450,-1.25986573,0.14711395,-0.14714165,0.14738450,-0.14729595,0.08952301,-0.08952890,0.46598185,-0.46596526
0.43521761,2.24178535,-2.24182470,0.63053661,-0.63058463,0.06868102,-0.06866212,0.24581576,-0.24580787,1.20322928,-1.20335176,0.13850233,-0.13852943,0.15338110,-0.15329398,0.08717144,-0.08717849,0.45531049,-0.45529300
0.44122061,2.16683857,-2.16688419,0.60922467,-0.60927347,0.06859374,-0.06857523,0.23743592,-0.23742826,1.14782188,-1.14794563,0.13011445,-0.13014089,0.15918366,-0.15909967,0.08453507,-0.08454323,0.44533314,-0.44531559
0.44722361,2.09351421,-2.09356931,0.58800497,-0.58805484,0.06851907,-0.06850137,0.22953338,-0.22952648,1.09382219,-1.09394731,0.12196654,-0.12199229,0.16466857,-0.16458945,0.08163969,-0.08164891,0.43607927,-0.43606254
0.45322661,2.02198021,-2.02204797,0.56689031,-0.56694156,0.06842735,-0.06841088,0.22211117,-0.22210558,1.04150115,-1.04162774,0.11406846,-0.11409350,0.16971287,-0.16964035,0.07851428,-0.07852452,0.42757229,-0.42755729
0.45922961,1.95238466,-1.95246813,0.54589931,-0.54595221,0.06828934,-0.06827451,0.21516773,-0.21516395,0.99110622,-0.99123434,0.10642554,-0.10644986,0.17419757,-0.17413333,0.07519045,-0.07520162,0.41983274,-0.41982033
0.46523262,1.88486991,-1.88497184,0.52506094,-0.52511571,0.06807732,-0.06806451,0.20869893,-0.20869742,0.94286594,-0.94299561,0.09904031,-0.09906391,0.17801121,-0.17795680,0.07170175,-0.07171379,0.41288087,-0.41287187
