energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,5.89862551,0.01369844,0.70376130,0.01662918,0.00000000,2.41469088,3.01713217,0.08144801,1.63497624
-5.99399700,5.93931873,0.01383135,0.72149975,0.01622613,0.00000000,2.42821863,3.04685077,0.08127050,1.63319736
-5.98799400,5.97729099,0.01399269,0.73787958,0.01589508,0.00000000,2.44378654,3.07321715,0.08118041,1.63231551
-5.98199100,6.01289177,0.01419356,0.75282234,0.01564666,0.00000000,2.46106317,3.09642217,0.08120893,1.63258561
-5.97598799,6.04680979,0.01444525,0.76628903,0.01549053,0.00000000,2.47974353,3.11686940,0.08139183,1.63434788
-5.96998499,6.08003685,0.01475891,0.77827811,0.01543521,0.00000000,2.49953948,3.13515789,0.08176879,1.63801462
-5.96398199,6.11381494,0.01514509,0.78882194,0.01548791,0.00000000,2.52016836,3.15205474,0.08238227,1.64405230
-5.95797899,6.14956897,0.01561326,0.79798191,0.01565436,0.00000000,2.54134126,3.16845849,0.08327630,1.65295978
-5.95197599,6.18882789,0.01617138,0.80584268,0.01593870,0.00000000,2.56275184,3.18535494,0.08449487,1.66524334
-5.94597299,6.23313812,0.01682539,0.81250579,0.01634326,0.00000000,2.58406693,3.20376726,0.08608028,1.68138973
-5.93996998,6.28397322,0.01757884,0.81808303,0.01686851,0.00000000,2.60491956,3.22470274,0.08807127,1.70183844
-5.93396698,6.34264440,0.01843246,0.82268989,0.01751293,0.00000000,2.62490526,3.24909884,0.09050121,1.72695435
-5.92796398,6.41021617,0.01938386,0.82643946,0.01827290,0.00000000,2.64358203,3.27777113,0.09339623,1.75700225
-5.92196098,6.48743143,0.02042737,0.82943706,0.01914272,0.00000000,2.66047408,3.31136570,0.09677355,1.79212437
-5.91595798,6.57464967,0.02155385,0.83177571,0.02011455,0.00000000,2.67507939,3.35031840,0.10063998,1.83232207
-5.90995498,6.67180144,0.02275082,0.83353277,0.02117848,0.00000000,2.68688060,3.39482307,0.10499069,1.87744268
-5.90395198,6.77836133,0.02400252,0.83476768,0.02232261,0.00000000,2.69535895,3.44481012,0.10980832,1.92717214
-5.89794897,6.89334057,0.02529025,0.83552083,0.02353321,0.00000000,2.70001028,3.49993656,0.11506248,1.98103394
-5.89194597,7.01529979,0.02659279,0.83581354,0.02479491,0.00000000,2.70036249,3.55958782,0.12070966,2.03839437
-5.88594297,7.14238085,0.02788693,0.83564901,0.02609094,0.00000000,2.69599342,3.62289118,0.12669355,2.09847409
-5.87993997,7.27235627,0.02914809,0.83501405,0.02740343,0.00000000,2.68654821,3.68873985,0.13294584,2.16036525
-5.87393697,7.40269360,0.03035109,0.83388142,0.02871377,0.00000000,2.67175543,3.75582649,0.13938734,2.22305378
-5.86793397,7.53063159,0.03147087,0.83221264,0.03000293,0.00000000,2.65144083,3.82268434,0.14592955,2.28544554
-5.86193097,7.65326461,0.03248328,0.82996091,0.03125190,0.00000000,2.62553838,3.88773391,0.15247652,2.34639553
-5.85592796,7.76763139,0.03336586,0.82707417,0.03244204,0.00000000,2.59409770,3.94933305,0.15892694,2.40473872
-5.84992496,7.87080442,0.03409854,0.82349797,0.03355544,0.00000000,2.55728779,4.00582817,0.16517644,2.45932151
-5.84392196,7.95997650,0.03466426,0.81917818,0.03457537,0.00000000,2.51539664,4.05560456,0.17112000,2.50903248
-5.83791896,8.03254126,0.03504953,0.81406334,0.03548652,0.00000000,2.46882685,4.09713386,0.17665441,2.55283149
-5.83191596,8.08616516,0.03524475,0.80810672,0.03627535,0.00000000,2.41808738,4.12901735,0.18168067,2.58977620
-5.82591296,8.11884921,0.03524453,0.80126816,0.03693034,0.00000000,2.36378171,4.15002373,0.18610631,2.61904527
-5.81990995,8.12897915,0.03504769,0.79351550,0.03744214,0.00000000,2.30659311,4.15912079,0.18984752,2.63995778
-5.81390695,8.11536367,0.03465728,0.78482599,0.03780375,0.00000000,2.24726736,4.15550064,0.19283108,2.65198853
-5.80790395,8.07726080,0.03408029,0.77518756,0.03801056,0.00000000,2.18659383,4.13859850,0.19499601,2.65477912
-5.80190095,8.01439312,0.03332736,0.76460005,0.03806042,0.00000000,2.12538570,4.10810534,0.19629491,2.64814488
