energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.88417503,0.02451008,0.30579164,0.01851080,0.03405239,0.99713120,1.17149058,0.06584194,1.24738651
-5.99399700,2.75973417,0.02363592,0.28790799,0.01931773,0.03327978,1.01070217,1.09801876,0.06250138,1.20552696
-5.98799400,2.65430727,0.02280175,0.27272145,0.02040566,0.03258326,1.03844790,1.03327665,0.05927081,1.17095095
-5.98199100,2.56890549,0.02202613,0.26021052,0.02178391,0.03198293,1.08002186,0.97763508,0.05620017,1.14432812
-5.97598799,2.50430750,0.02132596,0.25033764,0.02345946,0.03149842,1.13501790,0.93134598,0.05333436,1.12620284
-5.96998499,2.46102106,0.02071613,0.24304655,0.02543649,0.03114815,1.20294467,0.89453272,0.05071253,1.11697485
-5.96398199,2.43924990,0.02020919,0.23825999,0.02771605,0.03094846,1.28319968,0.86718338,0.04836752,1.11688289
-5.95797899,2.43886792,0.01981520,0.23587791,0.03029567,0.03091297,1.37504532,0.84914718,0.04632537,1.12599228
-5.95197599,2.45940206,0.01954150,0.23577633,0.03316914,0.03105187,1.47758894,0.84013437,0.04460513,1.14418717
-5.94597299,2.50002544,0.01939276,0.23780703,0.03632642,0.03137137,1.58976890,0.83971974,0.04321876,1.17116778
-5.93996998,2.55956145,0.01937092,0.24179818,0.03975358,0.03187328,1.71034798,0.84734996,0.04217122,1.20645334
-5.93396698,2.63649967,0.01947533,0.24755589,0.04343295,0.03255474,1.83791549,0.86235464,0.04146070,1.24939081
-5.92796398,2.72902362,0.01970295,0.25486683,0.04734335,0.03340807,1.97089852,0.88396120,0.04107901,1.29916948
-5.92196098,2.83505007,0.02004859,0.26350159,0.05146047,0.03442090,2.10758247,0.91131331,0.04101207,1.35484133
-5.91595798,2.95227909,0.02050519,0.27321900,0.05575727,0.03557634,2.24614043,0.94349257,0.04124050,1.41534670
-5.90995498,3.07825363,0.02106421,0.28377098,0.06020457,0.03685341,2.38467047,0.97954321,0.04174031,1.47954478
-5.90395198,3.21042680,0.02171593,0.29490794,0.06477154,0.03822761,2.52123933,1.01849907,0.04248364,1.54624781
-5.89794897,3.34623490,0.02244984,0.30638444,0.06942638,0.03967163,2.65393076,1.05941237,0.04343949,1.61425838
-5.89194597,3.48317369,0.02325496,0.31796486,0.07413682,0.04115617,2.78089652,1.10138341,0.04457454,1.68240819
-5.88594297,3.61887540,0.02412014,0.32942899,0.07887071,0.04265081,2.90040763,1.14359046,0.04585387,1.74959733
-5.87993997,3.75118372,0.02503432,0.34057714,0.08359645,0.04412505,3.01090382,1.18531877,0.04724176,1.81483252
