energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,1.57981795,0.00420804,0.07439407,0.53129097,0.87766163,0.02669767,0.46636031
-5.99399700,1.58024382,0.00427743,0.07204205,0.53910293,0.87524076,0.02717841,0.46389855
-5.98799400,1.58239092,0.00433675,0.07000473,0.54594562,0.87486150,0.02759136,0.46167617
-5.98199100,1.58538005,0.00438385,0.06824446,0.55171003,0.87590413,0.02792629,0.45950143
-5.97598799,1.58836742,0.00441692,0.06672318,0.55632482,0.87774752,0.02817515,0.45720151
-5.96998499,1.59056796,0.00443442,0.06540334,0.55975694,0.87978658,0.02833236,0.45462779
-5.96398199,1.59127478,0.00443520,0.06424884,0.56201030,0.88144835,0.02839491,0.45165947
-5.95797899,1.58987432,0.00441848,0.06322566,0.56312281,0.88220613,0.02836240,0.44820567
-5.95197599,1.58585727,0.00438386,0.06230251,0.56316187,0.88159146,0.02823689,0.44420601
-5.94597299,1.57882512,0.00433128,0.06145123,0.56221865,0.87920374,0.02802281,0.43962969
-5.93996998,1.56849280,0.00426105,0.06064704,0.56040165,0.87471753,0.02772658,0.43447350
-5.93396698,1.55468789,0.00417383,0.05986869,0.55782984,0.86788742,0.02735638,0.42875886
-5.92796398,1.53734693,0.00407052,0.05909846,0.55462596,0.85855085,0.02692176,0.42252829
-5.92196098,1.51650972,0.00395233,0.05832208,0.55091032,0.84662877,0.02643322,0.41584163
-5.91595798,1.49231215,0.00382065,0.05752859,0.54679557,0.83212465,0.02590197,0.40877232
-5.90995498,1.46497838,0.00367709,0.05671016,0.54238271,0.81512198,0.02533949,0.40140401
-5.90395198,1.43481291,0.00352338,0.05586187,0.53775870,0.79578049,0.02475737,0.39382774
-5.89794897,1.40219309,0.00336135,0.05498154,0.53299561,0.77433150,0.02416707,0.38613997
-5.89194597,1.36756242,0.00319293,0.05406957,0.52815162,0.75107249,0.02357981,0.37844132
-5.88594297,1.33142486,0.00302006,0.05312880,0.52327348,0.72636117,0.02300658,0.37083629
-5.87993997,1.29434016,0.00284471,0.05216439,0.51840048,0.70060927,0.02245813,0.36343375
-5.87393697,1.25692007,0.00266883,0.05118380,0.51356951,0.67427604,0.02194509,0.35634811
-5.86793397,1.21982532,0.00249434,0.05019675,0.50882084,0.64786168,0.02147816,0.34970096
-5.86193097,1.18376280,0.00232309,0.04921513,0.50420421,0.62190063,0.02106825,0.34362295
-5.85592796,1.14948262,0.00215689,0.04825305,0.49978476,0.59695482,0.02072664,0.33825564
-5.84992496,1.11777450,0.00199743,0.04732671,0.49564831,0.57360667,0.02046522,0.33375302
-5.84392196,1.08946293,0.00184634,0.04645434,0.49190552,0.55245201,0.02029655,0.33028241
-5.83791896,1.06540069,0.00170513,0.04565596,0.48869462,0.53409254,0.02023394,0.32802452
-5.83191596,1.04646027,0.00157522,0.04495315,0.48618227,0.51912804,0.02029143,0.32717246
-5.82591296,1.03352274,0.00145791,0.04436867,0.48456245,0.50814793,0.02048368,0.32792950
-5.81990995,1.02746407,0.00135438,0.04392596,0.48405314,0.50172228,0.02082575,0.33050562
-5.81390695,1.02913867,0.00126571,0.04364857,0.48489094,0.50039221,0.02133281,0.33511269
-5.80790395,1.03936034,0.00119284,0.04355948,0.48732368,0.50465954,0.02201969,0.34195848
-5.80190095,1.05888081,0.00113661,0.04368028,0.49160125,0.51497582,0.02290043,0.35123967
-5.79589795,1.08836644,0.00109771,0.04403039,0.49796512,0.53173077,0.02398769,0.36313391
-5.78989495,1.12837357,0.00107669,0.04462611,0.50663684,0.55524032,0.02529214,0.37779147
-5.78389195,1.17932333,0.00107398,0.04547980,0.51780619,0.58573455,0.02682181,0.39532659
-5.77788894,1.24147678,0.00108982,0.04659899,0.53161939,0.62334563,0.02858147,0.41580905
-5.77188594,1.31491140,0.00112430,0.04798565,0.54816799,0.66809648,0.03057199,0.43925626
-5.76588294,1.39949989,0.00117730,0.04963550,0.56747906,0.71989031,0.03278981,0.46562631
-5.75987994,1.49489249,0.00124852,0.05153755,0.58950701,0.77850171,0.03522646,0.49481231
-5.75387694,1.60050375,0.00133740,0.05367374,0.61412768,0.84356995,0.03786822,0.52663835
-5.74787394,1.71550486,0.00144317,0.05601888,0.64113488,0.91459482,0.04069586,0.56085744
-5.74187094,1.83882242,0.00156478,0.05854079,0.67023979,0.99093578,0.04368462,0.59715157
-5.73586793,1.96914430,0.00170091,0.06120066,0.70107322,1.07181498,0.04680425,0.63513404
-5.72986493,2.10493331,0.00184995,0.06395370,0.73319091,1.15632429,0.05001936,0.67435430
-5.72386193,2.24444875,0.00201003,0.06674999,0.76608160,1.24343707,0.05328984,0.71430498
-5.71785893,2.38577603,0.00217897,0.06953558,0.79917786,1.33202447,0.05657149,0.75443138
-5.71185593,2.52686390,0.00235434,0.07225373,0.83186924,1.42087642,0.05981687,0.79414295
-5.70585293,2.66556873,0.00253349,0.07484637,0.86351734,1.50872704,0.06297625,0.83282658
-5.69984992,2.79970476,0.00271354,0.07725556,0.89347242,1.59428380,0.06599870,0.86986144
-5.69384692,2.92709900,0.00289147,0.07942511,0.92109090,1.67626002,0.06883333,0.90463478
-5.68784392,3.04564917,0.00306418,0.08130212,0.94575322,1.75340930,0.07143051,0.93655833
