energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.13505736,1.16528142,2.33410366,0.00134172,0.02690242,0.39431542,0.09373485,0.98151979,0.00000000
-5.99399700,3.20614153,1.19614443,2.39917007,0.00131297,0.02683541,0.39624288,0.09582689,0.99243434,0.00000000
-5.98799400,3.28335049,1.22770446,2.47007511,0.00129004,0.02682234,0.39809756,0.09796175,1.00440582,0.00000000
-5.98199100,3.36519663,1.25933326,2.54557734,0.00127227,0.02685563,0.39978204,0.10010246,1.01708196,0.00000000
-5.97598799,3.44991064,1.29032091,2.62420447,0.00125883,0.02692480,0.40118068,0.10220685,1.03003355,0.00000000
-5.96998499,3.53551830,1.31990196,2.70431646,0.00124874,0.02701698,0.40216517,0.10422928,1.04277357,0.00000000
-5.96398199,3.61992882,1.34728529,2.78417822,0.00124092,0.02711768,0.40260083,0.10612251,1.05477940,0.00000000
-5.95797899,3.70103069,1.37168605,2.86203870,0.00123424,0.02721152,0.40235335,0.10783982,1.06551689,0.00000000
-5.95197599,3.77679071,1.39235870,2.93621263,0.00122758,0.02728305,0.40129564,0.10933711,1.07446525,0.00000000
-5.94597299,3.84535136,1.40862928,3.00516111,0.00121989,0.02731751,0.39931454,0.11057499,1.08114166,0.00000000
-5.93996998,3.90512180,1.41992570,3.06756694,0.00121018,0.02730164,0.39631695,0.11152071,1.08512428,0.00000000
-5.93396698,3.95485779,1.42580440,3.12240097,0.00119761,0.02722429,0.39223519,0.11214989,1.08607261,0.00000000
-5.92796398,3.99372655,1.42597221,3.16897586,0.00118147,0.02707703,0.38703132,0.11244780,1.08374431,0.00000000
-5.92196098,4.02135296,1.42030228,3.20698434,0.00116126,0.02685455,0.38070005,0.11241032,1.07800742,0.00000000
-5.91595798,4.03784456,1.40884326,3.23651993,0.00113664,0.02655491,0.37327035,0.11204441,1.06884763,0.00000000
-5.90995498,4.04379388,1.39182124,3.25807849,0.00110746,0.02617971,0.36480542,0.11136801,1.05637010,0.00000000
-5.90395198,4.04025761,1.36963433,3.27254045,0.00107378,0.02573396,0.35540120,0.11040951,1.04079573,0.00000000
-5.89794897,4.02871356,1.34284005,3.28113435,0.00103580,0.02522593,0.34518336,0.10920669,1.02245226,0.00000000
-5.89194597,4.01099720,1.31213618,3.28538309,0.00099388,0.02466676,0.33430301,0.10780517,1.00176042,0.00000000
-5.88594297,3.98922095,1.27833580,3.28703558,0.00094852,0.02407000,0.32293128,0.10625658,0.97921609,0.00000000
-5.87993997,3.96568002,1.24233786,3.28798709,0.00090031,0.02345099,0.31125302,0.10461634,0.95536916,0.00000000
-5.87393697,3.94274949,1.20509443,3.29019196,0.00084993,0.02282629,0.29946004,0.10294133,0.93080026,0.00000000
-5.86793397,3.92277755,1.16757629,3.29557320,0.00079806,0.02221292,0.28774404,0.10128748,0.90609653,0.00000000
-5.86193097,3.90798020,1.13073827,3.30593318,0.00074543,0.02162774,0.27628971,0.09970739,0.88182748,0.00000000
-5.85592796,3.90034232,1.09548583,3.32286986,0.00069275,0.02108675,0.26526820,0.09824816,0.85852218,0.00000000
-5.84992496,3.90152986,1.06264433,3.34770251,0.00064067,0.02060449,0.25483134,0.09694944,0.83664875,0.00000000
-5.84392196,3.91281715,1.03293224,3.38141033,0.00058980,0.02019350,0.24510678,0.09584191,0.81659706,0.00000000
-5.83791896,3.93503236,1.00693911,3.42458682,0.00054067,0.01986391,0.23619426,0.09494608,0.79866526,0.00000000
-5.83191596,3.96852344,0.98510919,3.47741170,0.00049372,0.01962309,0.22816310,0.09427172,0.78305075,0.00000000
-5.82591296,4.01314549,0.96773110,3.53964135,0.00044930,0.01947546,0.22105103,0.09381759,0.76984566,0.00000000
-5.81990995,4.06826962,0.95493367,3.61061785,0.00040767,0.01942237,0.21486425,0.09357185,0.75903696,0.00000000
-5.81390695,4.13281219,0.94668778,3.68929563,0.00036900,0.01946216,0.20957870,0.09351270,0.75051097,0.00000000
-5.80790395,4.20528244,0.94281400,3.77428404,0.00033337,0.01959029,0.20514248,0.09360966,0.74406176,0.00000000
-5.80190095,4.28384568,0.94299521,3.86390338,0.00030079,0.01979958,0.20147912,0.09382499,0.73940302,0.00000000
-5.79589795,4.36639868,0.94679362,3.95625131,0.00027119,0.02008054,0.19849157,0.09411543,0.73618258,0.00000000
-5.78989495,4.45065326,0.95367117,4.04927638,0.00024445,0.02042179,0.19606674,0.09443416,0.73399892,0.00000000
-5.78389195,4.53422428,0.96301242,4.14085506,0.00022042,0.02081050,0.19408032,0.09473271,0.73241870,0.00000000
-5.77788894,4.61471789,0.97414895,4.22886882,0.00019890,0.02123290,0.19240169,0.09496297,0.73099471,0.00000000
-5.77188594,4.68981643,0.98638418,4.31127788,0.00017970,0.02167479,0.19089870,0.09507902,0.72928334,0.00000000
-5.76588294,4.75735648,0.99901791,4.38618877,0.00016258,0.02212208,0.18944220,0.09503886,0.72686098,0.00000000
-5.75987994,4.81539749,1.01136951,4.45191317,0.00014734,0.02256126,0.18791013,0.09480586,0.72333865,0.00000000
-5.75387694,4.86227856,1.02279922,4.50701614,0.00013376,0.02297991,0.18619110,0.09434992,0.71837461,0.00000000
-5.74787394,4.89666207,1.03272686,4.55035258,0.00012166,0.02336711,0.18418735,0.09364846,0.71168444,0.00000000
-5.74187094,4.91756331,1.04064759,4.58109106,0.00011084,0.02371381,0.18181704,0.09268691,0.70304836,0.00000000
-5.73586793,4.92436594,1.04614428,4.59872521,0.00010116,0.02401313,0.17901594,0.09145899,0.69231597,0.00000000
-5.72986493,4.91682375,1.04889647,4.60307304,0.00009248,0.02426059,0.17573836,0.08996673,0.67940807,0.00000000
-5.72386193,4.89504975,1.04868568,4.59426517,0.00008468,0.02445419,0.17195749,0.08822004,0.66431599,0.00000000
-5.71785893,4.85949399,1.04539735,4.57272336,0.00007768,0.02459450,0.16766520,0.08623620,0.64709857,0.00000000
-5.71185593,4.81091178,1.03901935,4.53913096,0.00007142,0.02468457,0.16287120,0.08403903,0.62787693,0.00000000
-5.70585293,4.75032429,1.02963759,4.49439699,0.00006583,0.02472979,0.15760185,0.08165789,0.60682766,0.00000000
-5.69984992,4.67897354,1.01742886,4.43961582,0.00006089,0.02473763,0.15189851,0.07912657,0.58417449,0.00000000
-5.69384692,4.59827388,1.00265142,4.37602421,0.00005660,0.02471733,0.14581563,0.07648211,0.56017906,0.00000000
-5.68784392,4.50976187,0.98563376,4.30495749,0.00005294,0.02467952,0.13941855,0.07376350,0.53513110,0.00000000
-5.68184092,4.41504647,0.96676207,4.22780658,0.00004994,0.02463576,0.13278122,0.07101047,0.50933837,0.00000000
-5.67583792,4.31576120,0.94646682,4.14597710,0.00004763,0.02459808,0.12598382,0.06826226,0.48311676,0.00000000
-5.66983492,4.21351975,0.92520899,4.06085198,0.00004605,0.02457850,0.11911032,0.06555652,0.45678091,0.00000000
-5.66383192,4.10987623,0.90346647,3.97375850,0.00004525,0.02458851,0.11224619,0.06292826,0.43063548,0.00000000
-5.65782891,4.00629112,0.88172092,3.88594043,0.00004529,0.02463866,0.10547618,0.06040904,0.40496757,0.00000000
-5.65182591,3.90410346,0.86044565,3.79853590,0.00004625,0.02473813,0.09888230,0.05802622,0.38004013,0.00000000
-5.64582291,3.80450991,0.84009470,3.71256127,0.00004821,0.02489441,0.09254194,0.05580248,0.35608682,0.00000000
-5.63981991,3.70855074,0.82109337,3.62890096,0.00005127,0.02511303,0.08652641,0.05375550,0.33330815,0.00000000
-5.63381691,3.61710264,0.80383047,3.54830325,0.00005552,0.02539742,0.08089953,0.05189788,0.31186899,0.00000000
-5.62781391,3.53087815,0.78865230,3.47138146,0.00006107,0.02574883,0.07571671,0.05023716,0.29189749,0.00000000
-5.62181091,3.45043096,0.77585832,3.39862020,0.00006803,0.02616644,0.07102421,0.04877616,0.27348521,0.00000000
-5.61580790,3.37616646,0.76569855,3.33038578,0.00007651,0.02664747,0.06685874,0.04751335,0.25668832,0.00000000
-5.60980490,3.30835649,0.75837250,3.26693992,0.00008663,0.02718746,0.06324727,0.04644351,0.24152991,0.00000000
-5.60380190,3.24715723,0.75402933,3.20845587,0.00009849,0.02778066,0.06020718,0.04555839,0.22800296,0.00000000
-5.59779890,3.19262897,0.75276923,3.15503567,0.00011220,0.02842041,0.05774660,0.04484747,0.21607399,0.00000000
-5.59179590,3.14475660,0.75464554,3.10672768,0.00012785,0.02909964,0.05586488,0.04429886,0.20568703,0.00000000
-5.58579290,3.10346953,0.75966737,3.06354303,0.00014550,0.02981140,0.05455339,0.04390013,0.19676788,0.00000000
-5.57978989,3.06865991,0.76780259,3.02547012,0.00016521,0.03054941,0.05379625,0.04363913,0.18922831,0.00000000
-5.57378689,3.04019814,0.77898071,2.99248626,0.00018700,0.03130855,0.05357135,0.04350485,0.18297022,0.00000000
-5.56778389,3.01794484,0.79309573,2.96456564,0.00021086,0.03208541,0.05385131,0.04348806,0.17788944,0.00000000
-5.56178089,3.00175874,0.81000853,2.94168326,0.00023676,0.03287870,0.05460454,0.04358204,0.17387924,0.00000000
-5.55577789,2.99150017,0.82954893,2.92381462,0.00026460,0.03368965,0.05579639,0.04378301,0.17083344,0.00000000
-5.54977489,2.98703023,0.85151734,2.91093110,0.00029427,0.03452231,0.05739021,0.04409060,0.16864896,0.00000000
-5.54377189,2.98820594,0.87568603,2.90299169,0.00032559,0.03538379,0.05934845,0.04450809,0.16722805,0.00000000
-5.53776888,2.99487204,0.90180022,2.89993153,0.00035833,0.03628429,0.06163384,0.04504258,0.16648001,0.00000000
-5.53176588,3.00685037,0.92957910,2.90164828,0.00039225,0.03723715,0.06421042,0.04570494,0.16632256,0.00000000
-5.52576288,3.02392786,0.95871712,2.90798765,0.00042702,0.03825872,0.06704464,0.04650978,0.16668293,0.00000000
-5.51975988,3.04584449,0.98888569,2.91872909,0.00046231,0.03936807,0.07010642,0.04747522,0.16749865,0.00000000
-5.51375688,3.07228255,1.01973563,2.93357332,0.00049772,0.04058670,0.07337013,0.04862249,0.16871822,0.00000000
-5.50775388,3.10285832,1.05090062,2.95213277,0.00053285,0.04193800,0.07681559,0.04997563,0.17030162,0.00000000
-5.50175088,3.13711745,1.08200181,2.97392633,0.00056728,0.04344675,0.08042893,0.05156088,0.17222081,0.00000000
-5.49574787,3.17453500,1.11265368,2.99837925,0.00060055,0.04513843,0.08420338,0.05340617,0.17446016,0.00000000
-5.48974487,3.21452051,1.14247130,3.02482893,0.00063225,0.04703849,0.08813995,0.05554039,0.17701679,0.00000000
-5.48374187,3.25642866,1.17107882,3.05253684,0.00066196,0.04917152,0.09224792,0.05799277,0.17990096,0.00000000
-5.47773887,3.29957508,1.19811903,3.08070650,0.00068927,0.05156046,0.09654516,0.06079199,0.18313628,0.00000000
