energy_ev,total_up,In_p_up,In_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,2.11603868,0.26286649,0.00511082,0.29800100,1.05773225,0.08938716,0.22959847
-5.99399700,2.23826622,0.27654875,0.00540251,0.31947730,1.11742454,0.09380537,0.24740173
-5.98799400,2.35659321,0.28959654,0.00568303,0.34081750,1.17508210,0.09799188,0.26524104
-5.98199100,2.46961297,0.30184538,0.00594894,0.36178360,1.23003582,0.10189545,0.28289228
-5.97598799,2.57595725,0.31313701,0.00619693,0.38213530,1.28164280,0.10546816,0.30012281
-5.96998499,2.67433018,0.32332272,0.00642386,0.40163708,1.32930297,0.10866640,0.31669710
-5.96398199,2.76354518,0.33226693,0.00662687,0.42006607,1.37247709,0.11145198,0.33238314
-5.95797899,2.84256346,0.33985089,0.00680346,0.43722052,1.41070523,0.11379314,0.34695971
-5.95197599,2.91053270,0.34597647,0.00695159,0.45292857,1.44362522,0.11566560,0.36022392
-5.94597299,2.96682444,0.35056977,0.00706974,0.46705680,1.47099021,0.11705347,0.37199895
-5.93996998,3.01106808,0.35358456,0.00715702,0.47951827,1.49268449,0.11795005,0.38214152
-5.93396698,3.04317968,0.35500517,0.00721322,0.49027951,1.50873649,0.11835841,0.39054871
-5.92796398,3.06338369,0.35484887,0.00723882,0.49936599,1.51932825,0.11829182,0.39716374
-5.92196098,3.07222573,0.35316728,0.00723508,0.50686573,1.52480038,0.11777377,0.40198050
-5.91595798,3.07057506,0.35004701,0.00720395,0.51293063,1.52565181,0.11683778,0.40504623
-5.90995498,3.05961551,0.34560904,0.00714813,0.51777526,1.52253386,0.11552684,0.40646241
-5.90395198,3.04082430,0.34000711,0.00707097,0.52167297,1.51623828,0.11389244,0.40638349
-5.89794897,3.01593875,0.33342478,0.00697638,0.52494922,1.50767943,0.11199335,0.40501350
-5.89194597,2.98691143,0.32607140,0.00686877,0.52797228,1.49787073,0.10989398,0.40260052
-5.88594297,2.95585497,0.31817704,0.00675292,0.53114150,1.48789620,0.10766256,0.39942926
-5.87993997,2.92497846,0.30998647,0.00663380,0.53487357,1.47887793,0.10536905,0.39581191
-5.87393697,2.89651770,0.30175245,0.00651649,0.53958718,1.47194083,0.10308292,0.39207770
-5.86793397,2.87266232,0.29372860,0.00640599,0.54568685,1.46817600,0.10087095,0.38856161
-5.86193097,2.85548290,0.28616214,0.00630707,0.55354641,1.46860442,0.09879496,0.38559271
-5.85592796,2.84686125,0.27928677,0.00622418,0.56349309,1.47414261,0.09690988,0.38348274
-5.84992496,2.84842742,0.27331607,0.00616125,0.57579284,1.48557190,0.09526189,0.38251539
-5.84392196,2.86150628,0.26843772,0.00612169,0.59063757,1.50351293,0.09388704,0.38293697
-5.83791896,2.88707649,0.26480875,0.00610819,0.60813520,1.52840654,0.09281018,0.38494874
-5.83191596,2.92574395,0.26255214,0.00612281,0.62830271,1.56050237,0.09204447,0.38870155
-5.82591296,2.97773123,0.26175484,0.00616682,0.65106304,1.59985553,0.09159124,0.39429287
-5.81990995,3.04288353,0.26246743,0.00624081,0.67624571,1.64633188,0.09144049,0.40176657
-5.81390695,3.12069113,0.26470525,0.00634467,0.70359151,1.69962160,0.09157178,0.41111529
-5.80790395,3.21032715,0.26845106,0.00647769,0.73276097,1.75926044,0.09195558,0.42228553
