energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.86361704,0.00120108,0.79661666,1.19534435,1.58572066,0.02569390,0.43737101
-5.99399700,2.82806162,0.00118952,0.78714671,1.19159762,1.57208261,0.02403371,0.43235927
-5.98799400,2.79102069,0.00117016,0.77812127,1.18575083,1.55900928,0.02236677,0.42580290
-5.98199100,2.75213805,0.00114337,0.76938181,1.17768675,1.54611980,0.02070983,0.41772109
-5.97598799,2.71100047,0.00110966,0.76072896,1.16729730,1.53296282,0.01907848,0.40816315
-5.96998499,2.66717065,0.00106967,0.75193438,1.15449321,1.51904128,0.01748697,0.39720992
-5.96398199,2.62022202,0.00102420,0.74275379,1.13921410,1.50383925,0.01594810,0.38497427
-5.95797899,2.56977376,0.00097410,0.73294086,1.12143875,1.48684987,0.01447314,0.37160050
-5.95197599,2.51552473,0.00092034,0.72226120,1.10119487,1.46760313,0.01307177,0.35726282
-5.94597299,2.45728480,0.00086389,0.71050594,1.07856825,1.44569241,0.01175209,0.34216293
-5.93996998,2.39500232,0.00080576,0.69750429,1.05371059,1.42079862,0.01052063,0.32652679
-5.93396698,2.32878622,0.00074695,0.68313451,1.02684562,1.39271079,0.00938243,0.31060069
-5.92796398,2.25892203,0.00068843,0.66733281,0.99827312,1.36134228,0.00834113,0.29464686
-5.92196098,2.18588055,0.00063109,0.65009971,0.96837028,1.32674184,0.00739906,0.27893864
-5.91595798,2.11031887,0.00057578,0.63150365,0.93759032,1.28909883,0.00655736,0.26375536
-5.90995498,2.03307322,0.00052324,0.61168151,0.90645784,1.24874249,0.00581616,0.24937715
-5.90395198,1.95514378,0.00047413,0.59083616,0.87556101,1.20613511,0.00517469,0.23607960
-5.89794897,1.87767165,0.00042900,0.56923092,0.84554056,1.16185936,0.00463138,0.22412852
-5.89194597,1.80190879,0.00038830,0.54718137,0.81707558,1.11660019,0.00418407,0.21377480
-5.88594297,1.72918182,0.00035239,0.52504459,0.79086666,1.07112223,0.00383003,0.20524936
-5.87993997,1.66085078,0.00032151,0.50320655,0.76761656,1.02624331,0.00356611,0.19875834
-5.87393697,1.59826461,0.00029584,0.48206791,0.74800921,0.98280548,0.00338876,0.19447850
-5.86793397,1.54271467,0.00027546,0.46202907,0.73268750,0.94164453,0.00329413,0.19255297
-5.86193097,1.49538818,0.00026037,0.44347489,0.72223075,0.90355928,0.00327803,0.19308723
-5.85592796,1.45732341,0.00025054,0.42675983,0.71713270,0.86928201,0.00333597,0.19614565
-5.84992496,1.42936829,0.00024587,0.41219404,0.71778078,0.83945097,0.00346311,0.20174849
-5.84392196,1.41214408,0.00024622,0.40003107,0.72443769,0.81458635,0.00365424,0.20986957
-5.83791896,1.40601575,0.00025143,0.39045753,0.73722599,0.79507032,0.00390376,0.22043473
-5.83191596,1.41107030,0.00026131,0.38358523,0.75611657,0.78113222,0.00420559,0.23332122
-5.82591296,1.42710399,0.00027567,0.37944604,0.78092165,0.77283925,0.00455320,0.24835816
-5.81990995,1.45361942,0.00029433,0.37798973,0.81129282,0.77009299,0.00493955,0.26532823
-5.81390695,1.48983261,0.00031709,0.37908477,0.84672455,0.77263204,0.00535712,0.28397059
-5.80790395,1.53469033,0.00034380,0.38252213,0.88656336,0.78004044,0.00579794,0.30398531
-5.80190095,1.58689714,0.00037432,0.38802198,0.93002248,0.79176174,0.00625366,0.32503902
-5.79589795,1.64495157,0.00040854,0.39524290,0.97620201,0.80711796,0.00671565,0.34677204
-5.78989495,1.70719018,0.00044641,0.40379338,1.02411374,0.82533292,0.00717516,0.36880664
-5.78389195,1.77183810,0.00048791,0.41324516,1.07271025,0.84555890,0.00762344,0.39075633
-5.77788894,1.83706439,0.00053310,0.42314784,1.12091705,0.86690572,0.00805200,0.41223595
-5.77188594,1.90104001,0.00058206,0.43304431,1.16766691,0.88847102,0.00845279,0.43287222
-5.76588294,1.96199659,0.00063496,0.44248634,1.21193489,0.90937076,0.00881846,0.45231427
-5.75987994,2.01828341,0.00069202,0.45104984,1.25277295,0.92876862,0.00914258,0.47024400
-5.75387694,2.06842074,0.00075350,0.45834915,1.28934260,0.94590337,0.00941988,0.48638563
-5.74787394,2.11114728,0.00081973,0.46404980,1.32094435,0.96011298,0.00964646,0.50051411
-5.74187094,2.14545991,0.00089106,0.46787938,1.34704276,0.97085488,0.00981997,0.51246218
-5.73586793,2.17064431,0.00096787,0.46963603,1.36728597,0.97772142,0.00993976,0.52212551
-5.72986493,2.18629520,0.00105052,0.46919438,1.38151890,0.98045020,0.01000697,0.52946603
-5.72386193,2.19232565,0.00113939,0.46650852,1.38978964,0.97892887,0.01002456,0.53451294
-5.71785893,2.18896514,0.00123479,0.46161231,1.39234866,0.97319449,0.00999731,0.53736173
-5.71185593,2.17674678,0.00133695,0.45461665,1.38964101,0.96342755,0.00993174,0.53817099
-5.70585293,2.15648432,0.00144601,0.44570431,1.38229172,0.94994118,0.00983593,0.53715736
-5.69984992,2.12924024,0.00156201,0.43512221,1.37108530,0.93316598,0.00971938,0.53458870
-5.69384692,2.09628630,0.00168480,0.42317183,1.35694002,0.91363147,0.00959272,0.53077592
-5.68784392,2.05905847,0.00181407,0.41019794,1.34087814,0.89194481,0.00946743,0.52606375
-5.68184092,2.01910807,0.00194933,0.39657626,1.32399341,0.86876797,0.00935549,0.52082086
-5.67583792,1.97805122,0.00208988,0.38270057,1.30741707,0.84479411,0.00926908,0.51542971
-5.66983492,1.93751836,0.00223483,0.36896959,1.29228365,0.82072425,0.00922018,0.51027644
-5.66383192,1.89910593,0.00238307,0.35577433,1.27969784,0.79724500,0.00922020,0.50574126
-5.65782891,1.86433145,0.00253334,0.34348621,1.27070354,0.77500813,0.00927967,0.50218952
-5.65182591,1.83459364,0.00268419,0.33244624,1.26625600,0.75461258,0.00940786,0.49996361
-5.64582291,1.81113823,0.00283409,0.32295581,1.26719775,0.73658934,0.00961255,0.49937600
-5.63981991,1.79503039,0.00298138,0.31526903,1.27423893,0.72138945,0.00989972,0.50070340
-5.63381691,1.78713384,0.00312442,0.30958689,1.28794215,0.70937535,0.01027343,0.50418197
-5.62781391,1.78809675,0.00326157,0.30605338,1.30871198,0.70081537,0.01073558,0.51000372
-5.62181091,1.79834410,0.00339127,0.30475336,1.33678899,0.69588138,0.01128594,0.51831382
-5.61580790,1.81807606,0.00351209,0.30571233,1.37224785,0.69464917,0.01192205,0.52920882
-5.60980490,1.84727162,0.00362280,0.30889776,1.41499930,0.69710141,0.01263932,0.54273560
-5.60380190,1.88569681,0.00372240,0.31422205,1.46479522,0.70313264,0.01343115,0.55889091
-5.59779890,1.93291665,0.00381016,0.32154672,1.52123642,0.71255603,0.01428905,0.57762142
-5.59179590,1.98831015,0.00388565,0.33068774,1.58378258,0.72511137,0.01520294,0.59882419
-5.58579290,2.05108751,0.00394873,0.34142170,1.65176383,0.74047418,0.01616134,0.62234740
-5.57978989,2.12030901,0.00399958,0.35349270,1.72439354,0.75826528,0.01715174,0.64799158
-5.57378689,2.19490507,0.00403869,0.36661960,1.80078200,0.77806084,0.01816091,0.67551104
-5.56778389,2.27369705,0.00406677,0.38050349,1.87995086,0.79940255,0.01917519,0.70461593
-5.56178089,2.35541852,0.00408480,0.39483523,1.96084801,0.82180773,0.02018093,0.73497466
-5.55577789,2.43873695,0.00409390,0.40930269,2.04236311,0.84477931,0.02116470,0.76621714
-5.54977489,2.52227552,0.00409531,0.42359781,2.12334353,0.86781547,0.02211369,0.79793876
-5.54377189,2.60463528,0.00409035,0.43742295,2.20261104,0.89041908,0.02301591,0.82970523
-5.53776888,2.68441737,0.00408029,0.45049686,2.27897914,0.91210657,0.02386047,0.86105855
-5.53176588,2.76024557,0.00406638,0.46255967,2.35127119,0.93241648,0.02463770,0.89152391
-5.52576288,2.83078887,0.00404974,0.47337732,2.41833931,0.95091749,0.02533932,0.92061776
-5.51975988,2.89478413,0.00403132,0.48274498,2.47908401,0.96721579,0.02595848,0.94785685
-5.51375688,2.95105852,0.00401194,0.49048968,2.53247445,0.98096196,0.02648982,0.97276818
-5.50775388,2.99855158,0.00399218,0.49647209,2.57756895,0.99185707,0.02692940,0.99489961
-5.50175088,3.03633644,0.00397246,0.50058745,2.61353542,0.99965796,0.02727466,1.01383090
-5.49574787,3.06363976,0.00395304,0.50276572,2.63967130,1.00418169,0.02752433,1.02918495
-5.48974487,3.07985999,0.00393402,0.50297117,2.65542232,1.00530892,0.02767832,1.04063861
-5.48374187,3.08458312,0.00391539,0.50120115,2.66039945,1.00298631,0.02773758,1.04793296
-5.47773887,3.07759566,0.00389713,0.49748458,2.65439343,0.99722765,0.02770398,1.05088243
-5.47173587,3.05889391,0.00387916,0.49187990,2.63738608,0.98811372,0.02758023,1.04938240
-5.46573287,3.02868917,0.00386149,0.48447273,2.60955781,0.97579093,0.02736973,1.04341493
-5.45972986,2.98740835,0.00384421,0.47537335,2.57129074,0.96046846,0.02707652,1.03305224
