energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,1.15025425,0.01499916,0.00635941,0.32694045,0.06212564,0.54455655,0.27524678,0.00024481,0.83341643
-5.99399700,1.17746945,0.01480598,0.00702527,0.32622955,0.06633357,0.54991926,0.28537234,0.00025080,0.85145763
-5.98799400,1.20489440,0.01452993,0.00777119,0.32411360,0.07099170,0.55397190,0.29624559,0.00026088,0.86931115
-5.98199100,1.23347539,0.01417617,0.00860401,0.32078775,0.07617445,0.55710264,0.30810708,0.00027536,0.88765834
-5.97598799,1.26428317,0.01375200,0.00953037,0.31649072,0.08195901,0.55976540,0.32122387,0.00029468,0.90727269
-5.96998499,1.29847908,0.01326656,0.01055638,0.31149698,0.08842289,0.56246574,0.33588086,0.00031942,0.92899588
-5.96398199,1.33727655,0.01273043,0.01168734,0.30610751,0.09564111,0.56574446,0.35237118,0.00035025,0.95371036
-5.95797899,1.38189890,0.01215520,0.01292741,0.30063970,0.10368318,0.57015956,0.37098577,0.00038795,0.98230928
-5.95197599,1.43353504,0.01155308,0.01427934,0.29541665,0.11261009,0.57626713,0.39200251,0.00043338,1.01566476
-5.94597299,1.49329462,0.01093644,0.01574413,0.29075627,0.12247110,0.58460185,0.41567535,0.00048744,1.05459571
-5.93996998,1.56216404,0.01031739,0.01732085,0.28696070,0.13330083,0.59565782,0.44222379,0.00055110,1.09983621
-5.93396698,1.64096513,0.00970744,0.01900633,0.28430635,0.14511642,0.60987047,0.47182290,0.00062535,1.15200562
-5.92796398,1.73031773,0.00911714,0.02079505,0.28303492,0.15791514,0.62760008,0.50459447,0.00071116,1.21158154
-5.92196098,1.83060762,0.00855581,0.02267898,0.28334578,0.17167235,0.64911754,0.54059940,0.00080952,1.27887639
-5.91595798,1.94196109,0.00803135,0.02464753,0.28538997,0.18634010,0.67459292,0.57983158,0.00092136,1.35401876
-5.90995498,2.06422673,0.00755006,0.02668758,0.28926580,0.20184632,0.70408706,0.62221356,0.00104759,1.43693981
-5.90395198,2.19696558,0.00711665,0.02878357,0.29501655,0.21809469,0.73754672,0.66759403,0.00118902,1.52736561
-5.89794897,2.33944955,0.00673414,0.03091768,0.30262983,0.23496534,0.77480322,0.71574724,0.00134641,1.62481544
-5.89194597,2.49066866,0.00640401,0.03307003,0.31203901,0.25231628,0.81557466,0.76637433,0.00152041,1.72860623
-5.88594297,2.64934659,0.00612627,0.03521909,0.32312625,0.26998552,0.85947182,0.81910656,0.00171159,1.83786310
-5.87993997,2.81396427,0.00589962,0.03734200,0.33572724,0.28779403,0.90600720,0.87351031,0.00192041,1.95153561
-5.87393697,2.98279073,0.00572168,0.03941506,0.34963725,0.30554928,0.95460727,0.92909373,0.00214725,2.06841925
-5.86793397,3.15392025,0.00558918,0.04141421,0.36461826,0.32304933,1.00462714,0.98531482,0.00239237,2.18718150
-5.86193097,3.32531471,0.00549822,0.04331556,0.38040696,0.34008732,1.05536753,1.04159086,0.00265596,2.30639177
-5.85592796,3.49484974,0.00544449,0.04509594,0.39672323,0.35645634,1.10609309,1.09730872,0.00293812,2.42455405
-5.84992496,3.66036334,0.00542351,0.04673344,0.41327870,0.37195428,1.15605183,1.15183608,0.00323886,2.54014156
-5.84392196,3.81970540,0.00543084,0.04820789,0.42978527,0.38638872,1.20449467,1.20453312,0.00355814,2.65163208
-5.83791896,3.97078665,0.00546224,0.04950138,0.44596314,0.39958155,1.25069475,1.25476452,0.00389584,2.75754301
-5.83191596,4.11162557,0.00551386,0.05059863,0.46154804,0.41137323,1.29396562,1.30191145,0.00425179,2.85646511
