energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,S_s_up,S_p_up
-6.00000000,1.90067078,0.30053212,1.20716014,0.23884570,0.00000000,0.01058086,0.28464133
-5.99399700,1.83719248,0.28658883,1.17644983,0.22975523,0.00000000,0.00998666,0.27415742
-5.98799400,1.78454910,0.27488915,1.15396041,0.22239362,0.00000000,0.00942245,0.26297283
-5.98199100,1.74270171,0.26540847,1.13963602,0.21672464,0.00000000,0.00889007,0.25121080
-5.97598799,1.71152948,0.25810567,1.13335794,0.21269798,0.00000000,0.00839131,0.23900593
-5.96998499,1.69085320,0.25292789,1.13496190,0.21025356,0.00000000,0.00792792,0.22650101
-5.96398199,1.68045563,0.24981473,1.14425343,0.20932540,0.00000000,0.00750167,0.21384331
-5.95797899,1.68009795,0.24870158,1.16102065,0.20984488,0.00000000,0.00711439,0.20118076
-5.95197599,1.68953215,0.24952221,1.18504417,0.21174336,0.00000000,0.00676791,0.18865816
-5.94597299,1.70850905,0.25221043,1.21610400,0.21495410,0.00000000,0.00646409,0.17641344
-5.93996998,1.73678244,0.25670100,1.25398352,0.21941345,0.00000000,0.00620477,0.16457433
-5.93396698,1.77410958,0.26292982,1.29847079,0.22506138,0.00000000,0.00599174,0.15325548
-5.92796398,1.82024884,0.27083343,1.34935762,0.23184149,0.00000000,0.00582671,0.14255617
-5.92196098,1.87495523,0.28034818,1.40643692,0.23970043,0.00000000,0.00571128,0.13255865
-5.91595798,1.93797450,0.29140899,1.46949877,0.24858705,0.00000000,0.00564686,0.12332726
-5.90995498,2.00903680,0.30394798,1.53832602,0.25845122,0.00000000,0.00563472,0.11490818
-5.90395198,2.08785046,0.31789307,1.61268974,0.26924259,0.00000000,0.00567591,0.10733000
-5.89794897,2.17409655,0.33316673,1.69234504,0.28090929,0.00000000,0.00577128,0.10060471
-5.89194597,2.26742470,0.34968480,1.77702765,0.29339671,0.00000000,0.00592149,0.09472942
-5.88594297,2.36745035,0.36735570,1.86645148,0.30664648,0.00000000,0.00612698,0.08968833
-5.87993997,2.47375356,0.38607983,1.96030721,0.32059554,0.00000000,0.00638804,0.08545505
-5.87393697,2.58587935,0.40574936,2.05826186,0.33517558,0.00000000,0.00670476,0.08199508
-5.86793397,2.70333923,0.42624823,2.15995928,0.35031265,0.00000000,0.00707710,0.07926826
-5.86193097,2.82561363,0.44745249,2.26502130,0.36592701,0.00000000,0.00750483,0.07723113
-5.85592796,2.95215493,0.46923081,2.37304925,0.38193324,0.00000000,0.00798761,0.07583905
-5.84992496,3.08239051,0.49144526,2.48362550,0.39824053,0.00000000,0.00852490,0.07504805
-5.84392196,3.21572564,0.51395216,2.59631492,0.41475311,0.00000000,0.00911598,0.07481628
-5.83791896,3.35154576,0.53660310,2.71066590,0.43137089,0.00000000,0.00975989,0.07510504
-5.83191596,3.48921807,0.55924603,2.82621083,0.44799016,0.00000000,0.01045540,0.07587938
-5.82591296,3.62809230,0.58172648,2.94246597,0.46450442,0.00000000,0.01120090,0.07710831
-5.81990995,3.76750073,0.60388878,3.05893081,0.48080524,0.00000000,0.01199442,0.07876459
-5.81390695,3.90675770,0.62557744,3.17508702,0.49678328,0.00000000,0.01283344,0.08082423
-5.80790395,4.04515873,0.64663855,3.29039723,0.51232932,0.00000000,0.01371494,0.08326567
-5.80190095,4.18197984,0.66692126,3.40430384,0.52733531,0.00000000,0.01463524,0.08606885
-5.79589795,4.31647723,0.68627939,3.51622838,0.54169559,0.00000000,0.01558998,0.08921415
-5.78989495,4.44788793,0.70457299,3.62557157,0.55530797,0.00000000,0.01657412,0.09268133
-5.78389195,4.57543164,0.72167003,3.73171441,0.56807501,0.00000000,0.01758186,0.09644858
