energy_ev,total_up,Au_p_up,Au_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.98279969,0.26933202,0.45786060,0.29770201,0.00000000,0.02791518,0.02625447,0.01001499,0.37336676
-5.99399700,0.91913404,0.25183959,0.42094012,0.28023110,0.00000000,0.02724004,0.02451853,0.00967705,0.35305699
-5.98799400,0.85614192,0.23419833,0.38588236,0.26228547,0.00000000,0.02639702,0.02276244,0.00929672,0.33216234
-5.98199100,0.79429601,0.21661487,0.35278391,0.24411129,0.00000000,0.02540164,0.02100812,0.00888041,0.31093172
-5.97598799,0.73406411,0.19928798,0.32172568,0.22595092,0.00000000,0.02427243,0.01927653,0.00843547,0.28961918
-5.96998499,0.67590198,0.18240441,0.29277496,0.20803718,0.00000000,0.02303020,0.01758718,0.00796992,0.26847834
-5.96398199,0.62024627,0.16613561,0.26598715,0.19058850,0.00000000,0.02169739,0.01595776,0.00749226,0.24775706
-5.95797899,0.56750782,0.15063507,0.24140700,0.17380489,0.00000000,0.02029727,0.01440384,0.00701122,0.22769271
-5.95197599,0.51806547,0.13603654,0.21906936,0.15786496,0.00000000,0.01885324,0.01293868,0.00653553,0.20850796
-5.94597299,0.47226065,0.12245299,0.19899944,0.14292381,0.00000000,0.01738816,0.01157315,0.00607372,0.19040729
-5.93996998,0.43039268,0.10997624,0.18121274,0.12911180,0.00000000,0.01592371,0.01031572,0.00563391,0.17357420
-5.93396698,0.39271496,0.09867723,0.16571456,0.11653418,0.00000000,0.01447990,0.00917250,0.00522370,0.15816909
-5.92796398,0.35943207,0.08860675,0.15249934,0.10527133,0.00000000,0.01307459,0.00814741,0.00484996,0.14432788
-5.92196098,0.33069751,0.07979656,0.14154967,0.09537962,0.00000000,0.01172327,0.00724236,0.00451878,0.13216115
-5.91595798,0.30661238,0.07226075,0.13283528,0.08689260,0.00000000,0.01043877,0.00645740,0.00423533,0.12175374
-5.90995498,0.28722445,0.06599723,0.12631193,0.07982252,0.00000000,0.00923122,0.00579097,0.00400384,0.11316482
-5.90395198,0.27252794,0.06098922,0.12192031,0.07416190,0.00000000,0.00810807,0.00524012,0.00382752,0.10642815
-5.89794897,0.26246354,0.05720667,0.11958505,0.06988522,0.00000000,0.00707419,0.00480072,0.00370854,0.10155254
-5.89194597,0.25691891,0.05460759,0.11921387,0.06695047,0.00000000,0.00613203,0.00446763,0.00364804,0.09852240
-5.88594297,0.25572945,0.05313910,0.12069696,0.06530064,0.00000000,0.00528188,0.00423487,0.00364608,0.09729830
-5.87993997,0.25867937,0.05273847,0.12390664,0.06486500,0.00000000,0.00452214,0.00409577,0.00370168,0.09781763
-5.87393697,0.26550324,0.05333378,0.12869747,0.06556034,0.00000000,0.00384965,0.00404308,0.00381283,0.09999514
-5.86793397,0.27588795,0.05484463,0.13490674,0.06729199,0.00000000,0.00325996,0.00406906,0.00397649,0.10372371
-5.86193097,0.28947548,0.05718266,0.14235560,0.06995484,0.00000000,0.00274767,0.00416555,0.00418867,0.10887506
-5.85592796,0.30586634,0.06025212,0.15085067,0.07343434,0.00000000,0.00230671,0.00432403,0.00444445,0.11530089
-5.84992496,0.32462411,0.06395047,0.16018644,0.07760760,0.00000000,0.00193063,0.00453567,0.00473805,0.12283411
-5.84392196,0.34528113,0.06816917,0.17014826,0.08234455,0.00000000,0.00161281,0.00479141,0.00506293,0.13129068
-5.83791896,0.36734545,0.07279462,0.18051606,0.08750942,0.00000000,0.00134668,0.00508196,0.00541185,0.14047180
