energy_ev,total_up,Au_p_up,Au_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.73781919,0.08876430,1.22326983,0.12294151,0.38568041,0.00058524,0.02599861,0.00198682,0.18126954
-5.99399700,1.76045018,0.09114709,1.22941769,0.12488652,0.39917544,0.00059001,0.02648040,0.00194729,0.18659358
-5.98799400,1.77977001,0.09345544,1.23315516,0.12687076,0.41183326,0.00059664,0.02696644,0.00191195,0.19143278
-5.98199100,1.79587291,0.09570661,1.23456581,0.12897357,0.42362054,0.00060546,0.02746635,0.00188320,0.19577283
-5.97598799,1.80888261,0.09792154,1.23373090,0.13128148,0.43452813,0.00061671,0.02799045,0.00186342,0.19961317
-5.96998499,1.81894775,0.10012417,1.23072660,0.13388555,0.44457103,0.00063058,0.02854950,0.00185488,0.20296645
-5.96398199,1.82623696,0.10234041,1.22562221,0.13687826,0.45378733,0.00064712,0.02915438,0.00185971,0.20585745
-5.95797899,1.83093367,0.10459705,1.21847975,0.14035010,0.46223618,0.00066630,0.02981574,0.00187979,0.20832142
-5.95197599,1.83323068,0.10692041,1.20935450,0.14438581,0.46999464,0.00068796,0.03054353,0.00191673,0.21040209
-5.94597299,1.83332467,0.10933495,1.19829671,0.14906055,0.47715363,0.00071183,0.03134659,0.00197178,0.21214916
-5.93996998,1.83141059,0.11186180,1.18535403,0.15443599,0.48381308,0.00073754,0.03223207,0.00204578,0.21361560
-5.93396698,1.82767613,0.11451720,1.17057461,0.16055665,0.49007653,0.00076461,0.03320501,0.00213913,0.21485477
-5.92796398,1.82229641,0.11731115,1.15401054,0.16744654,0.49604536,0.00079249,0.03426778,0.00225172,0.21591749
-5.92196098,1.81542906,0.12024604,1.13572140,0.17510633,0.50181298,0.00082054,0.03541967,0.00238292,0.21684923
-5.91595798,1.80720994,0.12331561,1.11577761,0.18351117,0.50745937,0.00084811,0.03665648,0.00253158,0.21768747
-5.90995498,1.79774973,0.12650412,1.09426346,0.19260946,0.51304616,0.00087450,0.03797022,0.00269599,0.21845951
-5.90395198,1.78713163,0.12978590,1.07127958,0.20232252,0.51861270,0.00089904,0.03934897,0.00287394,0.21918064
-5.89794897,1.77541051,0.13312527,1.04694467,0.21254541,0.52417332,0.00092108,0.04077683,0.00306273,0.21985301
-5.89194597,1.76261375,0.13647698,1.02139660,0.22314883,0.52971607,0.00094004,0.04223407,0.00325924,0.22046506
-5.88594297,1.74874379,0.13978702,0.99479267,0.23398228,0.53520316,0.00095543,0.04369746,0.00345996,0.22099168
-5.87993997,1.73378278,0.14299402,0.96730917,0.24487827,0.54057299,0.00096686,0.04514077,0.00366114,0.22139509
-5.87393697,1.71769900,0.14603098,0.93914025,0.25565756,0.54574403,0.00097409,0.04653545,0.00385882,0.22162645
-5.86793397,1.70045522,0.14882752,0.91049633,0.26613521,0.55062019,0.00097699,0.04785143,0.00404901,0.22162810
-5.86193097,1.68201846,0.15131242,0.88160191,0.27612734,0.55509759,0.00097561,0.04905815,0.00422774,0.22133633
