energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.07833792,1.10717120,0.43303246,0.00059524,0.24264824,0.03376268,0.82902641,0.69246977,0.14067693
-5.99399700,2.08411143,1.10758995,0.43416922,0.00060809,0.24225974,0.03419641,0.83373039,0.69478052,0.14108613
-5.98799400,2.08122020,1.10338634,0.43370648,0.00061758,0.24080080,0.03440378,0.83474587,0.69388002,0.14095517
-5.98199100,2.06970336,1.09450090,0.43163558,0.00062374,0.23827938,0.03438309,0.83207973,0.68983879,0.14029233
-5.97598799,2.04988242,1.08101669,0.42800756,0.00062675,0.23473672,0.03413779,0.82585325,0.68282009,0.13912486
-5.96998499,2.02235771,1.06315995,0.42293321,0.00062697,0.23024718,0.03367648,0.81630044,0.67307639,0.13749851
-5.96398199,1.98799295,1.04129479,0.41658042,0.00062487,0.22491690,0.03301256,0.80376153,0.66094216,0.13547627
-5.95797899,1.94788871,1.01591243,0.40916889,0.00062112,0.21888114,0.03216378,0.78867203,0.64682341,0.13313626
-5.95197599,1.90334585,0.98761533,0.40096264,0.00061656,0.21230064,0.03115168,0.77154768,0.63118430,0.13056901
-5.94597299,1.85582091,0.95709727,0.39226043,0.00061219,0.20535706,0.03000080,0.75296632,0.61453152,0.12787413
-5.93996998,1.80687531,0.92512023,0.38338473,0.00060916,0.19824769,0.02873788,0.73354719,0.59739714,0.12515665
-5.93396698,1.75812090,0.89248925,0.37466963,0.00060883,0.19117966,0.02739105,0.71392885,0.58032062,0.12252313
-5.92796398,1.71116414,0.86002642,0.36644839,0.00061270,0.18436398,0.02598887,0.69474673,0.56383091,0.12007771
-5.92196098,1.66755163,0.82854518,0.35904099,0.00062244,0.17800948,0.02455956,0.67661119,0.54842933,0.11791834
-5.91595798,1.62871906,0.79882589,0.35274244,0.00063985,0.17231697,0.02313016,0.66008724,0.53457398,0.11613330
-5.90995498,1.59594591,0.77159384,0.34781222,0.00066691,0.16747384,0.02172590,0.64567664,0.52266629,0.11479820
-5.90395198,1.57031745,0.74750017,0.34446531,0.00070571,0.16364911,0.02036956,0.63380320,0.51304022,0.11397354
-5.89794897,1.55269551,0.72710651,0.34286520,0.00075845,0.16098928,0.01908107,0.62480168,0.50595451,0.11370300
-5.89194597,1.54369879,0.71087353,0.34311909,0.00082744,0.15961493,0.01787721,0.61891078,0.50158812,0.11401239
-5.88594297,1.54369314,0.69915360,0.34527544,0.00091506,0.15961808,0.01677141,0.61627019,0.50003886,0.11490941
-5.87993997,1.55279153,0.69218740,0.34932382,0.00102371,0.16106059,0.01577378,0.61692175,0.50132520,0.11638411
-5.87393697,1.57086335,0.69010424,0.35519715,0.00115581,0.16397322,0.01489116,0.62081427,0.50539093,0.11841000
-5.86793397,1.59755185,0.69292567,0.36277594,0.00131372,0.16835571,0.01412732,0.62781169,0.51211218,0.12094576
-5.86193097,1.63229847,0.70057182,0.37189436,0.00149971,0.17417751,0.01348328,0.63770384,0.52130640,0.12393743
-5.85592796,1.67437249,0.71286990,0.38234778,0.00171589,0.18137926,0.01295760,0.65021924,0.53274276,0.12732089
-5.84992496,1.72290434,0.72956418,0.39390143,0.00196416,0.18987494,0.01254680,0.66503903,0.54615329,0.13102460
-5.84392196,1.77692069,0.75032700,0.40629958,0.00224615,0.19955449,0.01224572,0.68181138,0.56124410,0.13497231
-5.83791896,1.83537976,0.77477005,0.41927503,0.00256313,0.21028696,0.01204791,0.70016553,0.57770637,0.13908575
-5.83191596,1.89720522,0.80245573,0.43255833,0.00291598,0.22192394,0.01194602,0.71972496,0.59522633,0.14328708
-5.82591296,1.96131740,0.83290802,0.44588636,0.00330509,0.23430335,0.01193207,0.74011893,0.61349404,0.14750105
-5.81990995,2.02666069,0.86562281,0.45901008,0.00373040,0.24725333,0.01199781,0.76099217,0.63221062,0.15165674
-5.81390695,2.09222659,0.90007741,0.47170093,0.00419126,0.26059628,0.01213488,0.78201242,0.65109375,0.15568891
-5.80790395,2.15707179,0.93573934,0.48375602,0.00468650,0.27415287,0.01233504,0.80287563,0.66988146,0.15953890
-5.80190095,2.22033146,0.97207443,0.49500173,0.00521440,0.28774598,0.01259033,0.82330905,0.68833434,0.16315509
-5.79589795,2.28122787,1.00855424,0.50529585,0.00577270,0.30120447,0.01289311,0.84307226,0.70623623,0.16649295
-5.78989495,2.33907483,1.04466306,0.51452840,0.00635867,0.31436674,0.01323621,0.86195661,0.72339381,0.16951485
-5.78389195,2.39327878,1.07990459,0.52262098,0.00696916,0.32708390,0.01361291,0.87978328,0.73963539,0.17218953
-5.77788894,2.44333708,1.11380827,0.52952524,0.00760067,0.33922261,0.01401703,0.89640059,0.75480923,0.17449147
-5.77188594,2.48883461,1.14593555,0.53522031,0.00824948,0.35066738,0.01444291,0.91168087,0.76878170,0.17640022
-5.76588294,2.52943924,1.17588583,0.53970968,0.00891169,0.36132245,0.01488545,0.92551731,0.78143571,0.17789967
-5.75987994,2.56489693,1.20330219,0.54301774,0.00958337,0.37111298,0.01534009,0.93782125,0.79266960,0.17897751
-5.75387694,2.59502704,1.22787663,0.54518608,0.01026062,0.37998572,0.01580286,0.94851993,0.80239655,0.17962472
-5.74787394,2.61971809,1.24935477,0.54626993,0.01093968,0.38790903,0.01627034,0.95755511,0.81054480,0.17983537
-5.74187094,2.63892422,1.26753957,0.54633474,0.01161699,0.39487230,0.01673969,0.96488239,0.81705853,0.17960645
-5.73586793,2.65266223,1.28229404,0.54545319,0.01228921,0.40088478,0.01720861,0.97047127,0.82189924,0.17893801
-5.72986493,2.66100905,1.29354266,0.54370252,0.01295323,0.40597384,0.01767528,0.97430576,0.82504763,0.17783334
-5.72386193,2.66409930,1.30127119,0.54116235,0.01360619,0.41018280,0.01813836,0.97638534,0.82650560,0.17629934
-5.71785893,2.66212266,1.30552497,0.53791286,0.01424537,0.41356830,0.01859682,0.97672602,0.82629820,0.17434679
-5.71185593,2.65532057,1.30640563,0.53403343,0.01486820,0.41619747,0.01904992,0.97536120,0.82447520,0.17199076
-5.70585293,2.64398209,1.30406610,0.52960152,0.01547206,0.41814483,0.01949697,0.97234214,0.82111212,0.16925081
-5.69984992,2.62843851,1.29870441,0.52469184,0.01605428,0.41948918,0.01993727,0.96773792,0.81631049,0.16615119
-5.69384692,2.60905695,1.29055627,0.51937567,0.01661194,0.42031056,0.02036987,0.96163466,0.81019722,0.16272075
-5.68784392,2.58623264,1.27988697,0.51372036,0.01714183,0.42068737,0.02079342,0.95413399,0.80292299,0.15899276
-5.68184092,2.56038045,1.26698279,0.50778878,0.01764031,0.42069379,0.02120602,0.94535097,0.79465974,0.15500453
-5.67583792,2.53192577,1.25214263,0.50163898,0.01810332,0.42039760,0.02160506,0.93541138,0.78559732,0.15079684
-5.66983492,2.50129532,1.23566993,0.49532376,0.01852627,0.41985848,0.02198713,0.92444870,0.77593937,0.14641324
-5.66383192,2.46890836,1.21786560,0.48889037,0.01890416,0.41912676,0.02234795,0.91260094,0.76589883,0.14189922
-5.65782891,2.43516866,1.19902197,0.48238028,0.01923158,0.41824284,0.02268237,0.90000758,0.75569296,0.13730133
-5.65182591,2.40045791,1.17941817,0.47582904,0.01950283,0.41723698,0.02298446,0.88680682,0.74553853,0.13266629
-5.64582291,2.36513066,1.15931695,0.46926628,0.01971214,0.41612979,0.02324762,0.87313329,0.73564691,0.12804008
-5.63981991,2.32951105,1.13896295,0.46271593,0.01985382,0.41493298,0.02346476,0.85911644,0.72621969,0.12346715
-5.63381691,2.29389156,1.11858230,0.45619654,0.01992251,0.41365066,0.02362857,0.84487953,0.71744465,0.11898970
-5.62781391,2.25853330,1.09838328,0.44972185,0.01991341,0.41228077,0.02373184,0.83053923,0.70949232,0.11464703
-5.62181091,2.22366792,1.07855779,0.44330147,0.01982255,0.41081677,0.02376773,0.81620590,0.70251316,0.11047509
-5.61580790,2.18950052,1.05928320,0.43694174,0.01964703,0.40924929,0.02373016,0.80198408,0.69663538,0.10650608
-5.60980490,2.15621314,1.04072425,0.43064664,0.01938520,0.40756781,0.02361414,0.78797332,0.69196324,0.10276820
-5.60380190,2.12396833,1.02303455,0.42441875,0.01903685,0.40576205,0.02341603,0.77426886,0.68857597,0.09928549
-5.59779890,2.09291223,1.00635744,0.41826019,0.01860335,0.40382317,0.02313384,0.76096218,0.68652703,0.09607770
-5.59179590,2.06317678,0.99082590,0.41217346,0.01808765,0.40174459,0.02276742,0.74814101,0.68584379,0.09316025
-5.58579290,2.03488064,0.97656130,0.40616218,0.01749434,0.39952241,0.02231853,0.73588884,0.68652739,0.09054421
-5.57978989,2.00812865,0.96367105,0.40023160,0.01682952,0.39715546,0.02179094,0.72428365,0.68855289,0.08823628
-5.57378689,1.98300983,0.95224517,0.39438900,0.01610073,0.39464491,0.02119031,0.71339611,0.69186961,0.08623878
-5.56778389,1.95959389,0.94235195,0.38864375,0.01531669,0.39199354,0.02052407,0.70328706,0.69640158,0.08454966
-5.56178089,1.93792677,0.93403299,0.38300733,0.01448710,0.38920472,0.01980117,0.69400460,0.70204836,0.08316247
-5.55577789,1.91802533,0.92729801,0.37749304,0.01362240,0.38628122,0.01903182,0.68558084,0.70868595,0.08206641
-5.54977489,1.89987204,0.92211992,0.37211566,0.01273339,0.38322386,0.01822709,0.67802879,0.71616823,0.08124635
-5.54377189,1.88340993,0.91843046,0.36689099,0.01183102,0.38003022,0.01739858,0.67133941,0.72432870,0.08068301
-5.53776888,1.86853870,0.91611699,0.36183533,0.01092605,0.37669349,0.01655798,0.66547930,0.73298275,0.08035306
-5.53176588,1.85511228,0.91502079,0.35696507,0.01002876,0.37320156,0.01571672,0.66038928,0.74193056,0.08022950
-5.52576288,1.84293849,0.91493722,0.35229624,0.00914876,0.36953640,0.01488557,0.65598398,0.75096052,0.08028200
-5.51975988,1.83178117,0.91561791,0.34784427,0.00829472,0.36567395,0.01407435,0.65215276,0.75985328,0.08047745
-5.51375688,1.82136477,0.91677518,0.34362385,0.00747425,0.36158439,0.01329166,0.64876198,0.76838637,0.08078062
-5.50775388,1.81138175,0.91808866,0.33964893,0.00669381,0.35723292,0.01254470,0.64565862,0.77633929,0.08115490
-5.50175088,1.80150230,0.91921384,0.33593297,0.00595858,0.35258107,0.01183913,0.64267524,0.78349894,0.08156319
-5.49574787,1.79138627,0.91979249,0.33248921,0.00527250,0.34758831,0.01117902,0.63963608,0.78966528,0.08196886
-5.48974487,1.78069679,0.91946429,0.32933123,0.00463832,0.34221418,0.01056691,0.63636401,0.79465689,0.08233671
-5.48374187,1.76911480,0.91787936,0.32647338,0.00405759,0.33642055,0.01000389,0.63268816,0.79831639,0.08263402
-5.47773887,1.75635402,0.91471107,0.32393144,0.00353086,0.33017408,0.00948972,0.62845169,0.80051535,0.08283151
-5.47173587,1.74217539,0.90966846,0.32172316,0.00305771,0.32344867,0.00902305,0.62351956,0.80115846,0.08290425
