energy_ev,total_up,Ge_p_up,Ge_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,1.65645580,0.13756627,0.00000000,0.59975607,0.35891473,1.02618398,0.00000000
-5.99399700,1.72084971,0.14647713,0.00000000,0.62755614,0.37377805,1.06357867,0.00000000
-5.98799400,1.78809779,0.15630126,0.00000000,0.65490187,0.38982051,1.10200513,0.00000000
-5.98199100,1.85730007,0.16702451,0.00000000,0.68140347,0.40687167,1.14079630,0.00000000
-5.97598799,1.92746398,0.17862263,0.00000000,0.70666128,0.42473224,1.17922618,0.00000000
-5.96998499,1.99753447,0.19106166,0.00000000,0.73027681,0.44317971,1.21653204,0.00000000
-5.96398199,2.06642591,0.20429825,0.00000000,0.75186407,0.46197451,1.25193832,0.00000000
-5.95797899,2.13305441,0.21827985,0.00000000,0.77106097,0.48086640,1.28468117,0.00000000
-5.95197599,2.19636940,0.23294469,0.00000000,0.78754020,0.49960081,1.31403292,0.00000000
-5.94597299,2.25538314,0.24822161,0.00000000,0.80101927,0.51792500,1.33932531,0.00000000
-5.93996998,2.30919729,0.26402976,0.00000000,0.81126929,0.53559378,1.35997079,0.00000000
-5.93396698,2.35702537,0.28027813,0.00000000,0.81812212,0.55237457,1.37548100,0.00000000
-5.92796398,2.39821056,0.29686517,0.00000000,0.82147563,0.56805179,1.38548166,0.00000000
-5.92196098,2.43223825,0.31367842,0.00000000,0.82129680,0.58243036,1.38972342,0.00000000
-5.91595798,2.45874309,0.33059428,0.00000000,0.81762267,0.59533838,1.38808825,0.00000000
-5.90995498,2.47751059,0.34747815,0.00000000,0.81055885,0.60662891,1.38059110,0.00000000
-5.90395198,2.48847337,0.36418490,0.00000000,0.80027592,0.61618090,1.36737690,0.00000000
-5.89794897,2.49170264,0.38055976,0.00000000,0.78700364,0.62389938,1.34871302,0.00000000
-5.89194597,2.48739551,0.39643983,0.00000000,0.77102340,0.62971496,1.32497764,0.00000000
-5.88594297,2.47585886,0.41165599,0.00000000,0.75265900,0.63358285,1.29664460,0.00000000
-5.87993997,2.45749077,0.42603551,0.00000000,0.73226637,0.63548136,1.26426528,0.00000000
-5.87393697,2.43276041,0.43940503,0.00000000,0.71022242,0.63541021,1.22844848,0.00000000
-5.86793397,2.40218731,0.45159397,0.00000000,0.68691362,0.63338863,1.18983910,0.00000000
-5.86193097,2.36632101,0.46243830,0.00000000,0.66272463,0.62945343,1.14909654,0.00000000
-5.85592796,2.32572181,0.47178433,0.00000000,0.63802745,0.62365708,1.10687360,0.00000000
-5.84992496,2.28094343,0.47949264,0.00000000,0.61317148,0.61606589,1.06379685,0.00000000
-5.84392196,2.23251801,0.48544168,0.00000000,0.58847481,0.60675833,1.02044915,0.00000000
-5.83791896,2.18094397,0.48953114,0.00000000,0.56421702,0.59582353,0.97735477,0.00000000
-5.83191596,2.12667687,0.49168471,0.00000000,0.54063365,0.58335982,0.93496780,0.00000000
-5.82591296,2.07012341,0.49185232,0.00000000,0.51791254,0.56947359,0.89366396,0.00000000
-5.81990995,2.01163846,0.49001152,0.00000000,0.49619205,0.55427805,0.85373596,0.00000000
-5.81390695,1.95152499,0.48616823,0.00000000,0.47556111,0.53789222,0.81539251,0.00000000
-5.80790395,1.89003646,0.48035651,0.00000000,0.45606105,0.52043989,0.77876055,0.00000000
-5.80190095,1.82738158,0.47263768,0.00000000,0.43768904,0.50204863,0.74389062,0.00000000
-5.79589795,1.76373066,0.46309869,0.00000000,0.42040290,0.48284877,0.71076475,0.00000000
-5.78989495,1.69922347,0.45184982,0.00000000,0.40412712,0.46297246,0.67930653,0.00000000
-5.78389195,1.63397782,0.43902192,0.00000000,0.38875968,0.44255268,0.64939264,0.00000000
-5.77788894,1.56809870,0.42476324,0.00000000,0.37417951,0.42172227,0.62086535,0.00000000
-5.77188594,1.50168730,0.40923608,0.00000000,0.36025420,0.40061302,0.59354542,0.00000000
-5.76588294,1.43484977,0.39261326,0.00000000,0.34684772,0.37935487,0.56724473,0.00000000
-5.75987994,1.36770516,0.37507470,0.00000000,0.33382779,0.35807506,0.54177829,0.00000000
-5.75387694,1.30039238,0.35680413,0.00000000,0.32107282,0.33689757,0.51697509,0.00000000
-5.74787394,1.23307587,0.33798595,0.00000000,0.30847798,0.31594252,0.49268750,0.00000000
-5.74187094,1.16594989,0.31880246,0.00000000,0.29596041,0.29532579,0.46879892,0.00000000
-5.73586793,1.09924127,0.29943144,0.00000000,0.28346338,0.27515875,0.44522956,0.00000000
-5.72986493,1.03321048,0.28004397,0.00000000,0.27095925,0.25554804,0.42194025,0.00000000
-5.72386193,0.96815130,0.26080274,0.00000000,0.25845132,0.23659561,0.39893434,0.00000000
-5.71785893,0.90438881,0.24186059,0.00000000,0.24597446,0.21839864,0.37625774,0.00000000
-5.71185593,0.84227615,0.22335939,0.00000000,0.23359466,0.20104968,0.35399728,0.00000000
-5.70585293,0.78218999,0.20542926,0.00000000,0.22140752,0.18463675,0.33227764,0.00000000
-5.69984992,0.72452500,0.18818793,0.00000000,0.20953582,0.16924337,0.31125703,0.00000000
-5.69384692,0.66968748,0.17174038,0.00000000,0.19812625,0.15494870,0.29112187,0.00000000
-5.68784392,0.61808841,0.15617866,0.00000000,0.18734552,0.14182743,0.27208086,0.00000000
-5.68184092,0.57013602,0.14158177,0.00000000,0.17737585,0.12994970,0.25435844,0.00000000
-5.67583792,0.52622816,0.12801581,0.00000000,0.16841011,0.11938081,0.23818807,0.00000000
-5.66983492,0.48674450,0.11553407,0.00000000,0.16064662,0.11018074,0.22380538,0.00000000
-5.66383192,0.45203877,0.10417727,0.00000000,0.15428371,0.10240355,0.21144137,0.00000000
-5.65782891,0.42243099,0.09397390,0.00000000,0.14951416,0.09609652,0.20131577,0.00000000
-5.65182591,0.39819988,0.08494048,0.00000000,0.14651966,0.09129903,0.19363056,0.00000000
-5.64582291,0.37957539,0.07708194,0.00000000,0.14546517,0.08804126,0.18856384,0.00000000
-5.63981991,0.36673139,0.07039198,0.00000000,0.14649341,0.08634267,0.18626392,0.00000000
-5.63381691,0.35977861,0.06485343,0.00000000,0.14971951,0.08621030,0.18684378,0.00000000
-5.62781391,0.35875796,0.06043856,0.00000000,0.15522586,0.08763685,0.19037590,0.00000000
-5.62181091,0.36363422,0.05710946,0.00000000,0.16305734,0.09059885,0.19688759,0.00000000
-5.61580790,0.37429051,0.05481835,0.00000000,0.17321700,0.09505469,0.20635682,0.00000000
-5.60980490,0.39052355,0.05350793,0.00000000,0.18566241,0.10094285,0.21870883,0.00000000
-5.60380190,0.41204022,0.05311176,0.00000000,0.20030278,0.10818043,0.23381356,0.00000000
-5.59779890,0.43845572,0.05355471,0.00000000,0.21699717,0.11666193,0.25148417,0.00000000
-5.59179590,0.46929363,0.05475345,0.00000000,0.23555383,0.12625874,0.27147687,0.00000000
-5.58579290,0.50398834,0.05661714,0.00000000,0.25573100,0.13681907,0.29349219,0.00000000
-5.57978989,0.54189013,0.05904821,0.00000000,0.27723934,0.14816887,0.31717798,0.00000000
-5.57378689,0.58227323,0.06194337,0.00000000,0.29974592,0.16011345,0.34213422,0.00000000
-5.56778389,0.62434687,0.06519484,0.00000000,0.32288015,0.17244008,0.36791971,0.00000000
-5.56178089,0.66726956,0.06869177,0.00000000,0.34624130,0.18492156,0.39406069,0.00000000
-5.55577789,0.71016622,0.07232189,0.00000000,0.36940779,0.19732060,0.42006124,0.00000000
-5.54977489,0.75214799,0.07597340,0.00000000,0.39194784,0.20939508,0.44541528,0.00000000
-5.54377189,0.79233418,0.07953697,0.00000000,0.41343139,0.22090390,0.46961987,0.00000000
-5.53776888,0.82987561,0.08290789,0.00000000,0.43344269,0.23161334,0.49218931,0.00000000
-5.53176588,0.86397857,0.08598829,0.00000000,0.45159331,0.24130364,0.51266970,0.00000000
-5.52576288,0.89392857,0.08868925,0.00000000,0.46753496,0.24977550,0.53065323,0.00000000
-5.51975988,0.91911258,0.09093286,0.00000000,0.48097153,0.25685630,0.54579166,0.00000000
-5.51375688,0.93903918,0.09265409,0.00000000,0.49166999,0.26240564,0.55780852,0.00000000
-5.50775388,0.95335524,0.09380227,0.00000000,0.49946948,0.26632009,0.56650916,0.00000000
-5.50175088,0.96185864,0.09434230,0.00000000,0.50428814,0.26853669,0.57178848,0.00000000
-5.49574787,0.96450609,0.09425538,0.00000000,0.50612750,0.26903528,0.57363566,0.00000000
-5.48974487,0.96141580,0.09353928,0.00000000,0.50507396,0.26783922,0.57213584,0.00000000
-5.48374187,0.95286454,0.09220811,0.00000000,0.50129733,0.26501475,0.56746837,0.00000000
-5.47773887,0.93927935,0.09029157,0.00000000,0.49504651,0.26066878,0.55990182,0.00000000
-5.47173587,0.92122391,0.08783380,0.00000000,0.48664228,0.25494521,0.54978589,0.00000000
-5.46573287,0.89938037,0.08489171,0.00000000,0.47646761,0.24802011,0.53754041,0.00000000
-5.45972986,0.87452712,0.08153305,0.00000000,0.46495583,0.24009574,0.52364194,0.00000000
-5.45372686,0.84751353,0.07783415,0.00000000,0.45257710,0.23139380,0.50860856,0.00000000
-5.44772386,0.81923264,0.07387750,0.00000000,0.43982368,0.22214819,0.49298332,0.00000000
