energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.01072053,-1.93048052,1.73560657,-1.08104519,0.97259676,-0.66188077,0.00918549,-0.00450452,0.86170028,-0.67084433,0.19212603,-0.08754083,0.04418181,-0.00529355,0.87861208,-0.50409929
-5.99399700,3.02494342,-2.04659817,1.74361636,-1.15335379,0.98477460,-0.69241674,0.00877642,-0.00467482,0.87039401,-0.70285537,0.18990595,-0.09088232,0.04451388,-0.00598571,0.87634273,-0.54528905
-5.98799400,3.02567843,-2.16086535,1.74169103,-1.22605281,0.99282013,-0.72075224,0.00835622,-0.00488051,0.87407738,-0.73329263,0.18722095,-0.09455088,0.04463235,-0.00675346,0.87112739,-0.58721546
-5.98199100,3.01315848,-2.27206978,1.72993270,-1.29850795,0.99668193,-0.74652181,0.00792829,-0.00511782,0.87268659,-0.76184715,0.18412943,-0.09846643,0.04454523,-0.00759715,0.86319368,-0.62944446
-5.97598799,2.98789411,-2.37905297,1.70864141,-1.37007785,0.99639873,-0.76941711,0.00749607,-0.00538230,0.86625956,-0.78825330,0.18070184,-0.10254783,0.04426424,-0.00851630,0.85282965,-0.67152297
-5.96998499,2.95065335,-2.48072793,1.67830312,-1.44011768,0.99209572,-0.78919332,0.00706305,-0.00566889,0.85493293,-0.81229107,0.17701907,-0.10671496,0.04380423,-0.00950958,0.84037451,-0.71298702
-5.96398199,2.90243387,-2.57609444,1.63957242,-1.50798283,0.98397833,-0.80567336,0.00663275,-0.00597207,0.83893634,-0.83378664,0.17317041,-0.11089085,0.04318260,-0.01057471,0.82620761,-0.75337046
-5.95797899,2.84442868,-2.66425177,1.59325051,-1.57303268,0.97232394,-0.81875001,0.00620867,-0.00628591,0.81858415,-0.85261154,0.16925106,-0.11500353,0.04241859,-0.01170849,0.81073618,-0.79221386
-5.95197599,2.77798681,-2.74440850,1.54025956,-1.63463508,0.95747163,-0.82838571,0.00579426,-0.00660424,0.79426494,-0.86868036,0.16535933,-0.11898763,0.04153259,-0.01290674,0.79438238,-0.82907331
-5.94597299,2.70457039,-2.81588970,1.48161432,-1.69217143,0.93981047,-0.83461025,0.00539290,-0.00692071,0.76642926,-0.88194756,0.16159358,-0.12278576,0.04054549,-0.01416433,0.77757011,-0.86352897
-5.93996998,2.62570998,-2.87814130,1.41839207,-1.74504285,0.91976675,-0.83751644,0.00500780,-0.00722899,0.73557599,-0.89240349,0.15804915,-0.12634937,0.03947802,-0.01547517,0.76071220,-0.89519280
-5.93396698,2.54295961,-2.93073207,1.35170216,-1.79267742,0.89779060,-0.83725406,0.00464201,-0.00752280,0.70223799,-0.90007005,0.15481521,-0.12963931,0.03835026,-0.01683221,0.74419839,-0.92371563
-5.92796398,2.45785336,-2.97335337,1.28265603,-1.83453870,0.87434247,-0.83402243,0.00429829,-0.00779612,0.66696731,-0.90499632,0.15197181,-0.13262594,0.03718110,-0.01822752,0.72838457,-0.94879301
