energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Se_s_up,Se_p_up
-4.67333667,2.45225430,0.10140315,0.31028548,1.19185324,0.44180032,0.14048407,0.06577238,0.80456348
-4.66733367,2.41900710,0.10358366,0.30375806,1.16454857,0.43572951,0.13445135,0.06476085,0.79376334
-4.66133067,2.38809255,0.10646831,0.29675545,1.13552123,0.43031256,0.12805582,0.06422124,0.78388508
-4.65532766,2.36189541,0.11016990,0.28954348,1.10591048,0.42594683,0.12143035,0.06423071,0.77578881
-4.64932466,2.34269125,0.11478891,0.28238142,1.07684514,0.42299920,0.11470629,0.06485699,0.77030999
-4.64332166,2.33256759,0.12040987,0.27551192,1.04940688,0.42179152,0.10800953,0.06615651,0.76823419
-4.63731866,2.33335202,0.12709829,0.26915173,1.02459622,0.42258776,0.10145698,0.06817298,0.77027392
-4.63131566,2.34655046,0.13489800,0.26348363,1.00330254,0.42558312,0.09515347,0.07093623,0.77704844
-4.62531266,2.37329763,0.14382931,0.25864978,0.98627926,0.43089579,0.08918934,0.07446140,0.78906708
-4.61930965,2.41432184,0.15388781,0.25474689,0.97412494,0.43856154,0.08363862,0.07874863,0.80671676
-4.61330665,2.46992512,0.16504411,0.25182331,0.96727109,0.44853145,0.07855794,0.08378302,0.83025393
-4.60730365,2.53997934,0.17724430,0.24987823,0.96597663,0.46067286,0.07398612,0.08953507,0.85980109
-4.60130065,2.62393814,0.19041134,0.24886287,0.97032905,0.47477352,0.06994441,0.09596141,0.89534775
-4.59529765,2.72086383,0.20444715,0.24868368,0.98025185,0.49054878,0.06643743,0.10300598,0.93675570
-4.58929465,2.82946762,0.21923544,0.24920735,0.99551753,0.50765154,0.06345455,0.11060139,0.98376774
-4.58329165,2.94816114,0.23464502,0.25026736,1.01576517,0.52568452,0.06097184,0.11867069,1.03601968
-4.57728864,3.07511659,0.25053354,0.25167169,1.04052151,0.54421435,0.05895424,0.12712917,1.09305443
-4.57128564,3.20833256,0.26675141,0.25321150,1.06922439,0.56278686,0.05735813,0.13588643,1.15433759
-4.56528264,3.34570230,0.28314571,0.25467016,1.10124711,0.58094286,0.05613389,0.14484844,1.21927358
-4.55927964,3.48508125,0.29956392,0.25583239,1.13592258,0.59823390,0.05522853,0.15391956,1.28722144
-4.55327664,3.62435087,0.31585728,0.25649308,1.17256617,0.61423707,0.05458823,0.16300453,1.35750955
-4.54727364,3.76147583,0.33188356,0.25646528,1.21049615,0.62856848,0.05416066,0.17201021,1.42944876
-4.54127064,3.89455246,0.34750925,0.25558727,1.24905095,0.64089463,0.05389701,0.18084718,1.50234325
-4.53526763,4.02184670,0.36261095,0.25372818,1.28760285,0.65094143,0.05375373,0.18943099,1.57549898
-4.52926463,4.14182056,0.37707603,0.25079226,1.32556768,0.65850041,0.05369376,0.19768318,1.64822968
-4.52326163,4.25314677,0.39080253,0.24672134,1.36241051,0.66343201,0.05368744,0.20553191,1.71986048
