energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,4.67342477,0.76561041,2.52179005,0.00215251,0.77679290,0.04841156,0.34650235,1.93974077,0.73711907
-5.99399700,4.56429691,0.74141254,2.46647595,0.00194192,0.76352955,0.04669134,0.33350562,1.91948198,0.71825064
-5.98799400,4.44291044,0.71680500,2.40507130,0.00174350,0.74732283,0.04484468,0.31991977,1.89122083,0.69726358
-5.98199100,4.31005206,0.69175720,2.33787981,0.00155793,0.72833725,0.04288991,0.30584624,1.85521562,0.67433898
-5.97598799,4.16671554,0.66625767,2.26530685,0.00138559,0.70678617,0.04084727,0.29139485,1.81186245,0.64969350
-5.96998499,4.01408840,0.64031827,2.18785733,0.00122661,0.68292641,0.03873863,0.27668226,1.76168554,0.62357495
-5.96398199,3.85353338,0.61397751,2.10613059,0.00108095,0.65705190,0.03658710,0.26183012,1.70532446,0.59625704
-5.95797899,3.68656510,0.58730267,2.02081258,0.00094833,0.62948660,0.03441667,0.24696333,1.64351885,0.56803357
-5.95197599,3.51482258,0.56039081,1.93266532,0.00082838,0.60057683,0.03225172,0.23220805,1.57709116,0.53921226
-5.94597299,3.34003852,0.53336845,1.84251406,0.00072056,0.57068340,0.03011657,0.21768982,1.50692797,0.51010837
-5.93996998,3.16400615,0.50639007,1.75123243,0.00062428,0.54017372,0.02803502,0.20353163,1.43396066,0.48103833
-5.93396698,2.98854470,0.47963546,1.65972607,0.00053884,0.50941415,0.02602988,0.18985206,1.35914574,0.45231349
-5.92796398,2.81546447,0.45330602,1.56891530,0.00046356,0.47876271,0.02412252,0.17676354,1.28344564,0.42423429
-5.92196098,2.64653238,0.42762018,1.47971726,0.00039769,0.44856240,0.02233247,0.16437069,1.20781026,0.39708480
-5.91595798,2.48343912,0.40280810,1.39302818,0.00034051,0.41913520,0.02067706,0.15276887,1.13315970,0.37112785
-5.90995498,2.32776840,0.37910588,1.30970621,0.00029132,0.39077688,0.01917110,0.14204288,1.06036853,0.34660084
-5.90395198,2.18096943,0.35674944,1.23055538,0.00024946,0.36375265,0.01782667,0.13226589,0.99025184,0.32371221
-5.89794897,2.04433283,0.33596838,1.15631110,0.00021428,0.33829376,0.01665291,0.12349861,0.92355322,0.30263870
-5.89194597,1.91897082,0.31697990,1.08762750,0.00018522,0.31459488,0.01565594,0.11578862,0.86093474,0.28352334
-5.88594297,1.80580168,0.29998302,1.02506708,0.00016174,0.29281255,0.01483883,0.10916999,0.80296914,0.26647425
-5.87993997,1.70553901,0.28515334,0.96909263,0.00014340,0.27306431,0.01420162,0.10366315,0.75013395,0.25156410
-5.87393697,1.61868553,0.27263834,0.92006177,0.00012977,0.25542876,0.01374142,0.09927486,0.70280772,0.23883040
-5.86793397,1.54553169,0.26255352,0.87822396,0.00012053,0.23994636,0.01345257,0.09599854,0.66126823,0.22827634
-5.86193097,1.48615850,0.25497925,0.84372000,0.00011536,0.22662090,0.01332686,0.09381465,0.62569249,0.21987238
-5.85592796,1.44044466,0.24995861,0.81658385,0.00011403,0.21542161,0.01335373,0.09269133,0.59615839,0.21355827
-5.84992496,1.40807726,0.24749603,0.79674652,0.00011632,0.20628584,0.01352060,0.09258514,0.57264799,0.20924562
-5.84392196,1.38856574,0.24755688,0.78404184,0.00012208,0.19912217,0.01381314,0.09344195,0.55505209,0.20682085
-5.83791896,1.38125847,0.25006800,0.77821367,0.00013115,0.19381390,0.01421564,0.09519784,0.54317601,0.20614847
-5.83191596,1.38536130,0.25491887,0.77892428,0.00014340,0.19022284,0.01471130,0.09778024,0.53674639,0.20707453
-5.82591296,1.39995764,0.26196376,0.78576356,0.00015872,0.18819328,0.01528261,0.10110895,0.53541877,0.20943027
-5.81990995,1.42402918,0.27102436,0.79825870,0.00017697,0.18755605,0.01591164,0.10509728,0.53878580,0.21303572
-5.81390695,1.45647702,0.28189315,0.81588399,0.00019801,0.18813258,0.01658042,0.10965320,0.54638594,0.21770330
