energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.42794865,0.40462752,0.94112506,0.01257599,0.00112322,0.00456436,1.07215362
-5.99399700,1.38125240,0.40015377,0.91387954,0.01130024,0.00103696,0.00395355,1.04368288
-5.98799400,1.34101468,0.39825268,0.88990067,0.01016839,0.00095801,0.00340198,1.01988561
-5.98199100,1.30810435,0.39927651,0.86977138,0.00918150,0.00088648,0.00290882,1.00148138
-5.97598799,1.28339470,0.40358197,0.85408679,0.00833900,0.00082246,0.00247231,0.98920133
-5.96998499,1.26774720,0.41152111,0.84344110,0.00763910,0.00076601,0.00208997,0.98377242
-5.96398199,1.26199039,0.42343033,0.83841124,0.00707903,0.00071718,0.00175880,0.98589766
-5.95797899,1.26689436,0.43961772,0.83953788,0.00665538,0.00067602,0.00147547,0.99623303
-5.95197599,1.28314177,0.46034914,0.84730433,0.00636430,0.00064263,0.00123649,1.01536169
-5.94597299,1.31129670,0.48583368,0.86211423,0.00620181,0.00061708,0.00103835,1.04376667
-5.93996998,1.35177263,0.51620904,0.88426894,0.00616393,0.00059950,0.00087769,1.08180311
-5.93396698,1.40480132,0.55152768,0.91394596,0.00624691,0.00059002,0.00075139,1.12967155
-5.92796398,1.47040434,0.59174442,0.95117923,0.00644740,0.00058876,0.00065665,1.18739355
-5.92196098,1.54836901,0.63670643,0.99584270,0.00676260,0.00059586,0.00059110,1.25479128
-5.91595798,1.63823041,0.68614619,1.04763808,0.00719042,0.00061143,0.00055284,1.33147231
-5.90995498,1.73926111,0.73967829,1.10608791,0.00772967,0.00063557,0.00054048,1.41682090
-5.90395198,1.85046971,0.79680055,1.17053447,0.00838024,0.00066832,0.00055318,1.50999676
-5.89794897,1.97060928,0.85689983,1.24014535,0.00914331,0.00070967,0.00059065,1.60994217
-5.89194597,2.09819612,0.91926288,1.31392573,0.01002164,0.00075954,0.00065319,1.71539759
-5.88594297,2.23153891,0.98309213,1.39073745,0.01101979,0.00081780,0.00074169,1.82492609
-5.87993997,2.36877782,1.04752607,1.46932454,0.01214452,0.00088422,0.00085764,1.93694597
-5.87393697,2.50793269,1.11166396,1.54834447,0.01340507,0.00095847,0.00100315,2.04977088
-5.86793397,2.64695881,1.17459387,1.62640424,0.01481357,0.00104017,0.00118095,2.16165635
-5.86193097,2.78380856,1.23542315,1.70210012,0.01638544,0.00112882,0.00139441,2.27085100
-5.85592796,2.91649667,1.29331023,1.77405950,0.01813979,0.00122388,0.00164756,2.37565085
-5.84992496,3.04316664,1.34749632,1.84098341,0.02009975,0.00132471,0.00194508,2.47445447
-5.84392196,3.16215578,1.39733564,1.90168793,0.02229288,0.00143064,0.00229235,2.56581695
-5.83791896,3.27205611,1.44232280,1.95514296,0.02475140,0.00154096,0.00269541,2.64850052
-5.83191596,3.37176850,1.48211589,2.00050664,0.02751233,0.00165494,0.00316098,2.72151948
-5.82591296,3.46054776,1.51655408,2.03715406,0.03061760,0.00177185,0.00369643,2.78417781
-5.81990995,3.53803644,1.54566863,2.06469903,0.03411383,0.00189100,0.00430972,2.83609752
-5.81390695,3.60428566,1.56968663,2.08300804,0.03805203,0.00201175,0.00500929,2.87723645
-5.80790395,3.65976169,1.58902673,2.09220562,0.04248702,0.00213354,0.00580402,2.90789463
-5.80190095,3.70533767,1.60428705,2.09267116,0.04747653,0.00225587,0.00670297,2.92870876
-5.79589795,3.74227016,1.61622520,2.08502688,0.05308004,0.00237839,0.00771526,2.94063456
-5.78989495,3.77216120,1.62573112,2.07011781,0.05935733,0.00250085,0.00884974,2.94491775
-5.78389195,3.79690659,1.63379369,2.04898428,0.06636667,0.00262313,0.01011474,2.94305427
-5.77788894,3.81863232,1.64146234,2.02282797,0.07416271,0.00274524,0.01151765,2.93674135
