energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.95082885,0.05970778,0.57178360,0.03740451,1.96301748,1.68913824,0.69068249,0.18300289,0.18699027
-5.99399700,3.96180107,0.05886131,0.56697022,0.03733958,1.96881994,1.69345098,0.69222669,0.18578949,0.18738093
-5.98799400,3.98274397,0.05821619,0.56449739,0.03739881,1.97882345,1.70147300,0.69629427,0.18864447,0.18851250
-5.98199100,4.01426480,0.05778207,0.56459348,0.03759387,1.99338212,1.71350193,0.70307055,0.19152065,0.19038325
-5.97598799,4.05677699,0.05756528,0.56743799,0.03793431,2.01277077,1.72977510,0.71269609,0.19436791,0.19297802
-5.96998499,4.11049756,0.05756890,0.57315652,0.03842746,2.03718254,1.75046735,0.72526410,0.19713535,0.19626906
-5.96398199,4.17544741,0.05779300,0.58181665,0.03907829,2.06672758,1.77568915,0.74081839,0.19977342,0.20021711
-5.95797899,4.25145376,0.05823479,0.59342453,0.03988936,2.10143278,1.80548480,0.75935202,0.20223604,0.20477262
-5.95197599,4.33815416,0.05888868,0.60792256,0.04086070,2.14124190,1.83983029,0.78080654,0.20448260,0.20987699
-5.94597299,4.43500181,0.05974640,0.62518806,0.04198981,2.18601621,1.87863117,0.80507181,0.20647954,0.21546386
-5.93996998,4.54127183,0.06079700,0.64503321,0.04327152,2.23553549,1.92172007,0.83198650,0.20820177,0.22146035
-5.93396698,4.65606882,0.06202687,0.66720633,0.04469797,2.28949947,1.96885456,0.86133935,0.20963352,0.22778832
-5.92796398,4.77833598,0.06341964,0.69139475,0.04625857,2.34752978,2.01971542,0.89287114,0.21076881,0.23436555
-5.92196098,4.90686615,0.06495624,0.71722920,0.04794002,2.40917279,2.07390580,0.92627776,0.21161144,0.24110691
-5.91595798,5.04031546,0.06661484,0.74429005,0.04972631,2.47390350,2.13095190,0.96121414,0.21217453,0.24792551
-5.90995498,5.17722009,0.06837091,0.77211518,0.05159885,2.54113075,2.19030541,0.99729946,0.21247963,0.25473388
-5.90395198,5.31601654,0.07019732,0.80020954,0.05353663,2.61020407,2.25134828,1.03412331,0.21255552,0.26144511
-5.89794897,5.45506567,0.07206460,0.82805618,0.05551650,2.68042235,2.31339995,1.07125311,0.21243667,0.26797408
-5.89194597,5.59268062,0.07394120,0.85512856,0.05751351,2.75104429,2.37572728,1.10824243,0.21216156,0.27423872
-5.88594297,5.72715817,0.07579395,0.88090379,0.05950133,2.82130072,2.43755708,1.14464019,0.21177086,0.28016130
-5.87993997,5.85681301,0.07758857,0.90487632,0.06145284,2.89040855,2.49809096,1.18000048,0.21130561,0.28566972
-5.87393697,5.98001408,0.07929039,0.92657167,0.06334070,2.95758602,2.55652224,1.21389266,0.21080548,0.29069881
-5.86793397,6.09522164,0.08086504,0.94555968,0.06513810,3.02206883,2.61205412,1.24591141,0.21030718,0.29519159
-5.86193097,6.20102381,0.08227929,0.96146673,0.06681943,3.08312662,2.66391859,1.27568637,0.20984307,0.29910037
