energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.77408713,0.01878775,0.03221901,0.99233361,0.00000000,0.01566370,1.34019559,0.41260551,0.17202081
-5.99399700,1.87378958,0.01917715,0.03382792,1.05552134,0.00000000,0.01609836,1.41858619,0.43792704,0.18280335
-5.98799400,1.97968412,0.01953001,0.03548267,1.12406840,0.00000000,0.01653766,1.50173272,0.46549283,0.19391082
-5.98199100,2.09056625,0.01984429,0.03716084,1.19731168,0.00000000,0.01697560,1.58872428,0.49508061,0.20523133
-5.97598799,2.20512928,0.02012121,0.03883992,1.27448844,0.00000000,0.01740715,1.67856783,0.52643699,0.21664918
-5.96998499,2.32199506,0.02036540,0.04049770,1.35475437,0.00000000,0.01782841,1.77021115,0.55928412,0.22804723
-5.96398199,2.43974611,0.02058491,0.04211274,1.43720391,0.00000000,0.01823680,1.86256701,0.59332688,0.23930923
-5.95797899,2.55695808,0.02079107,0.04366475,1.52089195,0.00000000,0.01863107,1.95453777,0.62826002,0.25032197
-5.95197599,2.67223149,0.02099819,0.04513492,1.60485646,0.00000000,0.01901132,2.04503981,0.66377526,0.26097730
-5.94597299,2.78422177,0.02122313,0.04650615,1.68814095,0.00000000,0.01937892,2.13302672,0.69956785,0.27117396
-5.93996998,2.89166664,0.02148472,0.04776330,1.76981608,0.00000000,0.01973636,2.21751075,0.73534234,0.28081900
-5.93396698,2.99340988,0.02180304,0.04889326,1.84899967,0.00000000,0.02008704,2.29758166,0.77081750,0.28982904
-5.92796398,3.08842088,0.02219868,0.04988506,1.92487426,0.00000000,0.02043503,2.37242247,0.80573001,0.29813103
-5.92196098,3.17580938,0.02269187,0.05072983,1.99670183,0.00000000,0.02078472,2.44132173,0.83983693,0.30566284
-5.91595798,3.25483525,0.02330165,0.05142077,2.06383503,0.00000000,0.02114051,2.50368192,0.87291696,0.31237332
-5.90995498,3.32491314,0.02404499,0.05195304,2.12572495,0.00000000,0.02150650,2.55902417,0.90477054,0.31822222
-5.90395198,3.38561242,0.02493601,0.05232359,2.18192521,0.00000000,0.02188608,2.60698922,0.93521881,0.32317974
-5.89794897,3.43665285,0.02598528,0.05253102,2.23209268,0.00000000,0.02228168,2.64733513,0.96410199,0.32722594
-5.89194597,3.47789669,0.02719921,0.05257541,2.27598519,0.00000000,0.02269445,2.67993222,0.99127707,0.33034996
-5.88594297,3.50933824,0.02857961,0.05245812,2.31345684,0.00000000,0.02312406,2.70475592,1.01661550,0.33254924
-5.87993997,3.53109173,0.03012349,0.05218159,2.34445149,0.00000000,0.02356853,2.72187822,1.04000102,0.33382871
-5.87393697,3.54337859,0.03182289,0.05174927,2.36899535,0.00000000,0.02402419,2.73145850,1.06132803,0.33420012
-5.86793397,3.54651512,0.03366512,0.05116543,2.38718916,0.00000000,0.02448566,2.73373454,1.08050083,0.33368144
-5.86193097,3.54090134,0.03563305,0.05043512,2.39920088,0.00000000,0.02494595,2.72901414,1.09743386,0.33229657
-5.85592796,3.52701160,0.03770564,0.04956410,2.40525926,0.00000000,0.02539669,2.71766807,1.11205314,0.33007513
-5.84992496,3.50538731,0.03985866,0.04855884,2.40564866,0.00000000,0.02582839,2.70012431,1.12429887,0.32705257
-5.84392196,3.47663181,0.04206556,0.04742655,2.40070536,0.00000000,0.02623079,2.67686388,1.13412906,0.32327042
-5.83791896,3.44140713,0.04429838,0.04617519,2.39081510,0.00000000,0.02659327,2.64841786,1.14152398,0.31877663
-5.83191596,3.40043199,0.04652884,0.04481359,2.37641167,0.00000000,0.02690532,2.61536535,1.14649104,0.31362603
-5.82591296,3.35448037,0.04872931,0.04335146,2.35797589,0.00000000,0.02715697,2.57833160,1.14906965,0.30788075
-5.81990995,3.30437951,0.05087385,0.04179945,2.33603446,0.00000000,0.02733934,2.53798573,1.14933566,0.30161041
-5.81390695,3.25100646,0.05293909,0.04016920,2.31115778,0.00000000,0.02744500,2.49503728,1.14740468,0.29489220
-5.80790395,3.19528207,0.05490504,0.03847332,2.28395604,0.00000000,0.02746840,2.45023069,1.14343393,0.28781055
-5.80190095,3.13816165,0.05675565,0.03672530,2.25507293,0.00000000,0.02740619,2.40433729,1.13762223,0.28045643
-5.79589795,3.08062151,0.05847922,0.03493948,2.22517643,0.00000000,0.02725742,2.35814415,1.13020761,0.27292618
-5.78989495,3.02364131,0.06006856,0.03313081,2.19494629,0.00000000,0.02702369,2.31243968,1.12146261,0.26531984
-5.78389195,2.96818201,0.06152086,0.03131470,2.16505830,0.00000000,0.02670911,2.26799609,1.11168705,0.25773913
-5.77788894,2.91516025,0.06283747,0.02950672,2.13616558,0.00000000,0.02632024,2.22554899,1.10119861,0.25028486
-5.77188594,2.86541963,0.06402326,0.02772230,2.10887747,0.00000000,0.02586582,2.18577484,1.09032137,0.24305414
-5.76588294,2.81970060,0.06508598,0.02597642,2.08373689,0.00000000,0.02535644,2.14926735,1.07937303,0.23613737
-5.75987994,2.77861009,0.06603540,0.02428324,2.06119743,0.00000000,0.02480411,2.11651378,1.06865117,0.22961514
-5.75387694,2.74259294,0.06688232,0.02265576,2.04160123,0.00000000,0.02422176,2.08787278,1.05841958,0.22355526
-5.74787394,2.71190676,0.06763761,0.02110551,2.02515928,0.00000000,0.02362273,2.06355484,1.04889513,0.21801006
-5.74187094,2.68660209,0.06831124,0.01964227,2.01193539,0.00000000,0.02302015,2.04360697,1.04023626,0.21301412
-5.73586793,2.66650945,0.06891141,0.01827379,2.00183509,0.00000000,0.02242642,2.02790272,1.03253353,0.20858258
-5.72986493,2.65123450,0.06944379,0.01700566,1.99460058,0.00000000,0.02185268,2.01613849,1.02580303,0.20471018
-5.72386193,2.64016230,0.06991090,0.01584119,1.98981233,0.00000000,0.02130836,2.00783692,1.01998310,0.20137103
-5.71785893,2.63247101,0.07031177,0.01478138,1.98689803,0.00000000,0.02080078,2.00235758,1.01493459,0.19851931
-5.71185593,2.62715495,0.07064177,0.01382499,1.98514848,0.00000000,0.02033493,1.99891493,1.01044487,0.19609071
-5.70585293,2.62305635,0.07089272,0.01296868,1.98374038,0.00000000,0.01991326,1.99660305,1.00623539,0.19400472
-5.69984992,2.61890473,0.07105314,0.01220717,1.98176494,0.00000000,0.01953568,1.99442621,1.00197255,0.19216764
-5.69384692,2.61336216,0.07110881,0.01153356,1.97826134,0.00000000,0.01919962,1.99133418,0.99728136,0.19047615
-5.68784392,2.60507263,0.07104346,0.01093960,1.97225336,0.00000000,0.01890022,1.98626064,0.99176131,0.18882131
