energy_ev,total_up,Pb_p_up,Pb_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.25241368,0.32723315,0.00107298,0.51901696,0.25930283,0.66130620,0.00000000
-5.99399700,1.27907084,0.32781654,0.00109587,0.52931922,0.26690269,0.68098903,0.00000000
-5.98799400,1.30270582,0.32719556,0.00111380,0.53934980,0.27410516,0.69951826,0.00000000
-5.98199100,1.32361288,0.32547334,0.00112669,0.54933520,0.28097794,0.71703965,0.00000000
-5.97598799,1.34218597,0.32277757,0.00113464,0.55952433,0.28760658,0.73375045,0.00000000
-5.96998499,1.35889747,0.31925568,0.00113787,0.57017623,0.29408939,0.74988725,0.00000000
-5.96398199,1.37427243,0.31506913,0.00113676,0.58154658,0.30053133,0.76571115,0.00000000
-5.95797899,1.38885959,0.31038719,0.00113178,0.59387383,0.30703726,0.78149110,0.00000000
-5.95197599,1.40320050,0.30538035,0.00112350,0.60736535,0.31370478,0.79748617,0.00000000
-5.94597299,1.41779836,0.30021380,0.00111259,0.62218452,0.32061713,0.81392768,0.00000000
-5.93996998,1.43308822,0.29504109,0.00109973,0.63843930,0.32783644,0.83100216,0.00000000
-5.93396698,1.44941033,0.28999847,0.00108565,0.65617317,0.33539787,0.84883639,0.00000000
-5.92796398,1.46698813,0.28520001,0.00107106,0.67535889,0.34330493,0.86748514,0.00000000
-5.92196098,1.48591232,0.28073387,0.00105666,0.69589566,0.35152628,0.88692273,0.00000000
-5.91595798,1.50613217,0.27665987,0.00104310,0.71761000,0.35999440,0.90703898,0.00000000
-5.90995498,1.52745454,0.27300834,0.00103100,0.74026050,0.36860614,0.92763986,0.00000000
-5.90395198,1.54955107,0.26978056,0.00102090,0.76354634,0.37722529,0.94845306,0.00000000
-5.89794897,1.57197319,0.26695047,0.00101327,0.78711930,0.38568710,0.96913841,0.00000000
-5.89194597,1.59417417,0.26446772,0.00100854,0.81059871,0.39380453,0.98930238,0.00000000
-5.88594297,1.61553713,0.26226178,0.00100705,0.83358857,0.40137597,1.00851627,0.00000000
-5.87993997,1.63540735,0.26024694,0.00100910,0.85569609,0.40819401,1.02633684,0.00000000
-5.87393697,1.65312709,0.25832780,0.00101496,0.87655034,0.41405482,1.04232833,0.00000000
-5.86793397,1.66807073,0.25640501,0.00102485,0.89582028,0.41876761,1.05608450,0.00000000
-5.86193097,1.67967838,0.25438095,0.00103895,0.91323073,0.42216369,1.06724953,0.00000000
-5.85592796,1.68748562,0.25216492,0.00105744,0.92857559,0.42410452,1.07553634,0.00000000
-5.84992496,1.69114792,0.24967766,0.00108045,0.94172725,0.42448843,1.08074129,0.00000000
-5.84392196,1.69045799,0.24685503,0.00110812,0.95264159,0.42325555,1.08275443,0.00000000
