energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,5.83495344,0.02806219,0.47909261,0.70420195,0.24715954,2.33536788,2.33473032,0.04297036,3.10698404
-5.99399700,5.84673434,0.02823233,0.49336332,0.70739595,0.24460677,2.36374069,2.34359545,0.04258512,3.10049824
-5.98799400,5.86380769,0.02842925,0.50899420,0.71075188,0.24265081,2.39528755,2.35422102,0.04228302,3.09484054
-5.98199100,5.88749743,0.02865581,0.52607548,0.71429954,0.24133008,2.43032261,2.36735682,0.04207257,3.09068967
-5.97598799,5.91907649,0.02891495,0.54468319,0.71806214,0.24067318,2.46909633,2.38375179,0.04196259,3.08871539
-5.96998499,5.95971647,0.02920933,0.56487227,0.72205442,0.24069776,2.51177966,2.40412734,0.04196176,3.08955579
-5.96398199,6.01043476,0.02954100,0.58666942,0.72628063,0.24140947,2.55844844,2.42914919,0.04207817,3.09379350
-5.95797899,6.07204101,0.02991109,0.61006602,0.73073223,0.24280094,2.60906905,2.45939863,0.04231881,3.10193155
-5.95197599,6.14508559,0.03031939,0.63501158,0.73538573,0.24485097,2.66348609,2.49534449,0.04268892,3.11436993
-5.94597299,6.22981264,0.03076413,0.66140802,0.74020071,0.24752395,2.72141283,2.53731681,0.04319148,3.13138412
-5.93996998,6.32612022,0.03124169,0.68910534,0.74511834,0.25076962,2.78242542,2.58548351,0.04382662,3.15310643
-5.93396698,6.43353012,0.03174646,0.71789893,0.75006047,0.25452321,2.84596134,2.63983120,0.04459117,3.17951132
-5.92796398,6.55116943,0.03227076,0.74752892,0.75492964,0.25870608,2.91132272,2.70015121,0.04547829,3.21040550
-5.92196098,6.67776569,0.03280489,0.77768177,0.75960988,0.26322678,2.97768497,2.76603171,0.04647721,3.24542355
-5.91595798,6.81165680,0.03333727,0.80799430,0.76396860,0.26798265,3.04411066,2.83685670,0.04757317,3.28402955
-5.90995498,6.95081634,0.03385470,0.83806021,0.76785946,0.27286195,3.10956867,2.91181228,0.04874750,3.32552502
-5.90395198,7.09289423,0.03434271,0.86743881,0.77112625,0.27774638,3.17295820,2.98990035,0.04997789,3.36906313
-5.89794897,7.23527180,0.03478603,0.89566604,0.77360758,0.28251410,3.23313694,3.06995971,0.05123885,3.41366889
-5.89194597,7.37512995,0.03516906,0.92226716,0.77514230,0.28704295,3.28895257,3.15069388,0.05250229,3.45826489
-5.88594297,7.50952803,0.03547650,0.94677070,0.77557543,0.29121400,3.33927650,3.23070507,0.05373832,3.50170160
-5.87993997,7.63549082,0.03569388,0.96872324,0.77476425,0.29491515,3.38303848,3.30853297,0.05491611,3.54279143
-5.87393697,7.75010029,0.03580819,0.98770423,0.77258444,0.29804462,3.41926097,3.38269731,0.05600487,3.58034523
-5.86793397,7.85058857,0.03580838,1.00334026,0.76893581,0.30051436,3.44709151,3.45174230,0.05697487,3.61320992
-5.86193097,7.93442859,0.03568592,1.01531815,0.76374745,0.30225308,3.46583212,3.51428160,0.05779839,3.64030590
-5.85592796,7.99941857,0.03543514,1.02339619,0.75698207,0.30320884,3.47496412,3.56904186,0.05845079,3.66066275
-5.84992496,8.04375689,0.03505359,1.02741306,0.74863915,0.30335104,3.47416747,3.61490326,0.05891131,3.67345197
-5.84392196,8.06610451,0.03454222,1.02729395,0.73875698,0.30267181,3.46333376,3.65093532,0.05916384,3.67801541
-5.83791896,8.06563203,0.03390543,1.02305362,0.72741319,0.30118663,3.44257211,3.67642676,0.05919758,3.67388833
-5.83191596,8.04204984,0.03315107,1.01479628,0.71472401,0.29893424,3.41220794,3.69090805,0.05900737,3.66081625
-5.82591296,7.99562005,0.03229019,1.00271223,0.70084209,0.29597574,3.37277437,3.69416590,0.05859400,3.63876494
-5.81990995,7.92714985,0.03133683,0.98707152,0.68595303,0.29239297,3.32499690,3.68624912,0.05796415,3.60792319
-5.81390695,7.83796685,0.03030759,0.96821492,0.67027080,0.28828632,3.26977174,3.66746572,0.05713026,3.56869834
-5.80790395,7.72987743,0.02922115,0.94654256,0.65403219,0.28377184,3.20813900,3.63837151,0.05611010,3.52170475
