energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.40794168,-2.40859381,0.00865438,-0.00865512,0.00000000,-0.00000000,0.02208001,-0.02207954,0.41438868,-0.41458737,0.54289618,-0.54308842,1.29743011,-1.29789810,0.91546406,-0.91557356,0.00000000,-0.00000000
-5.99399700,2.33504480,-2.33574385,0.00861007,-0.00861096,0.00000000,-0.00000000,0.02225296,-0.02225305,0.39250864,-0.39271281,0.52421473,-0.52441244,1.24196918,-1.24246266,0.90358168,-0.90371234,0.00000000,-0.00000000
-5.98799400,2.25352035,-2.25425435,0.00852383,-0.00852487,0.00000000,-0.00000000,0.02228540,-0.02228605,0.37005314,-0.37025880,0.50441977,-0.50461910,1.18273610,-1.18324657,0.88706479,-0.88721494,0.00000000,-0.00000000
-5.98199100,2.16477146,-2.16552811,0.00839585,-0.00839703,0.00000000,-0.00000000,0.02217666,-0.02217785,0.34745166,-0.34765493,0.48391905,-0.48411619,1.12073961,-1.12125858,0.86615059,-0.86631817,0.00000000,-0.00000000
-5.97598799,2.07029709,-2.07106407,0.00822733,-0.00822865,0.00000000,-0.00000000,0.02192870,-0.02193042,0.32511899,-0.32531624,0.46313097,-0.46332223,1.05700089,-1.05752005,0.84116125,-0.84134389,0.00000000,-0.00000000
-5.96998499,1.97165441,-1.97241969,0.00802048,-0.00802192,0.00000000,-0.00000000,0.02154611,-0.02154832,0.30344563,-0.30363347,0.44247532,-0.44265719,0.99252775,-0.99303921,0.81249502,-0.81269007,0.00000000,-0.00000000
-5.96398199,1.87042143,-1.87117355,0.00777841,-0.00777994,0.00000000,-0.00000000,0.02103590,-0.02103855,0.28278930,-0.28296474,0.42236444,-0.42253368,0.92829077,-0.92878722,0.78061551,-0.78082015,0.00000000,-0.00000000
-5.95797899,1.76816091,-1.76888923,0.00750505,-0.00750666,0.00000000,-0.00000000,0.02040734,-0.02041038,0.26346796,-0.26362842,0.40319493,-0.40334864,0.86520183,-0.86567668,0.74603962,-0.74625093,0.00000000,-0.00000000
-5.95197599,1.66638645,-1.66708134,0.00720504,-0.00720671,0.00000000,-0.00000000,0.01967164,-0.01967503,0.24575423,-0.24589759,0.38534000,-0.38547568,0.80409563,-0.80454315,0.70932441,-0.70953942,0.00000000,-0.00000000
-5.94597299,1.56653150,-1.56718452,0.00688360,-0.00688531,0.00000000,-0.00000000,0.01884168,-0.01884535,0.22987125,-0.22999585,0.36914257,-0.36925812,0.74571460,-0.74612998,0.67105352,-0.67126930,0.00000000,-0.00000000
