energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.88773801,0.10501798,0.00220662,0.06696903,0.96248961,0.59720325,0.25853817
-5.99399700,2.00631700,0.11361978,0.00237855,0.07073246,1.02206203,0.63856960,0.27122949
-5.98799400,2.13049477,0.12277962,0.00255704,0.07467561,1.08440302,0.68145050,0.28465596
-5.98199100,2.25861600,0.13238801,0.00273988,0.07875546,1.14862191,0.72530419,0.29862068
-5.97598799,2.38892208,0.14232861,0.00292473,0.08292297,1.21377595,0.76955595,0.31291205
-5.96998499,2.51958216,0.15248037,0.00310920,0.08712400,1.27888611,0.81360954,0.32730713
-5.96398199,2.64872955,0.16271998,0.00329087,0.09130049,1.34295564,0.85686035,0.34157574
-5.95797899,2.77450270,0.17292471,0.00346738,0.09539180,1.40499079,0.89870987,0.35548513
-5.95197599,2.89508939,0.18297553,0.00363646,0.09933633,1.46402304,0.93858102,0.36880508
-5.94597299,3.00877242,0.19276035,0.00379606,0.10307315,1.51913219,0.97593376,0.38131322
-5.93996998,3.11397502,0.20217726,0.00394435,0.10654372,1.56946932,1.01028024,0.39280047
-5.93396698,3.20930400,0.21113761,0.00407982,0.10969357,1.61427866,1.04119889,0.40307618
-5.92796398,3.29358871,0.21956888,0.00420131,0.11247390,1.65291752,1.06834685,0.41197300
-5.92196098,3.36591372,0.22741687,0.00430806,0.11484306,1.68487337,1.09146995,0.41935104
-5.91595798,3.42564385,0.23464749,0.00439973,0.11676771,1.70977710,1.11040994,0.42510129
-5.90995498,3.47243995,0.24124760,0.00447639,0.11822384,1.72741215,1.12510836,0.42914815
-5.90395198,3.50626453,0.24722517,0.00453856,0.11919739,1.73771866,1.13560699,0.43145084
-5.89794897,3.52737678,0.25260843,0.00458713,0.11968463,1.74079265,1.14204461,0.43200373
-5.89194597,3.53631698,0.25744420,0.00462333,0.11969207,1.73688006,1.14465024,0.43083557
-5.88594297,3.53388066,0.26179530,0.00464871,0.11923616,1.72636591,1.14373313,0.42800757
-5.87993997,3.52108372,0.26573724,0.00466502,0.11834261,1.70975892,1.13966980,0.42361058
-5.87393697,3.49911979,0.26935430,0.00467415,0.11704541,1.68767224,1.13288882,0.41776124
-5.86793397,3.46931167,0.27273508,0.00467805,0.11538558,1.66080112,1.12385377,0.41059752
-5.86193097,3.43305898,0.27596786,0.00467862,0.11340982,1.62989833,1.11304537,0.40227370
-5.85592796,3.39178424,0.27913588,0.00467764,0.11116886,1.59574840,1.10094331,0.39295498
-5.84992496,3.34687961,0.28231285,0.00467671,0.10871590,1.55914167,1.08800872,0.38281205
-5.84392196,3.29965674,0.28555884,0.00467711,0.10610487,1.52084915,1.07466781,0.37201574
-5.83791896,3.25130153,0.28891675,0.00467981,0.10338885,1.48159927,1.06129758,0.36073201
-5.83191596,3.20283576,0.29240957,0.00468540,0.10061853,1.44205714,1.04821391,0.34911740
-5.82591296,3.15508696,0.29603856,0.00469408,0.09784084,1.40280721,1.03566252,0.33731516
-5.81990995,3.10866752,0.29978241,0.00470562,0.09509774,1.36433980,1.02381310,0.32545221
-5.81390695,3.06396361,0.30359734,0.00471940,0.09242527,1.32704188,1.01275673,0.31363689
-5.80790395,3.02113393,0.30741836,0.00473444,0.08985282,1.29119216,1.00250644,0.30195760
-5.80190095,2.98011807,0.31116129,0.00474945,0.08740265,1.25696062,0.99300087,0.29048242
-5.79589795,2.94065348,0.31472574,0.00476286,0.08508968,1.22441209,0.98411070,0.27925950
-5.78989495,2.90230021,0.31799878,0.00477293,0.08292157,1.19351363,0.97564743,0.26831825
-5.78389195,2.86447178,0.32085907,0.00477778,0.08089894,1.16414518,0.96737399,0.25767118
-5.77788894,2.82647070,0.32318136,0.00477553,0.07901590,1.13611279,0.95901684,0.24731632
-5.77188594,2.78752697,0.32484118,0.00476432,0.07726072,1.10916391,0.95027884,0.23723992
-5.76588294,2.74683772,0.32571944,0.00474243,0.07561668,1.08300383,0.94085243,0.22741952
-5.75987994,2.70360647,0.32570677,0.00470833,0.07406302,1.05731276,0.93043265,0.21782697
-5.75387694,2.65708034,0.32470758,0.00466074,0.07257602,1.03176267,0.91872951,0.20843145
-5.74787394,2.60658400,0.32264348,0.00459871,0.07113007,1.00603347,0.90547924,0.19920230
-5.74187094,2.55154907,0.31945613,0.00452159,0.06969880,0.97982774,0.89045425,0.19011147
-5.73586793,2.49153831,0.31510933,0.00442913,0.06825616,0.95288376,0.87347140,0.18113569
-5.72986493,2.42626377,0.30959037,0.00432143,0.06677751,0.92498631,0.85439840,0.17225807
-5.72386193,2.35559874,0.30291064,0.00419899,0.06524051,0.89597513,0.83315835,0.16346929
-5.71785893,2.27958345,0.29510534,0.00406262,0.06362600,0.86575074,0.80973225,0.15476830
-5.71185593,2.19842445,0.28623265,0.00391350,0.06191869,0.83427768,0.78415955,0.14616243
-5.70585293,2.11248829,0.27637207,0.00375306,0.06010769,0.80158516,0.75653687,0.13766721
-5.69984992,2.02228996,0.26562223,0.00358300,0.05818692,0.76776530,0.72701489,0.12930564
-5.69384692,1.92847665,0.25409829,0.00340520,0.05615526,0.73296908,0.69579375,0.12110727
-5.68784392,1.83180779,0.24192880,0.00322168,0.05401657,0.69740038,0.66311704,0.11310687
-5.68184092,1.73313218,0.22925244,0.00303455,0.05177955,0.66130828,0.62926468,0.10534303
-5.67583792,1.63336298,0.21621451,0.00284594,0.04945737,0.62497811,0.59454495,0.09785658
-5.66983492,1.53345169,0.20296339,0.00265796,0.04706720,0.58872159,0.55928592,0.09068899
-5.66383192,1.43436183,0.18964711,0.00247263,0.04462962,0.55286628,0.52382667,0.08388077
-5.65782891,1.33704325,0.17641007,0.00229188,0.04216787,0.51774505,0.48850840,0.07746999
-5.65182591,1.24240788,0.16339002,0.00211745,0.03970714,0.48368553,0.45366592,0.07149089
-5.64582291,1.15130764,0.15071536,0.00195092,0.03727373,0.45100032,0.41961961,0.06597271
-5.63981991,1.06451506,0.13850296,0.00179364,0.03489426,0.41997786,0.38666830,0.06093866
-5.63381691,0.98270721,0.12685632,0.00164672,0.03259495,0.39087457,0.35508298,0.05640520
-5.62781391,0.90645338,0.11586435,0.00151102,0.03040091,0.36390829,0.32510184,0.05238151
-5.62181091,0.83620661,0.10560061,0.00138719,0.02833558,0.33925328,0.29692653,0.04886924
-5.61580790,0.77229948,0.09612310,0.00127560,0.02642030,0.31703690,0.27071983,0.04586247
-5.60980490,0.71494394,0.08747461,0.00117640,0.02467395,0.29733800,0.24660471,0.04334802
-5.60380190,0.66423520,0.07968345,0.00108954,0.02311286,0.28018703,0.22466477,0.04130591
-5.59779890,0.62015946,0.07276475,0.00101474,0.02175077,0.26556790,0.20494606,0.03971008
-5.59179590,0.58260501,0.06672203,0.00095160,0.02059898,0.25342131,0.18745996,0.03852934
-5.58579290,0.55137634,0.06154908,0.00089957,0.01966662,0.24364957,0.17218718,0.03772846
-5.57978989,0.52621072,0.05723216,0.00085798,0.01896107,0.23612252,0.15908256,0.03726944
-5.57378689,0.50679651,0.05375217,0.00082612,0.01848840,0.23068452,0.14808048,0.03711286
-5.56778389,0.49279254,0.05108699,0.00080326,0.01825388,0.22716198,0.13910063,0.03721939
-5.56178089,0.48384800,0.04921368,0.00078866,0.01826259,0.22537131,0.13205390,0.03755121
-5.55577789,0.47962175,0.04811052,0.00078163,0.01851987,0.22512691,0.12684812,0.03807354
-5.54977489,0.47980067,0.04775886,0.00078159,0.01903183,0.22624894,0.12339352,0.03875599
-5.54377189,0.48411606,0.04814455,0.00078803,0.01980572,0.22857050,0.12160748,0.03957388
-5.53776888,0.49235763,0.04925906,0.00080059,0.02085019,0.23194398,0.12141861,0.04050935
-5.53176588,0.50438441,0.05110012,0.00081908,0.02217544,0.23624644,0.12276986,0.04155228
-5.52576288,0.52013202,0.05367178,0.00084347,0.02379313,0.24138361,0.12562058,0.04270091
-5.51975988,0.53961617,0.05698411,0.00087390,0.02571623,0.24729264,0.12994739,0.04396224
-5.51375688,0.56293185,0.06105226,0.00091068,0.02795855,0.25394322,0.13574398,0.04535199
-5.50775388,0.59024841,0.06589505,0.00095431,0.03053427,0.26133725,0.14301960,0.04689435
-5.50175088,0.62180032,0.07153320,0.00100542,0.03345717,0.26950699,0.15179652,0.04862120
-5.49574787,0.65787405,0.07798705,0.00106476,0.03673983,0.27851171,0.16210646,0.05057114
-5.48974487,0.69879125,0.08527408,0.00113319,0.04039265,0.28843303,0.17398604,0.05278805
-5.48374187,0.74488883,0.09340620,0.00121160,0.04442288,0.29936917,0.18747161,0.05531941
-5.47773887,0.79649661,0.10238699,0.00130090,0.04883358,0.31142807,0.20259351,0.05821432
-5.47173587,0.85391326,0.11220901,0.00140195,0.05362262,0.32471995,0.21937003,0.06152125
-5.46573287,0.91738133,0.12285128,0.00151553,0.05878172,0.33934930,0.23780142,0.06528575
-5.45972986,0.98706256,0.13427712,0.00164223,0.06429572,0.35540671,0.25786400,0.06954800
-5.45372686,1.06301425,0.14643251,0.00178249,0.07014181,0.37296081,0.27950496,0.07434037
-5.44772386,1.14516782,0.15924495,0.00193645,0.07628918,0.39205062,0.30263772,0.07968515
-5.44172086,1.23331062,0.17262314,0.00210398,0.08269876,0.41267860,0.32713849,0.08559243
-5.43571786,1.32707197,0.18645733,0.00228461,0.08932329,0.43480464,0.35284396,0.09205830
-5.42971486,1.42591424,0.20062058,0.00247749,0.09610764,0.45834144,0.37955045,0.09906347
-5.42371186,1.52912982,0.21497086,0.00268141,0.10298946,0.48315126,0.40701464,0.10657232
-5.41770885,1.63584458,0.22935393,0.00289478,0.10990012,0.50904450,0.43495595,0.11453257
-5.41170585,1.74502810,0.24360708,0.00311564,0.11676591,0.53578014,0.46306056,0.12287547
-5.40570285,1.85551084,0.25756347,0.00334167,0.12350953,0.56306819,0.49098714,0.13151677
-5.39969985,1.96600818,0.27105708,0.00357030,0.13005180,0.59057420,0.51837408,0.14035823
-5.39369685,2.07515063,0.28392792,0.00379867,0.13631355,0.61792582,0.54484803,0.14928979
-5.38769385,2.18151968,0.29602758,0.00402379,0.14221765,0.64472125,0.57003359,0.15819238
-5.38169085,2.28368797,0.30722457,0.00424257,0.14769113,0.67053943,0.59356374,0.16694121
-5.37568784,2.38026252,0.31740953,0.00445193,0.15266726,0.69495164,0.61509070,0.17540944
-5.36968484,2.46992943,0.32649979,0.00464892,0.15708756,0.71753419,0.63429678,0.18347214
-5.36368184,2.55149802,0.33444326,0.00483075,0.16090370,0.73788165,0.65090481,0.19101035
-5.35767884,2.62394273,0.34122139,0.00499497,0.16407911,0.75562020,0.66468771,0.19791510
-5.35167584,2.68644072,0.34685087,0.00513948,0.16659029,0.77042056,0.67547672,0.20409115
-5.34567284,2.73840324,0.35138418,0.00526266,0.16842777,0.78200982,0.68316803,0.20946033
-5.33966983,2.77949924,0.35490868,0.00536341,0.16959662,0.79018179,0.68772732,0.21396429
-5.33366683,2.80966974,0.35754422,0.00544118,0.17011645,0.79480520,0.68919207,0.21756651
-5.32766383,2.82913196,0.35943952,0.00549602,0.17002096,0.79582952,0.68767145,0.22025347
-5.32166083,2.83837268,0.36076702,0.00552854,0.16935694,0.79328785,0.68334367,0.22203493
-5.31565783,2.83813089,0.36171676,0.00553993,0.16818275,0.78729699,0.67645097,0.22294318
-5.30965483,2.82937009,0.36248918,0.00553184,0.16656648,0.77805435,0.66729221,0.22303145
-5.30365183,2.81324146,0.36328729,0.00550639,0.16458355,0.76583199,0.65621363,0.22237136
