energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.27848292,0.00250688,0.13174703,0.74056868,0.62929285,0.30232871,0.00000000,0.56048426,0.03917100
-5.99399700,1.30827488,0.00234788,0.13426702,0.75080973,0.65668869,0.30653888,0.00000000,0.57108526,0.03907693
-5.98799400,1.34560048,0.00222076,0.13706877,0.76439382,0.68948422,0.31186043,0.00000000,0.58306020,0.03913778
-5.98199100,1.38936263,0.00212165,0.14003702,0.78055489,0.72722569,0.31798776,0.00000000,0.59589504,0.03931718
-5.97598799,1.43839669,0.00204649,0.14304959,0.79848896,0.76940950,0.32460784,0.00000000,0.60906015,0.03957802
-5.96998499,1.49149332,0.00199119,0.14598073,0.81737352,0.81548805,0.33140702,0.00000000,0.62202326,0.03988332
-5.96398199,1.54742163,0.00195170,0.14870464,0.83638746,0.86487574,0.33807806,0.00000000,0.63426310,0.04019714
-5.95797899,1.60495239,0.00192410,0.15109911,0.85473104,0.91695497,0.34432709,0.00000000,0.64528303,0.04048534
-5.95197599,1.66288046,0.00190470,0.15304909,0.87164539,0.97108236,0.34988047,0.00000000,0.65462453,0.04071637
-5.94597299,1.72004618,0.00189011,0.15445010,0.88643073,1.02659484,0.35449115,0.00000000,0.66187987,0.04086200
-5.93996998,1.77535512,0.00187730,0.15521135,0.89846300,1.08281598,0.35794452,0.00000000,0.66670349,0.04089795
-5.93396698,1.82779570,0.00186365,0.15525848,0.90720805,1.13906234,0.36006335,0.00000000,0.66882177,0.04080439
-5.92796398,1.87645428,0.00184695,0.15453578,0.91223308,1.19465008,0.36071180,0.00000000,0.66804048,0.04056637
-5.92196098,1.92052760,0.00182546,0.15300777,0.91321495,1.24890180,0.35979816,0.00000000,0.66424983,0.04017405
-5.91595798,1.95933208,0.00179789,0.15066016,0.90994487,1.30115376,0.35727642,0.00000000,0.65742669,0.03962283
-5.90995498,1.99231025,0.00176338,0.14750012,0.90232968,1.35076357,0.35314637,0.00000000,0.64763382,0.03891333
